uri:/instrument/1.0/DOX/chartdata;type=quote;range=1d/csv
ticker:dox
Company-Name:Amdocs Limited
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:53.4100
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:53.6700,54.1350
high:53.6700,54.1350
low:53.6700,54.1350
open:53.6700,54.1350
volume:100,28400
1431523963,53.6700,53.6700,53.6700,53.6700,6000
1431524030,53.7496,53.7900,53.6800,53.6800,2300
1431524063,53.7400,53.7400,53.7400,53.7400,700
1431524130,53.8500,53.9000,53.7800,53.7800,2300
1431524161,53.8800,53.8800,53.7900,53.8300,1300
1431524240,53.8900,53.9100,53.8900,53.9100,500
1431524332,53.8700,53.8700,53.8700,53.8700,1000
1431524363,53.9300,53.9300,53.9300,53.9300,800
1431524446,53.8700,53.8900,53.8600,53.8900,1700
1431524616,53.9000,53.9000,53.8600,53.8600,500
1431524725,53.9000,53.9000,53.9000,53.9000,1100
1431524800,53.9000,53.9100,53.9000,53.9100,1100
1431524849,53.8900,53.9100,53.8800,53.9100,1500
1431524908,53.8799,53.8799,53.8600,53.8600,400
1431524973,53.8800,53.9000,53.8700,53.8700,500
1431525002,53.9449,53.9449,53.9449,53.9449,100
1431525123,53.9600,54.0100,53.9100,53.9140,1800
1431525186,53.9500,53.9500,53.9500,53.9500,900
1431525295,53.8500,53.9100,53.8500,53.9100,1100
1431525314,53.8870,53.8870,53.8870,53.8870,200
1431525415,53.8300,53.8400,53.8300,53.8400,800
1431525426,53.8100,53.8800,53.8100,53.8600,3000
1431525502,53.8400,53.8400,53.8200,53.8200,900
1431525575,53.8450,53.8450,53.8450,53.8450,100
1431525601,53.7900,53.8410,53.7900,53.8406,2300
1431525718,53.7500,53.7500,53.7500,53.7500,500
1431525721,53.7100,53.7200,53.7100,53.7200,400
1431525785,53.7600,53.7600,53.7200,53.7200,800
1431525842,53.7300,53.7300,53.7300,53.7300,100
1431525931,53.7400,53.7400,53.7400,53.7400,100
1431525989,53.7700,53.7900,53.7600,53.7600,900
1431526042,53.7700,53.8200,53.7700,53.7900,3000
1431526123,53.8000,53.8100,53.7900,53.7900,1000
1431526189,53.8500,53.8600,53.8100,53.8100,900
