uri:/instrument/1.0/ECYT/chartdata;type=quote;range=500d/csv
ticker:ecyt
Company-Name:Endocyte, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:6.0200
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:5.5949,6.3600
high:5.6100,6.3600
low:5.5900,6.3500
open:5.5900,6.3500
volume:0,64400
1429882456,6.3500,6.3500,6.3500,6.3500,3900
1429882781,6.3100,6.3200,6.3100,6.3200,900
1429883082,6.2900,6.3100,6.2900,6.3000,3500
1429883651,6.3364,6.3364,6.3100,6.3200,3100
1429883916,6.3600,6.3600,6.3447,6.3447,600
1429884235,6.3200,6.3600,6.3200,6.3400,3500
1429884390,6.3200,6.3200,6.3100,6.3100,300
1429884727,6.3300,6.3300,6.3101,6.3101,800
1429885483,6.2600,6.3000,6.2600,6.3000,4300
1429885561,6.2900,6.2900,6.2900,6.2900,100
1429885934,6.2900,6.2900,6.2900,6.2900,100
1429886319,6.2901,6.3000,6.2901,6.3000,800
1429886626,6.3100,6.3100,6.3000,6.3000,400
1429886892,6.3000,6.3100,6.3000,6.3100,700
1429887287,6.3000,6.3100,6.3000,6.3000,2400
1429887522,6.3000,6.3000,6.2982,6.3000,1600
1429887893,6.3100,6.3100,6.3000,6.3000,3000
1429888180,6.3399,6.3399,6.3100,6.3100,1400
1429888443,6.3300,6.3450,6.3200,6.3400,4700
1429888696,6.3400,6.3400,6.3300,6.3300,200
1429889071,6.3399,6.3399,6.3399,6.3399,200
1429889313,6.3000,6.3200,6.3000,6.3200,3000
1429889935,6.2900,6.2900,6.2800,6.2900,1400
1429890147,6.2803,6.2803,6.2800,6.2800,500
1429890839,6.2900,6.2900,6.2899,6.2899,900
1429891135,6.2900,6.2900,6.2900,6.2900,200
1429891435,6.2999,6.2999,6.2999,6.2999,300
1429892070,6.2800,6.3000,6.2800,6.3000,2400
1429892114,6.2600,6.2700,6.2600,6.2700,2400
