uri:/instrument/1.0/EGLE/chartdata;type=quote;range=1d/csv
ticker:egle
Company-Name:Eagle Bulk Shipping Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.5000
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:9.4400,9.8500
high:9.4550,9.8900
low:9.4200,9.8500
open:9.4200,9.8900
volume:0,26200
1431438075,9.6150,9.6200,9.6150,9.6200,1800
1431438261,9.5850,9.5850,9.5850,9.5850,100
1431438306,9.5400,9.5850,9.5400,9.5850,500
1431438507,9.5350,9.5350,9.5350,9.5350,200
1431438629,9.5350,9.5350,9.5350,9.5350,100
1431438751,9.5350,9.5350,9.5350,9.5350,100
1431438875,9.5350,9.5350,9.5350,9.5350,100
1431438901,9.5400,9.5400,9.5400,9.5400,200
1431438998,9.5500,9.5500,9.5500,9.5500,100
1431439055,9.5000,9.5000,9.5000,9.5000,400
1431439244,9.5100,9.5100,9.5100,9.5100,200
1431439373,9.5150,9.5150,9.5150,9.5150,100
1431439422,9.4700,9.5299,9.4700,9.5000,500
1431439609,9.4800,9.4800,9.4200,9.4200,200
1431440198,9.4900,9.4900,9.4500,9.4500,200
1431440286,9.4500,9.4650,9.4500,9.4650,800
1431440700,9.4550,9.4550,9.4550,9.4550,100
1431440873,9.4750,9.5000,9.4500,9.4500,1000
1431440901,9.5000,9.5000,9.4400,9.4700,1400
1431441335,9.5000,9.5000,9.5000,9.5000,1900
1431441635,9.4900,9.4900,9.4900,9.4900,100
1431441747,9.5000,9.5000,9.5000,9.5000,100
1431441957,9.5000,9.5200,9.5000,9.5000,3700
1431441979,9.5000,9.5000,9.5000,9.5000,300
1431442020,9.5000,9.5000,9.5000,9.5000,100
1431442140,9.5000,9.5000,9.5000,9.5000,800
1431442247,9.5000,9.5000,9.4900,9.4900,1400
1431442343,9.5000,9.5200,9.4900,9.4970,900
1431443313,9.5000,9.5000,9.5000,9.5000,200
1431443400,9.5000,9.5000,9.5000,9.5000,100
1431443600,9.4900,9.4950,9.4900,9.4900,500
1431443692,9.4800,9.4850,9.4800,9.4850,400
1431443754,9.5000,9.5000,9.4800,9.5000,1200
1431444203,9.5000,9.5000,9.4600,9.4600,300
1431444286,9.5000,9.5000,9.5000,9.5000,800
1431444333,9.4999,9.4999,9.4999,9.4999,100
1431444651,9.4900,9.4900,9.4900,9.4900,100
1431444686,9.5000,9.5000,9.5000,9.5000,100
1431444787,9.4800,9.5000,9.4800,9.4800,1800
1431445289,9.5000,9.5000,9.5000,9.5000,200
1431445709,9.5000,9.5000,9.4900,9.4900,1800
1431445763,9.5000,9.5000,9.5000,9.5000,600
1431446024,9.4900,9.5000,9.4900,9.4950,400
1431446085,9.4950,9.5000,9.4900,9.4950,3100
1431446193,9.4950,9.4950,9.4950,9.4950,100
1431446317,9.5000,9.5000,9.5000,9.5000,200
1431446995,9.4400,9.5000,9.4400,9.4900,2200
1431447329,9.4650,9.5000,9.4650,9.5000,300
1431447587,9.4900,9.5000,9.4900,9.5000,4600
1431447757,9.5000,9.5000,9.5000,9.5000,100
1431447900,9.5000,9.5000,9.5000,9.5000,100
1431448057,9.5000,9.5000,9.5000,9.5000,100
1431448293,9.5000,9.5000,9.5000,9.5000,600
1431448333,9.5000,9.5000,9.4900,9.5000,5500
1431448380,9.4900,9.5000,9.4900,9.5000,12800
1431448618,9.6100,9.6150,9.5900,9.5900,1200
1431448716,9.6800,9.6800,9.6800,9.6800,100
1431448833,9.6750,9.6750,9.6750,9.6750,100
1431448899,9.7000,9.7000,9.6700,9.6700,1200
1431448963,9.7200,9.7200,9.7200,9.7200,600
1431449022,9.7400,9.7700,9.7100,9.7450,2000
1431449075,9.7650,9.7650,9.7650,9.7650,100
1431449138,9.7200,9.7800,9.7200,9.7650,1800
1431449321,9.7600,9.7700,9.7500,9.7699,400
1431449443,9.7550,9.7550,9.7550,9.7550,100
1431449567,9.7600,9.7600,9.7600,9.7600,100
1431449616,9.8050,9.8050,9.7500,9.7750,2100
1431449689,9.7925,9.7925,9.7925,9.7925,100
1431449818,9.7900,9.7900,9.7900,9.7900,200
1431449869,9.7500,9.8000,9.7400,9.8000,1800
1431449935,9.7500,9.7500,9.7500,9.7500,100
1431450026,9.7500,9.7500,9.7100,9.7200,300
1431450185,9.7600,9.7600,9.7600,9.7600,100
1431450299,9.7500,9.7500,9.7500,9.7500,200
1431450336,9.7500,9.7900,9.7500,9.7700,400
1431450373,9.7500,9.7500,9.7500,9.7500,100
1431450462,9.7500,9.7700,9.7500,9.7700,400
1431450491,9.7000,9.7700,9.7000,9.7700,700
1431450704,9.7000,9.7000,9.7000,9.7000,100
1431450744,9.7500,9.7500,9.7000,9.7000,400
1431450857,9.7500,9.7500,9.7500,9.7500,100
1431450918,9.7500,9.7500,9.7500,9.7500,100
1431451068,9.7400,9.7636,9.7400,9.7525,500
1431451100,9.7200,9.7200,9.7200,9.7200,200
1431451174,9.7400,9.7400,9.7300,9.7300,400
1431451293,9.7499,9.7499,9.7499,9.7499,100
1431451350,9.7200,9.7500,9.7200,9.7500,600
1431451438,9.7525,9.7550,9.7200,9.7200,500
1431451500,9.7600,9.7600,9.7600,9.7600,100
1431451738,9.7780,9.7900,9.7600,9.7900,600
1431451799,9.7700,9.7700,9.7600,9.7600,300
1431451829,9.7600,9.7600,9.7600,9.7600,100
1431451978,9.7750,9.7750,9.7750,9.7750,100
1431452003,9.7600,9.7600,9.7550,9.7600,900
1431452062,9.7300,9.7550,9.7300,9.7550,300
1431452105,9.7300,9.7300,9.7300,9.7300,100
1431452216,9.7550,9.7675,9.7550,9.7550,300
1431452451,9.7500,9.7550,9.7500,9.7550,300
1431452633,9.7600,9.7600,9.7600,9.7600,100
1431452640,9.7600,9.7600,9.7600,9.7600,300
1431452742,9.7500,9.7500,9.7500,9.7500,100
1431452796,9.7000,9.7000,9.7000,9.7000,100
1431452919,9.7300,9.8000,9.7300,9.7600,300
1431452963,9.7800,9.8300,9.7750,9.7750,600
1431453042,9.7700,9.8000,9.7700,9.8000,1100
1431453164,9.8100,9.8800,9.8050,9.8700,700
1431453216,9.8500,9.8900,9.8500,9.8900,200
1431453277,9.8300,9.8300,9.8300,9.8300,200
1431453300,9.8400,9.8400,9.8400,9.8400,100
1431453380,9.8300,9.8300,9.8300,9.8300,100
1431453516,9.8400,9.8400,9.8100,9.8100,300
1431453585,9.8200,9.8200,9.8200,9.8200,200
1431453829,9.7900,9.8200,9.7800,9.8000,500
1431453891,9.8200,9.8200,9.8200,9.8200,100
1431453991,9.8200,9.8200,9.8200,9.8200,100
1431454052,9.8000,9.8399,9.5000,9.8399,26200
1431454122,9.7650,9.8100,9.7300,9.7800,1400
1431454174,9.7300,9.7300,9.7300,9.7300,200
1431454277,9.7596,9.7600,9.7596,9.7600,1100
1431454370,9.7495,9.7500,9.7455,9.7500,1100
1431454416,9.7600,9.7600,9.7600,9.7600,200
1431454499,9.7900,9.7994,9.7500,9.7994,2300
1431454500,9.7900,9.7900,9.7900,9.7900,100
1431454621,9.7850,9.7850,9.7850,9.7850,100
1431454738,9.7850,9.8100,9.7850,9.8100,300
1431454866,9.7600,9.7600,9.7600,9.7600,100
1431455016,9.7900,9.8100,9.7850,9.7850,300
1431455100,9.8100,9.8100,9.7950,9.7950,300
1431455211,9.7900,9.7900,9.7900,9.7900,100
1431455222,9.8000,9.8000,9.8000,9.8000,400
1431455324,9.8000,9.8100,9.8000,9.8100,700
1431455420,9.8150,9.8150,9.8150,9.8150,100
1431455483,9.8150,9.8150,9.8000,9.8000,800
1431455533,9.8150,9.8150,9.8150,9.8150,100
1431455759,9.8150,9.8150,9.8150,9.8150,100
1431455760,9.8150,9.8150,9.8150,9.8150,100
1431455938,9.8200,9.8300,9.8000,9.8000,1100
1431455957,9.8200,9.8200,9.8200,9.8200,100
1431456030,9.8250,9.8250,9.8250,9.8250,100
1431456102,9.8299,9.8299,9.8200,9.8200,1100
1431456216,9.8200,9.8299,9.8100,9.8200,1300
1431456251,9.8100,9.8100,9.8100,9.8100,100
1431456326,9.8200,9.8200,9.8200,9.8200,100
1431456449,9.8200,9.8200,9.8200,9.8200,100
1431456516,9.8300,9.8300,9.8200,9.8200,200
1431456596,9.8100,9.8200,9.8100,9.8200,900
1431456603,9.8100,9.8100,9.8100,9.8100,100
1431456812,9.8300,9.8300,9.8300,9.8300,200
1431456898,9.8000,9.8000,9.8000,9.8000,400
1431456944,9.7500,9.8100,9.7500,9.8100,1600
1431456994,9.7500,9.7500,9.7500,9.7500,100
1431457063,9.7650,9.7650,9.7650,9.7650,100
1431457129,9.7500,9.7600,9.7500,9.7600,400
1431457197,9.7500,9.7500,9.7500,9.7500,600
1431457248,9.7500,9.7650,9.7450,9.7650,1000
1431457286,9.7300,9.7300,9.7300,9.7300,100
1431457489,9.7400,9.7500,9.7400,9.7500,300
1431457677,9.7600,9.7600,9.7400,9.7550,300
1431457716,9.7700,9.7700,9.7553,9.7600,600
1431457769,9.7699,9.7699,9.7699,9.7699,100
1431458016,9.7700,9.7700,9.7400,9.7400,200
1431458085,9.7600,9.7600,9.7600,9.7600,200
1431458203,9.7600,9.7600,9.7600,9.7600,100
1431458329,9.7400,9.7750,9.7400,9.7700,3800
1431458584,9.7650,9.7650,9.7650,9.7650,200
1431458674,9.7850,9.7850,9.7600,9.7700,300
1431458700,9.7750,9.7750,9.7750,9.7750,100
1431458761,9.7600,9.7600,9.7600,9.7600,500
1431458831,9.7500,9.7500,9.7500,9.7500,100
1431458925,9.7650,9.7650,9.7600,9.7600,300
1431458944,9.7500,9.7500,9.7500,9.7500,100
1431459111,9.7550,9.7600,9.7550,9.7600,600
1431459174,9.7500,9.7900,9.7500,9.7600,4600
1431459199,9.7500,9.7500,9.7500,9.7500,100
1431459412,9.7550,9.7550,9.7550,9.7550,900
1431459516,9.7600,9.7600,9.7600,9.7600,100
1431459629,9.7600,9.7600,9.7600,9.7600,100
1431459709,9.7500,9.7500,9.7500,9.7500,100
1431459800,9.7600,9.7600,9.7600,9.7600,200
