uri:/instrument/1.0/ENDP/chartdata;type=quote;range=1d/csv
ticker:endp
Company-Name:Endo International plc
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:86.6600
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:83.5400,86.0850
high:83.5675,86.3050
low:83.5200,85.7900
open:83.5400,86.0850
volume:0,155100
1431437465,85.7700,86.3050,85.7700,86.0500,14100
1431437566,85.7500,85.7500,85.7000,85.7100,600
1431437635,86.0850,86.0850,85.7200,85.7400,1200
1431437680,86.0750,86.0850,85.7900,86.0850,1900
1431437758,85.7100,85.9700,85.6800,85.7300,9500
1431437819,85.3000,85.7400,85.2700,85.7100,5500
1431437873,85.4500,85.4500,85.3200,85.3200,1700
1431437892,85.3700,85.4600,85.2800,85.3700,6100
1431437988,85.3700,85.3900,85.3600,85.3900,1600
1431438058,85.3600,85.4750,85.3600,85.3600,11300
1431438117,85.4000,85.4800,85.3700,85.4000,5300
1431438123,85.4100,85.4100,85.4000,85.4000,1300
1431438239,85.2200,85.4300,85.0100,85.4000,17400
1431438295,85.1650,85.3400,85.1350,85.2900,2400
1431438357,85.0900,85.1500,85.0900,85.1500,1700
1431438364,85.0000,85.1100,84.7300,85.1100,7400
1431438420,85.2100,85.2400,84.9500,84.9500,1900
1431438523,85.2000,85.2300,85.1805,85.1805,700
1431438591,85.1450,85.2500,85.0200,85.2300,8600
1431438659,85.2100,85.2100,84.9500,85.0850,11700
1431438706,85.2200,85.3000,85.2200,85.2700,3900
1431438732,85.3000,85.3600,85.2300,85.2500,3800
1431438837,85.2200,85.3400,85.2200,85.2600,5900
1431438841,85.2500,85.2500,85.1000,85.2300,7700
1431438920,85.3500,85.6400,85.3200,85.3200,13600
1431439014,85.4100,85.5100,85.2800,85.3500,7200
1431439079,85.5900,85.6100,85.4300,85.4300,32000
1431439139,85.3300,85.6000,85.2400,85.5900,51400
1431439190,85.3400,85.4100,85.2400,85.3400,19700
1431439205,85.2500,85.3200,85.1400,85.3200,28200
1431439266,85.2700,85.3000,85.2500,85.2500,12900
1431439379,85.3800,85.3800,85.3500,85.3500,2000
1431439437,85.4200,85.4200,85.3700,85.3700,1400
1431439499,85.4000,85.4400,85.3800,85.4400,7500
1431439500,85.4600,85.4600,85.4050,85.4050,2000
1431439563,85.5000,85.5000,85.5000,85.5000,1200
1431439621,85.5000,85.6000,85.4500,85.5700,4200
1431439725,85.5900,85.5900,85.5600,85.5600,500
1431439740,85.5500,85.6500,85.5500,85.6300,2900
1431439858,85.5100,85.5400,85.4500,85.5400,8500
1431439918,85.6000,85.6100,85.5350,85.5350,8900
1431439972,85.6000,85.6100,85.5900,85.6000,10000
1431440024,85.5950,85.6400,85.5900,85.6000,11100
1431440040,85.6000,85.6000,85.5600,85.5950,2900
1431440153,85.6000,85.6000,85.5800,85.5950,7400
1431440160,85.6300,85.6400,85.6000,85.6000,3800
1431440222,85.5950,85.6300,85.5800,85.6300,10400
1431440339,85.6000,85.6300,85.6000,85.6100,2600
1431440397,85.5700,85.6600,85.5700,85.6000,19800
1431440458,85.5900,85.7200,85.5850,85.5850,12300
1431440463,85.5200,85.5500,85.4800,85.5500,3100
1431440525,85.5000,85.5100,85.4800,85.5100,2200
1431440617,85.4200,85.5000,85.3700,85.5000,1700
1431440646,85.2800,85.3700,85.2800,85.3700,3100
1431440745,85.2300,85.3000,85.2300,85.2800,1000
1431440811,85.2900,85.3200,85.2400,85.2500,1900
1431440823,85.3200,85.3600,85.3200,85.3250,2000
1431440889,85.3600,85.4000,85.3300,85.3300,1100
1431440963,85.1700,85.3600,85.1700,85.3600,3200
1431441044,85.2600,85.2600,85.2000,85.2000,1700
1431441071,85.1700,85.2400,85.1400,85.2300,2500
1431441137,85.2000,85.2200,85.1500,85.1900,3700
1431441194,85.2900,85.3100,85.2100,85.2300,2300
1431441243,85.2800,85.3500,85.2400,85.2400,7800
1431441343,85.3300,85.3700,85.2800,85.3300,2400
1431441365,85.3850,85.3850,85.3000,85.3050,1800
1431441451,85.3900,85.4400,85.3900,85.4000,1300
1431441538,85.4900,85.4900,85.4500,85.4500,4600
1431441595,85.4800,85.4800,85.4200,85.4750,8400
1431441601,85.6500,85.6500,85.5000,85.5000,2700
1431441661,85.6000,85.6600,85.5800,85.6500,4000
1431441774,85.6100,85.6200,85.5700,85.6100,2400
1431441830,85.5300,85.5900,85.5300,85.5700,1400
1431441899,85.5300,85.5600,85.4900,85.5200,5500
1431441908,85.6500,85.6900,85.5300,85.5300,14600
1431441966,85.4800,85.6200,85.4600,85.6200,4700
1431442023,85.5400,85.5400,85.4400,85.4500,2400
1431442139,85.5800,85.6700,85.5300,85.5700,7500
1431442189,85.5100,85.5800,85.5000,85.5800,7700
1431442201,85.5150,85.5700,85.4800,85.4900,8700
1431442265,85.3600,85.4900,85.3400,85.4900,3400
1431442326,85.4100,85.4200,85.3900,85.3900,1200
1431442385,85.4100,85.4200,85.4100,85.4100,600
1431442496,85.3300,85.4500,85.3300,85.4200,4200
1431442554,85.4600,85.4600,85.3300,85.3600,3100
1431442568,85.4500,85.4700,85.4500,85.4700,700
1431442636,85.3900,85.4400,85.3700,85.4400,4500
1431442700,85.4200,85.4200,85.3800,85.3900,1000
1431442748,85.4100,85.4100,85.3800,85.3900,900
1431442808,85.3300,85.4000,85.3000,85.4000,3900
1431442905,85.3700,85.3700,85.3200,85.3200,500
1431442927,85.3700,85.3900,85.3200,85.3900,3600
1431443039,85.3200,85.4000,85.3200,85.3900,2200
1431443095,85.3600,85.3700,85.3200,85.3200,1800
1431443156,85.4300,85.4400,85.3200,85.3300,2300
1431443191,85.3600,85.3900,85.3600,85.3900,600
1431443279,85.3200,85.4100,85.3200,85.4100,5300
1431443287,85.2200,85.3100,85.1500,85.3100,5800
1431443381,85.2400,85.2400,85.2100,85.2200,1300
1431443404,85.2400,85.2600,85.2100,85.2100,1400
1431443518,85.1700,85.2700,85.1700,85.2300,4100
1431443579,85.1700,85.2200,85.1700,85.1900,1600
1431443628,85.1700,85.2000,85.1700,85.1700,4100
1431443640,85.1500,85.1800,85.1400,85.1700,7700
1431443753,85.1700,85.2000,85.1100,85.1200,5600
1431443812,85.0300,85.1500,85.0300,85.1500,4100
1431443843,85.0300,85.0600,85.0300,85.0300,2900
1431443880,84.9700,85.0300,84.8700,85.0300,13200
1431443941,85.0150,85.0300,85.0050,85.0300,400
1431444058,85.0100,85.0300,85.0000,85.0000,2300
1431444119,85.0900,85.0900,85.0000,85.0100,1800
