uri:/instrument/1.0/ENPH/chartdata;type=quote;range=1d/csv
ticker:enph
Company-Name:Enphase Energy, Inc.
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.8200
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:9.3350,10.0000
high:9.3600,10.0000
low:9.3104,10.0000
open:9.3400,10.0000
volume:100,82100
1431610200,9.8500,9.8900,9.8500,9.8900,14800
1431610314,9.8900,9.9000,9.8800,9.9000,4400
1431610343,9.8600,9.8900,9.8500,9.8900,3000
1431610393,9.8000,9.8300,9.8000,9.8300,2400
1431610494,9.7999,9.7999,9.7999,9.7999,6400
1431610553,9.7700,9.7800,9.7475,9.7600,7700
1431610636,9.8500,9.9200,9.7760,9.7900,7800
1431610734,9.8300,9.8500,9.8300,9.8500,400
1431610779,9.8300,9.8500,9.8300,9.8500,400
1431610852,9.8100,9.8200,9.8100,9.8200,1200
1431610862,9.8350,9.8350,9.8200,9.8200,400
1431610922,9.8200,9.8300,9.8200,9.8300,500
1431611036,9.7900,9.8250,9.7900,9.8250,6000
1431611096,9.7800,9.7850,9.7800,9.7850,2900
1431611160,9.7800,9.7800,9.7800,9.7800,400
1431611266,9.8250,9.8300,9.7800,9.7900,3300
1431611335,9.8000,9.8300,9.8000,9.8200,3000
1431611342,9.7800,9.8000,9.7800,9.8000,700
1431611449,9.7750,9.7972,9.7750,9.7972,300
1431611466,9.7750,9.7750,9.7750,9.7750,100
1431611634,9.7700,9.7900,9.7700,9.7700,3300
1431611680,9.6600,9.7700,9.6600,9.7700,19500
1431611730,9.6900,9.6900,9.6700,9.6700,800
1431611798,9.7000,9.7000,9.7000,9.7000,1300
1431611860,9.6927,9.7250,9.6927,9.7250,3300
1431611906,9.7000,9.7000,9.6950,9.7000,900
1431611962,9.7500,9.7500,9.7000,9.7000,2000
1431612013,9.7300,9.7300,9.7200,9.7200,500
1431612109,9.7400,9.7400,9.7300,9.7300,600
1431612152,9.7400,9.7400,9.7350,9.7400,500
1431612216,9.7200,9.7500,9.7200,9.7200,4700
1431612333,9.7300,9.7400,9.7300,9.7400,1100
1431612386,9.7350,9.7500,9.7300,9.7300,2200
1431612472,9.7400,9.7400,9.7300,9.7300,1400
1431612522,9.7432,9.7432,9.7432,9.7432,300
1431612578,9.7300,9.7498,9.7300,9.7400,3100
1431612601,9.7500,9.7500,9.7400,9.7400,2700
1431612705,9.7300,9.7500,9.7200,9.7500,2700
1431612730,9.7100,9.7100,9.7100,9.7100,600
1431612837,9.7172,9.7200,9.7101,9.7150,4500
1431612880,9.7320,9.7400,9.7101,9.7101,2500
1431612902,9.7400,9.7500,9.7400,9.7500,5600
1431613001,9.7100,9.7300,9.7100,9.7300,2300
1431613076,9.7100,9.7100,9.7100,9.7100,3800
1431613117,9.7100,9.7100,9.7100,9.7100,1200
1431613179,9.7100,9.7100,9.7100,9.7100,1100
1431613203,9.6900,9.7100,9.6900,9.7100,1500
1431613310,9.6800,9.6951,9.6800,9.6951,1500
1431613338,9.6900,9.6900,9.6800,9.6800,300
1431613438,9.6750,9.6800,9.6700,9.6800,6000
1431613481,9.6700,9.6800,9.6700,9.6800,3000
1431613555,9.6200,9.6700,9.6200,9.6700,9100
1431613577,9.6300,9.6300,9.6100,9.6100,200
1431613677,9.6000,9.6300,9.5900,9.6300,14100
1431613715,9.5940,9.6000,9.5900,9.6000,12700
1431613797,9.5100,9.5800,9.4900,9.5800,29400
1431613850,9.5340,9.5340,9.4800,9.5100,11100
1431613911,9.5500,9.5600,9.5500,9.5544,1000
1431613958,9.5500,9.5800,9.5400,9.5800,2100
1431614016,9.5100,9.5696,9.5100,9.5696,1600
1431614082,9.4850,9.5600,9.4850,9.5200,14200
1431614148,9.4900,9.4950,9.4801,9.4900,3100
1431614163,9.4722,9.4800,9.4700,9.4800,3000
1431614229,9.4800,9.4800,9.4788,9.4788,1100
1431614297,9.4730,9.4730,9.4730,9.4730,700
1431614344,9.4750,9.4899,9.4650,9.4700,3600
1431614413,9.4621,9.4700,9.4600,9.4600,1700
1431614508,9.4301,9.4700,9.4300,9.4700,13100
1431614573,9.4400,9.4473,9.4400,9.4473,300
1431614638,9.4268,9.4500,9.4000,9.4500,28500
1431614674,9.4053,9.4200,9.4000,9.4100,4900
1431614756,9.4050,9.4299,9.3900,9.4299,6900
1431614819,9.3500,9.4000,9.3300,9.4000,21000
1431614878,9.3350,9.3700,9.3104,9.3500,16200
1431614936,9.3550,9.3600,9.3300,9.3400,37200
1431614987,9.3600,9.3700,9.3500,9.3550,28700
1431615006,9.3500,9.3700,9.3500,9.3500,3200
1431615096,9.3640,9.3700,9.3600,9.3700,1400
1431615173,9.4099,9.4099,9.3621,9.3700,2800
1431615236,9.4700,9.4700,9.4099,9.4100,4900
1431615268,9.4534,9.4599,9.4480,9.4500,2100
1431615300,9.4600,9.4700,9.4500,9.4502,1300
1431615407,9.4910,9.4910,9.4650,9.4650,1600
1431615477,9.5000,9.5300,9.4900,9.5000,82100
1431615522,9.5250,9.5400,9.5000,9.5300,4200
1431615554,9.5100,9.5250,9.5000,9.5250,12900
1431615658,9.5400,9.5400,9.5200,9.5300,1500
1431615698,9.5700,9.5900,9.5300,9.5400,11100
1431615742,9.5500,9.5700,9.5500,9.5700,1300
1431615899,9.5650,9.5700,9.5600,9.5686,20500
1431615959,9.5700,9.5800,9.5600,9.5650,5300
1431615960,9.5600,9.5780,9.5500,9.5600,3900
1431616077,9.6000,9.6000,9.5700,9.5700,1400
1431616132,9.6100,9.6100,9.6100,9.6100,100
1431616177,9.6200,9.6300,9.6200,9.6300,3200
1431616204,9.6100,9.6100,9.5900,9.6100,1600
1431616308,9.5400,9.5800,9.5300,9.5800,3500
1431616373,9.5356,9.5356,9.5356,9.5356,400
1431616426,9.5400,9.5500,9.5400,9.5500,200
1431616513,9.5400,9.5400,9.5400,9.5400,400
1431616612,9.5600,9.5600,9.5400,9.5500,8200
1431616678,9.5750,9.5750,9.5600,9.5700,700
1431616726,9.6100,9.6100,9.5900,9.5900,800
1431616741,9.6500,9.6600,9.6200,9.6200,7700
1431616842,9.6520,9.6690,9.6500,9.6500,2300
1431616892,9.6700,9.6799,9.6400,9.6400,4500
1431616974,9.6700,9.6800,9.6600,9.6600,1000
1431617026,9.6700,9.6800,9.6700,9.6700,1200
1431617156,9.6700,9.6800,9.6700,9.6800,1700
1431617176,9.6768,9.6800,9.6768,9.6800,600
1431617223,9.6600,9.6800,9.6600,9.6800,1300
1431617299,9.6900,9.6900,9.6800,9.6800,1400
1431617368,9.7350,9.7350,9.7000,9.7000,3000
1431617459,9.7450,9.7500,9.7400,9.7400,700
1431617467,9.7400,9.7470,9.7400,9.7470,5300
1431617571,9.8700,9.8700,9.7500,9.7500,26800
1431617639,9.8250,9.8500,9.8000,9.8500,7900
1431617698,9.8450,9.8500,9.8250,9.8250,1200
1431617747,9.8700,9.8700,9.8400,9.8450,900
1431617812,9.8700,9.8800,9.8600,9.8600,2500
1431617868,9.8701,9.8800,9.8601,9.8601,2300
1431617894,9.8800,9.8800,9.8800,9.8800,100
1431617998,9.8700,9.8800,9.8700,9.8800,800
1431618027,9.8800,9.8900,9.8700,9.8800,1100
1431618109,9.8700,9.8700,9.8700,9.8700,200
1431618160,9.8800,9.8800,9.8656,9.8800,1600
1431618215,9.8756,9.8900,9.8720,9.8900,3000
1431618292,9.8828,9.8900,9.8800,9.8900,400
1431618310,9.8900,9.8900,9.8900,9.8900,1900
1431618408,9.8800,9.8900,9.8800,9.8900,4800
1431618477,9.8900,9.8900,9.8800,9.8800,500
1431618539,9.8750,9.8802,9.8750,9.8800,1500
1431618540,9.8700,9.8800,9.8700,9.8700,1100
1431618659,9.8391,9.8700,9.8100,9.8600,20900
1431618672,9.8800,9.8800,9.8500,9.8500,2000
1431618750,9.8627,9.8800,9.8627,9.8800,300
1431618835,9.8702,9.8800,9.8601,9.8800,1300
1431618884,9.8700,9.8802,9.8700,9.8800,1500
1431618999,9.8700,9.8880,9.8700,9.8880,1200
1431619040,9.8800,9.8900,9.8800,9.8800,400
1431619117,9.8628,9.8800,9.8600,9.8800,2600
1431619174,9.8600,9.8600,9.8600,9.8600,100
1431619201,9.8800,9.8800,9.8700,9.8700,1700
1431619298,9.8700,9.8700,9.8700,9.8700,100
1431619374,9.8900,9.8900,9.8799,9.8799,700
1431619669,9.8800,9.8900,9.8800,9.8900,3500
1431619739,9.8701,9.8800,9.8701,9.8800,1700
1431619788,9.8600,9.8701,9.8556,9.8700,1300
1431619813,9.8600,9.8600,9.8500,9.8500,900
1431619877,9.8600,9.8600,9.8600,9.8600,200
1431619967,9.8600,9.8600,9.8500,9.8500,500
1431620011,9.8500,9.8500,9.8500,9.8500,100
1431620057,9.8500,9.8500,9.8500,9.8500,100
1431620101,9.7900,9.8600,9.7900,9.8500,6500
1431620226,9.8000,9.8100,9.8000,9.8100,800
1431620319,9.8100,9.8100,9.8100,9.8100,100
1431620376,9.8100,9.8100,9.8100,9.8100,500
1431620405,9.8100,9.8200,9.8100,9.8200,1100
1431620491,9.8100,9.8200,9.8100,9.8200,200
1431620534,9.8100,9.8100,9.8100,9.8100,200
1431620597,9.8000,9.8300,9.8000,9.8300,400
1431620647,9.8300,9.8300,9.8100,9.8100,1800
1431620735,9.8500,9.8500,9.8500,9.8500,400
1431620920,9.8600,9.8600,9.8600,9.8600,900
1431621010,9.8516,9.8516,9.8500,9.8500,700
1431621062,9.8800,9.8800,9.8600,9.8600,1800
1431621169,9.8900,9.8900,9.8900,9.8900,200
1431621226,9.8900,9.8900,9.8900,9.8900,200
1431621228,9.9000,9.9100,9.8850,9.8900,8800
1431621296,9.9290,9.9290,9.9290,9.9290,1100
1431621394,9.9000,9.9200,9.8900,9.9200,2000
1431621455,9.9260,9.9300,9.9260,9.9300,700
1431621579,9.9800,9.9800,9.9499,9.9499,2200
1431621639,9.9900,9.9900,9.9200,9.9200,2100
1431621715,9.9856,9.9856,9.9801,9.9801,1300
1431621775,9.9801,9.9906,9.9323,9.9820,1700
1431621834,9.9856,9.9900,9.9800,9.9856,5600
1431621898,9.9900,10.0000,9.9500,10.0000,7700
