uri:/instrument/1.0/ENTR/chartdata;type=quote;range=500d/csv
ticker:entr
Company-Name:Entropic Communications, Inc.
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:3.0900
range:20150410,1428672600,1428696000
range:20150413,1428931800,1428955200
range:20150414,1429018200,1429041600
range:20150415,1429104600,1429128000
range:20150416,1429191000,1429214400
range:20150417,1429277400,1429300800
range:20150420,1429536600,1429560000
range:20150421,1429623000,1429646400
range:20150422,1429709400,1429732800
range:20150423,1429795800,1429819200
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
Timestamp:1428672600,1430424000
labels:1428672600,1428931800,1429018200,1429104600,1429191000,1429277400,1429536600,1429623000,1429709400,1429795800,1429882200,1430141400,1430227800,1430314200,1430400600
values:Timestamp,close,high,low,open,volume
close:3.0100,3.1700
high:3.0200,3.1700
low:3.0050,3.1600
open:3.0200,3.1700
volume:0,2272000
1428672884,3.0700,3.0700,3.0500,3.0560,9800
1428673056,3.0500,3.0500,3.0500,3.0500,200
1428673498,3.0500,3.0600,3.0490,3.0600,21400
1428673538,3.0500,3.0550,3.0500,3.0500,4800
1428674358,3.0400,3.0500,3.0400,3.0500,400
1428674632,3.0450,3.0450,3.0400,3.0400,14100
1428674944,3.0500,3.0500,3.0400,3.0400,400
1428675078,3.0400,3.0500,3.0400,3.0500,400
1428675598,3.0400,3.0400,3.0400,3.0400,300
1428675769,3.0400,3.0400,3.0400,3.0400,100
1428676167,3.0450,3.0500,3.0400,3.0450,700
1428676459,3.0400,3.0500,3.0400,3.0500,300
1428676786,3.0400,3.0500,3.0400,3.0500,600
1428676820,3.0400,3.0400,3.0400,3.0400,100
1428677185,3.0500,3.0500,3.0400,3.0400,400
1428677628,3.0500,3.0500,3.0400,3.0400,600
1428677901,3.0400,3.0400,3.0400,3.0400,100
1428678276,3.0400,3.0400,3.0400,3.0400,300
1428678308,3.0400,3.0450,3.0400,3.0450,1000
1428678780,3.0500,3.0500,3.0400,3.0400,500
1428679177,3.0400,3.0500,3.0400,3.0400,2800
1428679473,3.0500,3.0500,3.0500,3.0500,700
1428679709,3.0500,3.0500,3.0500,3.0500,700
1428679822,3.0450,3.0450,3.0450,3.0450,100
1428680398,3.0500,3.0500,3.0400,3.0450,14000
1428680633,3.0450,3.0480,3.0450,3.0480,200
1428680941,3.0500,3.0500,3.0500,3.0500,500
1428681038,3.0450,3.0450,3.0450,3.0450,100
1428681547,3.0500,3.0500,3.0450,3.0450,600
1428681845,3.0400,3.0500,3.0400,3.0400,1700
1428682090,3.0500,3.0500,3.0500,3.0500,200
1428682344,3.0400,3.0400,3.0400,3.0400,100
1428682647,3.0500,3.0500,3.0500,3.0500,100
1428683067,3.0400,3.0500,3.0400,3.0500,1600
1428683275,3.0400,3.0500,3.0400,3.0500,200
1428683650,3.0450,3.0480,3.0450,3.0480,1800
1428683990,3.0500,3.0500,3.0400,3.0400,800
1428684251,3.0400,3.0400,3.0400,3.0400,100
1428684541,3.0400,3.0500,3.0400,3.0500,1800
1428684841,3.0500,3.0500,3.0400,3.0400,400
1428685447,3.0500,3.0500,3.0400,3.0400,1100
1428685707,3.0400,3.0400,3.0400,3.0400,100
1428686042,3.0400,3.0500,3.0400,3.0500,300
1428686376,3.0400,3.0500,3.0400,3.0500,400
1428686685,3.0500,3.0500,3.0400,3.0450,1700
1428686839,3.0400,3.0500,3.0400,3.0500,200
1428687119,3.0400,3.0500,3.0400,3.0500,300
1428687423,3.0500,3.0500,3.0500,3.0500,200
1428687758,3.0500,3.0500,3.0500,3.0500,700
1428688117,3.0500,3.0500,3.0400,3.0500,900
1428688397,3.0400,3.0400,3.0400,3.0400,200
1428688660,3.0450,3.0450,3.0400,3.0400,200
1428689095,3.0500,3.0500,3.0400,3.0500,1000
1428689174,3.0450,3.0450,3.0450,3.0450,100
1428689686,3.0500,3.0500,3.0400,3.0400,900
1428689955,3.0450,3.0500,3.0400,3.0500,2600
1428690286,3.0400,3.0500,3.0400,3.0500,200
1428690471,3.0450,3.0450,3.0450,3.0450,600
1428690739,3.0500,3.0500,3.0400,3.0400,300
1428691135,3.0500,3.0500,3.0450,3.0500,500
1428691458,3.0450,3.0500,3.0450,3.0500,200
1428691719,3.0500,3.0500,3.0438,3.0500,500
1428692062,3.0500,3.0500,3.0450,3.0450,700
1428692323,3.0416,3.0500,3.0416,3.0500,900
1428692672,3.0416,3.0450,3.0416,3.0416,1500
1428692945,3.0500,3.0500,3.0450,3.0500,1200
1428693289,3.0500,3.0500,3.0416,3.0500,2200
1428693548,3.0450,3.0500,3.0450,3.0500,1200
1428693896,3.0416,3.0500,3.0416,3.0500,1000
1428694198,3.0500,3.0500,3.0450,3.0500,900
1428694476,3.0500,3.0500,3.0400,3.0450,1100
1428694759,3.0416,3.0500,3.0416,3.0500,3400
1428695097,3.0500,3.0500,3.0400,3.0500,2000
1428695399,3.0500,3.0500,3.0416,3.0500,7400
1428695691,3.0500,3.0600,3.0400,3.0450,24400
1428695942,3.0500,3.0500,3.0400,3.0500,23400
1428696000,3.0500,3.0500,3.0500,3.0500,5600
1428932057,3.0100,3.0400,3.0050,3.0400,0
1428932360,3.0300,3.0400,3.0200,3.0200,19200
1428932606,3.0400,3.0400,3.0300,3.0300,53100
1428932971,3.0500,3.0500,3.0331,3.0400,56000
1428933103,3.0500,3.0500,3.0439,3.0439,25200
1428933535,3.0500,3.0500,3.0300,3.0425,7600
