uri:/instrument/1.0/ESSX/chartdata;type=quote;range=500d/csv
ticker:essx
Company-Name:Essex Rental Corporation
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:1.2500
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:1.0100,1.2800
high:1.0500,1.2900
low:1.0000,1.2800
open:1.0500,1.2900
volume:0,44800
1429884298,1.2654,1.2900,1.2601,1.2900,5100
1429884553,1.2400,1.2501,1.2400,1.2500,1300
1429889077,1.2700,1.2700,1.2700,1.2700,100
1429894301,1.2500,1.2500,1.2500,1.2500,500
1429897244,1.2500,1.2500,1.2500,1.2500,100
1429905545,1.2600,1.2600,1.2500,1.2500,1700
1429905600,1.2700,1.2700,1.2700,1.2700,100
1430141400,1.2400,1.2400,1.2400,1.2400,0
1430142421,1.2500,1.2600,1.2500,1.2600,600
1430143140,1.2400,1.2401,1.2400,1.2400,1500
1430143456,1.2500,1.2500,1.2500,1.2500,600
1430143849,1.2510,1.2510,1.2300,1.2300,2500
1430144862,1.2600,1.2600,1.2600,1.2600,3300
1430147036,1.2800,1.2800,1.2800,1.2800,100
1430152979,1.2700,1.2700,1.2700,1.2700,100
1430153161,1.2700,1.2700,1.2700,1.2700,100
1430157884,1.2600,1.2600,1.2600,1.2600,100
1430158611,1.2700,1.2700,1.2700,1.2700,100
1430162306,1.2600,1.2600,1.2600,1.2600,500
1430163238,1.2600,1.2600,1.2600,1.2600,200
1430164781,1.2700,1.2700,1.2600,1.2600,400
1430164800,1.2400,1.2400,1.2400,1.2400,300
1430227860,1.2600,1.2600,1.2600,1.2600,0
1430228289,1.2600,1.2600,1.2500,1.2500,1400
1430232177,1.2600,1.2600,1.2600,1.2600,1400
1430233170,1.2600,1.2600,1.2500,1.2600,2900
1430234111,1.2600,1.2600,1.2600,1.2600,300
1430235138,1.2700,1.2700,1.2600,1.2600,300
1430239083,1.2666,1.2666,1.2666,1.2666,1500
1430241382,1.2600,1.2600,1.2600,1.2600,1000
1430242335,1.2700,1.2700,1.2700,1.2700,100
1430243860,1.2670,1.2670,1.2579,1.2579,2000
1430249917,1.2600,1.2600,1.2600,1.2600,100
1430251200,1.2600,1.2600,1.2600,1.2600,100
1430314414,1.2400,1.2600,1.2100,1.2400,0
1430318624,1.2400,1.2600,1.2100,1.2500,10400
1430321614,1.2600,1.2600,1.2600,1.2600,100
1430321945,1.2600,1.2600,1.2500,1.2500,1600
1430327334,1.2400,1.2400,1.2400,1.2400,900
1430327918,1.2400,1.2400,1.2400,1.2400,100
1430329993,1.2200,1.2200,1.2200,1.2200,100
1430330607,1.2400,1.2400,1.2300,1.2300,300
1430330865,1.2400,1.2400,1.2400,1.2400,300
1430332071,1.2400,1.2400,1.2400,1.2400,2100
1430332398,1.2300,1.2300,1.2300,1.2300,1000
1430334430,1.2300,1.2300,1.2300,1.2300,400
1430336337,1.2400,1.2400,1.2300,1.2300,700
1430336938,1.2300,1.2300,1.2300,1.2300,200
1430337230,1.2300,1.2300,1.2300,1.2300,100
1430337544,1.2300,1.2300,1.2300,1.2300,200
1430337600,1.2400,1.2400,1.2400,1.2400,100
1430403953,1.2245,1.2245,1.2245,1.2245,0
1430406836,1.2200,1.2200,1.2200,1.2200,100
1430407248,1.2100,1.2100,1.2100,1.2100,1200
1430409649,1.1800,1.1800,1.1800,1.1800,1000
1430412064,1.1800,1.1800,1.1800,1.1800,10100
1430412666,1.1900,1.1900,1.1900,1.1900,600
1430415891,1.1800,1.1800,1.1800,1.1800,20000
1430416137,1.1900,1.1900,1.1900,1.1900,100
1430417249,1.1800,1.1800,1.1800,1.1800,100
1430417488,1.1890,1.1900,1.1890,1.1900,1000
1430418271,1.1884,1.1884,1.1884,1.1884,300
1430419391,1.1800,1.1800,1.1800,1.1800,2000
1430419554,1.1854,1.1854,1.1800,1.1800,500
1430421212,1.1900,1.1900,1.1900,1.1900,100
1430421380,1.1601,1.1900,1.1601,1.1800,4300
1430422773,1.1732,1.1732,1.1732,1.1732,200
1430423025,1.1900,1.2000,1.1800,1.1800,11500
1430423281,1.2000,1.2000,1.2000,1.2000,300
1430423944,1.2200,1.2200,1.2100,1.2100,1300
1430424000,1.2200,1.2200,1.2200,1.2200,700
1430490595,1.1900,1.1900,1.1900,1.1900,0
1430490759,1.2100,1.2100,1.2100,1.2100,900
1430491368,1.2100,1.2100,1.2100,1.2100,4000
1430499586,1.2100,1.2100,1.2100,1.2100,100
1430503440,1.1700,1.2000,1.1700,1.2000,4300
1430504036,1.1800,1.1800,1.1783,1.1783,1100
1430504372,1.1700,1.1700,1.1700,1.1700,400
1430504415,1.1700,1.1700,1.1700,1.1700,1300
1430504887,1.1600,1.1600,1.1600,1.1600,100
1430505876,1.1690,1.1700,1.1690,1.1700,600
1430506065,1.1700,1.1900,1.1600,1.1700,7900
1430506424,1.1800,1.1800,1.1700,1.1700,4800
1430506797,1.1701,1.1784,1.1700,1.1784,1700
1430507094,1.1600,1.1800,1.1600,1.1800,500
1430507388,1.1700,1.1700,1.1700,1.1700,3500
1430507439,1.1768,1.1800,1.1768,1.1800,400
1430507741,1.1768,1.1768,1.1768,1.1768,100
1430508280,1.1600,1.1700,1.1600,1.1700,200
1430508595,1.1600,1.1684,1.1600,1.1684,3000
1430508614,1.1700,1.1700,1.1700,1.1700,3100
1430509990,1.2200,1.2300,1.1700,1.1700,7800
