uri:/instrument/1.0/FFIV/chartdata;type=quote;range=1d/csv
ticker:ffiv
Company-Name:F5 Networks, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:126.2800
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:124.1600,125.5100
high:124.2800,125.5400
low:124.1100,125.5100
open:124.1100,125.5400
volume:0,40200
1431437400,125.4200,125.4200,125.4200,125.4200,9600
1431437464,124.6400,124.6400,124.6400,124.6400,3500
1431437624,125.1650,125.4100,124.9000,125.1200,1200
1431437675,125.3100,125.4300,125.3100,125.4100,400
1431437758,125.2100,125.3800,125.2100,125.3800,400
1431437776,125.4400,125.4400,125.2950,125.3900,500
1431437850,125.5100,125.5400,125.5100,125.5400,400
1431437903,125.1300,125.3700,125.1300,125.3700,3000
1431437990,125.0500,125.2350,125.0500,125.2350,400
1431438056,125.0500,125.1650,125.0100,125.1650,300
1431438060,124.6000,125.0000,124.4700,125.0000,2400
1431438185,124.5264,124.5400,124.4500,124.5400,1500
1431438287,124.2000,124.3800,124.1600,124.3800,2100
1431438353,124.1800,124.3400,124.1300,124.2000,4200
1431438376,124.1900,124.3200,124.1100,124.1100,1300
1431438479,124.5000,124.5390,124.1750,124.3750,1100
1431438485,124.4100,124.4205,124.4100,124.4205,400
1431438586,124.5000,124.5000,124.3300,124.4900,1000
1431438649,124.4700,124.6610,124.3300,124.5100,16500
1431438670,124.7300,124.7300,124.7300,124.7300,200
1431438767,124.8800,124.8800,124.8450,124.8450,700
1431438796,125.0600,125.0600,124.9600,124.9600,300
1431438855,124.8200,124.9200,124.8200,124.9200,800
1431438931,124.7500,124.7800,124.7400,124.7800,1000
1431438960,124.7100,124.7600,124.7100,124.7300,1100
1431439065,124.7500,124.7500,124.7500,124.7500,200
1431439134,124.5700,124.5800,124.5100,124.5500,900
1431439141,124.6000,124.6200,124.5650,124.5650,900
