uri:/instrument/1.0/FISV/chartdata;type=quote;range=1d/csv
ticker:fisv
Company-Name:Fiserv, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:80.1900
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:80.3900,81.0000
high:80.4000,81.0000
low:80.3900,80.8600
open:80.4000,81.0000
volume:100,27000
1431610258,80.8400,80.8400,80.8300,80.8300,8800
1431610311,81.0000,81.0000,80.8500,80.8800,3500
1431610322,80.8750,81.0000,80.8600,81.0000,2300
1431610383,80.7800,80.9000,80.7500,80.8300,2100
1431610485,80.8450,80.8450,80.7700,80.7700,300
1431610502,80.6600,80.8500,80.6000,80.8500,1400
1431610613,80.7100,80.7900,80.7100,80.7800,1300
1431610658,80.8400,80.9000,80.6700,80.6700,5100
1431610733,80.8200,80.8200,80.7900,80.8100,2200
1431610778,80.7400,80.8200,80.7000,80.8200,2000
1431610844,80.6700,80.8100,80.6700,80.7600,4000
1431610863,80.6100,80.7200,80.6100,80.7200,2000
1431610969,80.6150,80.6150,80.6150,80.6150,100
1431611032,80.5601,80.7950,80.5601,80.6600,5300
1431611093,80.5700,80.6150,80.5700,80.6100,600
1431611154,80.5950,80.6000,80.5950,80.6000,400
1431611163,80.6000,80.6300,80.5700,80.5700,3900
1431611261,80.6250,80.6250,80.5800,80.5800,300
1431611338,80.6200,80.6200,80.6200,80.6200,400
1431611368,80.5200,80.6200,80.5200,80.6200,1800
1431611450,80.5600,80.5700,80.5300,80.5300,700
1431611462,80.5600,80.5600,80.5600,80.5600,300
1431611560,80.5600,80.5600,80.5600,80.5600,300
1431611623,80.5600,80.5600,80.5600,80.5600,400
1431611683,80.5800,80.6100,80.5700,80.6000,2700
1431611703,80.5600,80.6100,80.5600,80.5800,1300
1431611796,80.4900,80.5600,80.4900,80.4900,1700
1431611878,80.5200,80.5200,80.4900,80.4900,500
1431611898,80.5100,80.5200,80.4700,80.5200,3200
1431611968,80.4500,80.4500,80.4500,80.4500,200
1431612000,80.4300,80.4700,80.4200,80.4600,2000
1431612065,80.4100,80.4400,80.4100,80.4300,1400
1431612128,80.3900,80.4000,80.3900,80.4000,300
1431612218,80.4400,80.4400,80.4000,80.4000,1000
1431612251,80.4900,80.4900,80.4002,80.4550,1600
1431612354,80.5500,80.5500,80.5400,80.5400,700
1431612484,80.5100,80.5200,80.4900,80.4900,2200
1431612597,80.6300,80.6400,80.5300,80.5500,4900
1431612640,80.6900,80.6900,80.6400,80.6400,1100
1431612719,80.6400,80.7000,80.6400,80.7000,1200
1431612778,80.5500,80.6600,80.5500,80.6600,5700
1431612781,80.5600,80.5800,80.5200,80.5400,12800
1431612899,80.6300,80.6300,80.5500,80.5500,2400
1431612902,80.6100,80.6400,80.6100,80.6300,3000
1431612967,80.6400,80.6400,80.6100,80.6100,1100
1431613038,80.6500,80.6500,80.6400,80.6400,1300
1431613080,80.6300,80.6300,80.6300,80.6300,1100
1431613198,80.6600,80.6600,80.6400,80.6400,1400
1431613257,80.6500,80.6900,80.6450,80.6450,6000
1431613271,80.6250,80.6300,80.6000,80.6300,5000
1431613379,80.6200,80.6400,80.6150,80.6250,3200
1431613383,80.6050,80.6050,80.5850,80.6000,2700
1431613458,80.6000,80.6200,80.6000,80.6200,1200
1431613553,80.6000,80.6250,80.6000,80.6050,6700
1431613562,80.6000,80.6200,80.5875,80.6100,5300
1431613675,80.5600,80.6000,80.5600,80.6000,4500
1431613736,80.6050,80.6050,80.5800,80.5800,3700
1431613797,80.5500,80.6000,80.5500,80.6000,10600
1431613855,80.5600,80.5900,80.5300,80.5600,5400
1431613879,80.5600,80.5600,80.5300,80.5300,1000
1431613970,80.5600,80.5600,80.5600,80.5600,200
1431613992,80.5500,80.5500,80.5500,80.5500,600
1431614050,80.5600,80.5600,80.5600,80.5600,100
1431614158,80.5750,80.5750,80.5500,80.5500,2400
1431614219,80.5500,80.5900,80.5500,80.5800,4900
1431614271,80.5500,80.5800,80.5500,80.5600,2200
1431614339,80.5400,80.5550,80.5400,80.5500,3600
1431614399,80.5600,80.5600,80.5400,80.5400,2600
1431614401,80.5500,80.5500,80.5500,80.5500,400
1431614461,80.5400,80.5600,80.5400,80.5500,27000
1431614563,80.5500,80.5550,80.5499,80.5500,1300
1431614633,80.5500,80.5500,80.5401,80.5500,2500
1431614697,80.5500,80.5650,80.5500,80.5500,8100
1431614754,80.5500,80.5650,80.5400,80.5500,5500
1431614809,80.5500,80.5650,80.5400,80.5500,5000
1431614874,80.5500,80.5700,80.5499,80.5600,4700
1431614883,80.5500,80.5700,80.5500,80.5500,3000
1431614998,80.5800,80.5800,80.5600,80.5600,1400
1431615004,80.5900,80.5900,80.5700,80.5714,1100
1431615086,80.5900,80.5900,80.5600,80.5800,1500
1431615163,80.6200,80.6200,80.6100,80.6100,400
1431615234,80.6599,80.6600,80.6100,80.6200,3300
1431615283,80.6400,80.6500,80.6400,80.6500,600
1431615414,80.6900,80.6900,80.6450,80.6450,2500
1431615439,80.6800,80.6800,80.6800,80.6800,300
1431615500,80.6800,80.6800,80.6800,80.6800,400
1431615583,80.6300,80.6800,80.6300,80.6800,3000
1431615603,80.6400,80.6500,80.6200,80.6300,17400
1431615666,80.6400,80.6700,80.6400,80.6400,6600
1431615773,80.6500,80.6700,80.6300,80.6500,2200
1431615780,80.6400,80.6750,80.6400,80.6700,1400
1431615879,80.6400,80.6500,80.6350,80.6400,1400
1431615927,80.6400,80.6600,80.6400,80.6600,1100
1431616045,80.6300,80.6600,80.6300,80.6450,3800
1431616135,80.6400,80.6400,80.6250,80.6300,2400
1431616175,80.6300,80.6300,80.6300,80.6300,100
1431616207,80.6235,80.6235,80.6100,80.6200,1600
1431616314,80.6100,80.6200,80.6000,80.6200,1100
1431616329,80.5950,80.6100,80.5950,80.6100,400
1431616497,80.5500,80.6000,80.5500,80.6000,2300
1431616559,80.4500,80.5400,80.4500,80.5400,12900
1431616561,80.4200,80.4700,80.4200,80.4400,9800
1431616665,80.4200,80.4350,80.4200,80.4300,3400
1431616708,80.4400,80.4400,80.4400,80.4400,600
1431616740,80.4400,80.4400,80.4400,80.4400,400
1431616805,80.5300,80.5300,80.4500,80.4600,3900
1431616913,80.5400,80.5400,80.5300,80.5300,500
1431616928,80.5400,80.5400,80.5400,80.5400,200
1431616989,80.5500,80.5500,80.5500,80.5500,200
1431617062,80.5700,80.5700,80.5700,80.5700,100
1431617116,80.5900,80.5900,80.5900,80.5900,200
1431617185,80.6000,80.6000,80.5900,80.5900,900
1431617262,80.6100,80.6100,80.6000,80.6000,400
1431617337,80.6400,80.6400,80.6200,80.6300,1100
1431617386,80.6100,80.6450,80.6100,80.6400,4300
1431617430,80.6000,80.6120,80.6000,80.6120,1600
1431617512,80.5210,80.6000,80.5210,80.6000,2600
1431617572,80.6300,80.6300,80.5400,80.5400,2000
1431617625,80.6400,80.6400,80.6400,80.6400,300
1431617650,80.6400,80.6400,80.6400,80.6400,300
1431617754,80.6400,80.6400,80.6100,80.6400,400
1431617780,80.5800,80.6400,80.5800,80.6400,1900
1431617857,80.6000,80.6000,80.6000,80.6000,200
1431617883,80.5700,80.6100,80.5700,80.6100,900
1431618037,80.6400,80.6600,80.5800,80.5800,4000
1431618092,80.6100,80.6400,80.6100,80.6400,1100
1431618166,80.6300,80.6300,80.6100,80.6100,600
1431618217,80.6400,80.6400,80.6400,80.6400,100
1431618244,80.6600,80.6600,80.6200,80.6500,2500
1431618335,80.5950,80.6600,80.5950,80.6600,3600
1431618409,80.6000,80.6000,80.5710,80.5710,1100
1431618476,80.5900,80.6000,80.5900,80.5900,500
1431618528,80.6300,80.6300,80.5900,80.5900,800
1431618589,80.6150,80.6400,80.6150,80.6300,1300
1431618656,80.6000,80.6400,80.6000,80.6400,2900
1431618660,80.6200,80.6200,80.6200,80.6200,200
1431618721,80.6300,80.6300,80.6100,80.6300,2100
1431618826,80.6300,80.6300,80.6300,80.6300,600
1431618883,80.6300,80.6600,80.6300,80.6400,2700
1431618955,80.6200,80.6600,80.6200,80.6400,3700
1431619076,80.6400,80.6400,80.6300,80.6300,400
1431619135,80.6400,80.6400,80.6400,80.6400,300
1431619163,80.6400,80.6600,80.6400,80.6400,2500
1431619257,80.6500,80.6500,80.6400,80.6500,1300
1431619306,80.6400,80.6600,80.6400,80.6500,1600
1431619437,80.6500,80.6500,80.6500,80.6500,200
1431619497,80.6700,80.6700,80.6368,80.6368,1100
1431619536,80.6400,80.6600,80.6400,80.6600,1600
1431619568,80.6300,80.6400,80.6300,80.6400,300
1431619675,80.6400,80.6400,80.6300,80.6300,900
1431619720,80.6200,80.6200,80.6200,80.6200,800
