uri:/instrument/1.0/FMER/chartdata;type=quote;range=1d/csv
ticker:fmer
Company-Name:FirstMerit Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:19.5900
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:19.3300,19.8000
high:19.3300,19.8000
low:19.3300,19.7890
open:19.3300,19.7900
volume:100,25400
1431437461,19.5300,19.5300,19.5300,19.5300,7500
1431437562,19.5100,19.5100,19.5100,19.5100,4200
1431437640,19.4500,19.5400,19.4500,19.5400,2600
1431437864,19.5100,19.5100,19.5100,19.5100,100
1431437915,19.5400,19.5400,19.5200,19.5200,300
1431437941,19.5500,19.5500,19.5400,19.5400,2500
1431438002,19.5300,19.5400,19.5200,19.5400,1100
1431438117,19.4900,19.5300,19.4700,19.5300,1600
1431438165,19.5200,19.5200,19.4600,19.5060,900
1431438213,19.4600,19.4800,19.4100,19.4800,2000
1431438285,19.4100,19.4500,19.3900,19.4500,1400
1431438304,19.3300,19.3700,19.3300,19.3700,1000
1431438376,19.3300,19.3300,19.3300,19.3300,200
1431438429,19.4000,19.4000,19.3900,19.3900,500
1431438532,19.4100,19.4100,19.3700,19.3700,1600
1431438598,19.4300,19.4600,19.4200,19.4200,3700
1431438659,19.4200,19.4200,19.4127,19.4127,600
1431438714,19.4400,19.4400,19.4100,19.4100,1600
1431438779,19.4200,19.4700,19.4200,19.4600,3400
1431438796,19.4300,19.4300,19.4300,19.4300,300
1431438883,19.4100,19.4500,19.4000,19.4500,3200
1431438957,19.4200,19.4400,19.4200,19.4400,500
1431438963,19.3900,19.3900,19.3900,19.3900,700
1431439054,19.4200,19.4350,19.4200,19.4300,1500
1431439084,19.4300,19.4300,19.4000,19.4200,2900
1431439198,19.4100,19.4500,19.4100,19.4300,8500
1431439253,19.4200,19.4200,19.3800,19.4000,6400
1431439263,19.3900,19.4200,19.3900,19.4200,2800
1431439367,19.3900,19.3900,19.3900,19.3900,400
1431439436,19.4600,19.4600,19.4000,19.4000,2800
1431439498,19.4500,19.4600,19.4400,19.4600,1800
1431439529,19.4500,19.4500,19.4500,19.4500,800
1431439567,19.3900,19.4400,19.3900,19.4400,3700
