uri:/instrument/1.0/FORM/chartdata;type=quote;range=1d/csv
ticker:form
Company-Name:FormFactor, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:8.5500
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:8.5400,8.6900
high:8.5500,8.6900
low:8.5350,8.6900
open:8.5400,8.6900
volume:100,13100
1431523861,8.5900,8.5900,8.5800,8.5800,3600
1431523975,8.6100,8.6100,8.6000,8.6000,600
1431523993,8.6300,8.6300,8.6300,8.6300,100
1431524042,8.6200,8.6300,8.6200,8.6300,600
1431524120,8.6200,8.6200,8.6200,8.6200,300
1431524218,8.6300,8.6300,8.6200,8.6300,1100
1431524231,8.6400,8.6400,8.6400,8.6400,100
1431524317,8.6600,8.6600,8.6320,8.6320,1500
1431524361,8.6800,8.6800,8.6600,8.6600,1100
1431524539,8.6600,8.6700,8.6600,8.6700,200
1431524608,8.6800,8.6800,8.6700,8.6700,1700
1431524640,8.6440,8.6440,8.6300,8.6300,1100
1431524973,8.6500,8.6500,8.6400,8.6400,200
1431525065,8.6500,8.6500,8.6500,8.6500,200
1431525205,8.6400,8.6500,8.6400,8.6500,1100
1431525380,8.6600,8.6600,8.6600,8.6600,200
1431525468,8.6749,8.6749,8.6650,8.6650,200
1431525558,8.6500,8.6650,8.6500,8.6650,500
1431525600,8.6600,8.6600,8.6400,8.6500,300
1431525694,8.6300,8.6400,8.6300,8.6400,800
1431525723,8.6000,8.6000,8.6000,8.6000,200
1431525963,8.6100,8.6100,8.6100,8.6100,100
1431526138,8.6250,8.6250,8.6250,8.6250,100
1431526220,8.6200,8.6300,8.6200,8.6300,200
1431526312,8.6300,8.6300,8.6300,8.6300,100
1431526338,8.6100,8.6100,8.6100,8.6100,300
1431526582,8.6300,8.6300,8.6300,8.6300,100
1431526714,8.6100,8.6100,8.6100,8.6100,600
1431526768,8.6100,8.6100,8.6100,8.6100,900
1431526815,8.6100,8.6100,8.6000,8.6000,400
1431526879,8.5900,8.5900,8.5900,8.5900,100
1431526942,8.6000,8.6000,8.5900,8.5900,400
1431527089,8.5900,8.6000,8.5900,8.6000,900
1431527161,8.6000,8.6000,8.6000,8.6000,800
1431527379,8.6100,8.6100,8.6100,8.6100,100
1431527479,8.5800,8.5800,8.5800,8.5800,100
1431527757,8.5700,8.5800,8.5700,8.5800,900
1431527870,8.5500,8.5500,8.5500,8.5500,200
