uri:/instrument/1.0/FRBK/chartdata;type=quote;range=1d/csv
ticker:frbk
Company-Name:Republic First Bancorp, Inc.
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:3.5300
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:3.5100,3.5500
high:3.5100,3.5500
low:3.5100,3.5500
open:3.5100,3.5500
volume:100,3300
1431523800,3.5200,3.5200,3.5200,3.5200,300
1431524067,3.5200,3.5200,3.5200,3.5200,600
1431524351,3.5299,3.5299,3.5299,3.5299,200
1431524505,3.5200,3.5200,3.5200,3.5200,100
1431524970,3.5201,3.5201,3.5201,3.5201,100
1431525195,3.5200,3.5200,3.5200,3.5200,400
1431525493,3.5101,3.5101,3.5100,3.5100,200
1431525900,3.5100,3.5100,3.5100,3.5100,100
1431526220,3.5300,3.5300,3.5300,3.5300,2100
1431526294,3.5101,3.5101,3.5101,3.5101,100
1431526358,3.5100,3.5100,3.5100,3.5100,100
1431526532,3.5300,3.5300,3.5200,3.5300,700
1431526796,3.5101,3.5101,3.5101,3.5101,100
1431526925,3.5300,3.5300,3.5300,3.5300,100
1431527066,3.5101,3.5101,3.5101,3.5101,100
1431527246,3.5300,3.5300,3.5200,3.5300,1100
1431527293,3.5200,3.5200,3.5200,3.5200,200
1431527375,3.5200,3.5200,3.5200,3.5200,100
1431527631,3.5500,3.5500,3.5201,3.5201,200
1431527827,3.5350,3.5350,3.5350,3.5350,100
1431527899,3.5230,3.5230,3.5201,3.5201,200
1431528181,3.5201,3.5201,3.5201,3.5201,100
1431528251,3.5300,3.5300,3.5300,3.5300,200
1431528396,3.5500,3.5500,3.5500,3.5500,100
1431528572,3.5200,3.5200,3.5200,3.5200,100
1431528761,3.5201,3.5201,3.5201,3.5201,100
1431528931,3.5350,3.5350,3.5350,3.5350,100
1431528982,3.5245,3.5245,3.5245,3.5245,500
1431529066,3.5201,3.5201,3.5201,3.5201,100
1431529256,3.5200,3.5300,3.5200,3.5300,700
1431529372,3.5200,3.5300,3.5200,3.5300,200
1431529469,3.5300,3.5300,3.5300,3.5300,100
1431529506,3.5300,3.5300,3.5300,3.5300,100
1431529772,3.5210,3.5300,3.5210,3.5300,200
1431529836,3.5300,3.5300,3.5200,3.5300,300
1431529906,3.5300,3.5300,3.5200,3.5200,200
1431530028,3.5400,3.5400,3.5400,3.5400,200
1431530146,3.5300,3.5300,3.5300,3.5300,300
1431530296,3.5300,3.5300,3.5200,3.5200,300
1431530474,3.5300,3.5300,3.5300,3.5300,100
1431530552,3.5300,3.5300,3.5200,3.5300,400
1431530804,3.5300,3.5300,3.5300,3.5300,100
1431530874,3.5400,3.5400,3.5400,3.5400,100
1431530929,3.5300,3.5300,3.5200,3.5300,500
1431530979,3.5300,3.5300,3.5200,3.5200,300
1431531007,3.5300,3.5300,3.5200,3.5200,200
1431531110,3.5300,3.5300,3.5300,3.5300,100
1431531134,3.5300,3.5300,3.5300,3.5300,200
1431531195,3.5300,3.5300,3.5200,3.5200,200
1431531477,3.5300,3.5300,3.5300,3.5300,100
1431531612,3.5300,3.5300,3.5300,3.5300,1700
1431531716,3.5200,3.5300,3.5200,3.5200,800
1431531731,3.5300,3.5300,3.5200,3.5200,500
1431531834,3.5200,3.5400,3.5200,3.5400,200
1431531921,3.5200,3.5200,3.5200,3.5200,100
1431532174,3.5300,3.5400,3.5200,3.5400,400
1431532208,3.5300,3.5300,3.5300,3.5300,100
1431532513,3.5300,3.5300,3.5200,3.5300,500
1431532582,3.5300,3.5300,3.5300,3.5300,100
1431532780,3.5400,3.5400,3.5300,3.5300,300
1431532974,3.5300,3.5300,3.5300,3.5300,100
1431533019,3.5300,3.5300,3.5300,3.5300,300
1431533369,3.5200,3.5200,3.5200,3.5200,200
1431533445,3.5200,3.5300,3.5200,3.5300,200
1431533493,3.5300,3.5300,3.5300,3.5300,200
1431533615,3.5300,3.5300,3.5200,3.5300,1300
1431533700,3.5300,3.5300,3.5300,3.5300,100
1431533831,3.5200,3.5400,3.5200,3.5400,200
1431534095,3.5300,3.5300,3.5300,3.5300,100
1431534161,3.5300,3.5300,3.5300,3.5300,100
1431534227,3.5200,3.5300,3.5200,3.5300,200
1431534266,3.5300,3.5400,3.5200,3.5200,600
1431534354,3.5300,3.5300,3.5200,3.5200,200
1431534436,3.5300,3.5300,3.5300,3.5300,100
1431534580,3.5300,3.5300,3.5200,3.5300,500
1431534942,3.5400,3.5400,3.5300,3.5300,200
1431534984,3.5300,3.5300,3.5300,3.5300,200
1431535079,3.5200,3.5300,3.5200,3.5200,500
1431535086,3.5300,3.5300,3.5300,3.5300,400
1431535311,3.5200,3.5200,3.5200,3.5200,600
