uri:/instrument/1.0/GWPH/chartdata;type=quote;range=1d/csv
ticker:gwph
Company-Name:GW Pharmaceuticals Plc
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:111.9200
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:109.8201,113.3800
high:110.4000,113.4640
low:109.0000,112.8700
open:109.6400,113.1200
volume:100,10300
1431437400,111.6100,111.6100,111.6100,111.6100,5400
1431437470,111.8025,111.8350,111.5600,111.7000,1900
1431437671,111.7450,111.8100,111.7100,111.7500,1700
1431437710,111.5600,111.7500,111.5600,111.7500,900
1431437816,111.5720,112.0400,111.5720,112.0400,400
1431437848,110.8600,111.5100,110.8600,111.5100,5400
1431437910,111.0000,111.0000,110.8000,110.8000,500
1431437957,110.7000,111.0400,110.7000,111.0400,200
1431438014,110.0000,111.1300,110.0000,111.1300,9800
1431438116,109.8201,110.9000,109.0000,109.6400,7000
1431438130,111.0768,111.0768,110.4400,110.5080,1600
1431438211,110.5426,110.9900,110.5426,110.9900,1000
1431438358,110.5400,110.5400,110.5400,110.5400,100
1431438395,110.3400,110.4000,109.8255,110.3000,2700
1431438435,111.2400,111.2400,110.7200,110.7200,500
1431438517,110.5801,110.5801,110.5801,110.5801,200
1431438598,111.9690,111.9700,111.9200,111.9200,700
1431438654,111.4000,111.4000,111.4000,111.4000,100
1431438715,111.4800,111.4900,111.4800,111.4800,500
1431438878,111.6900,111.8580,111.6900,111.8580,200
1431438937,112.4210,112.4210,112.4210,112.4210,1100
1431438968,111.7401,111.7401,111.7401,111.7401,200
1431439139,112.2200,112.2200,112.2200,112.2200,600
1431439148,112.1959,112.1959,112.1959,112.1959,400
1431439258,112.4500,112.5000,112.2300,112.5000,3200
1431439310,112.4250,112.7000,112.2010,112.7000,2900
1431439338,112.7600,112.7600,112.2500,112.2500,2000
1431439423,113.3800,113.4640,112.6250,112.6915,4200
1431439441,113.2500,113.2500,112.6500,113.1200,2500
1431439547,112.9400,112.9400,112.5374,112.5374,1200
1431439562,112.3754,112.3754,112.3754,112.3754,100
1431439721,112.6200,112.6200,112.4150,112.6100,1300
1431439753,112.2900,112.9250,112.2900,112.5050,1600
1431439815,112.2000,112.4710,112.2000,112.2600,1400
1431439892,112.3100,112.3100,112.2449,112.2449,300
1431439964,111.8000,112.0100,111.8000,112.0100,600
1431440047,111.8000,111.8000,111.8000,111.8000,200
1431440159,111.7500,111.8400,111.5400,111.7500,1600
1431440160,111.9500,111.9500,111.5400,111.5600,2300
1431440228,111.3824,112.0099,111.3824,111.9000,2200
1431440353,111.3400,111.3400,111.3400,111.3400,100
1431440419,110.7100,111.0100,110.7100,111.0100,1300
1431440466,111.0900,111.1000,110.7400,110.7400,1600
1431440634,111.1500,111.3700,111.1000,111.3200,2000
1431440687,110.9200,110.9400,110.7000,110.8900,3400
1431440745,111.0290,111.1950,110.8100,110.8600,1000
1431440814,110.8905,111.3900,110.8905,111.2500,1700
1431440879,110.7000,111.2300,110.6300,111.0900,3600
1431440887,110.8700,110.9100,110.7500,110.8000,4000
1431440961,111.0048,111.0048,110.7800,110.8100,3500
1431441057,111.0400,111.0400,110.7100,110.8600,1800
1431441063,111.2800,111.3500,110.9800,111.0800,2300
1431441150,111.2000,111.2600,111.1600,111.1600,800
1431441234,111.2700,111.3000,110.9252,111.3000,2200
1431441291,111.4000,111.4500,111.1000,111.2858,1900
1431441355,111.6400,111.7899,111.3000,111.5000,1900
1431441419,112.0000,112.0000,111.6400,111.6700,3000
1431441476,112.1240,112.1240,112.0100,112.0100,2000
1431441511,112.2500,112.2500,112.2500,112.2500,1000
1431441599,112.7899,112.7899,112.2601,112.4848,1900
1431441626,112.6500,112.7900,112.5800,112.5800,800
1431441666,112.8800,112.9600,112.7200,112.8799,2200
1431441750,112.5700,112.8800,112.5700,112.8000,1500
1431441784,112.1101,112.4999,112.1101,112.3000,2800
1431441890,112.3200,112.3300,112.3200,112.3300,300
1431441907,112.6500,112.8362,112.3300,112.4500,7100
1431441982,112.7500,112.9400,112.5400,112.5700,2000
1431442270,112.7065,112.7065,112.7065,112.7065,300
1431442354,112.8000,112.8000,112.6200,112.6200,300
1431442418,112.3000,112.5400,112.3000,112.5400,1900
1431442489,112.1000,112.4600,112.1000,112.4600,1700
1431442501,112.1301,112.4090,112.1301,112.2000,1300
1431442618,112.3800,112.3800,112.2100,112.2100,3100
1431442739,112.4200,112.4900,112.2000,112.2000,3100
1431442740,112.4400,112.5000,112.3100,112.4400,7200
1431442855,112.1005,112.3500,112.1005,112.3300,1000
1431442867,112.3200,112.3939,112.2400,112.2400,2600
1431442979,112.1100,112.2246,112.0500,112.1100,3900
1431443037,112.0500,112.2300,112.0500,112.1000,6300
1431443084,112.2000,112.2000,112.1773,112.1773,300
1431443106,112.3900,112.3900,112.3000,112.3000,1900
1431443160,112.2900,112.4900,112.2100,112.4900,5000
1431443226,112.0500,112.2300,112.0000,112.2000,2100
1431443280,111.9000,112.0000,111.9000,112.0000,600
1431443396,111.9800,111.9800,111.9800,111.9800,1000
1431443400,111.9800,111.9800,111.9800,111.9800,2000
1431443503,112.0500,112.0500,112.0500,112.0500,100
1431443631,111.8848,112.2000,111.8848,112.1465,1200
1431443697,112.1300,112.3000,112.1300,112.3000,2400
1431443739,112.0398,112.0600,111.8000,112.0600,3500
1431443838,111.7000,112.1200,111.7000,111.9100,1000
1431443936,111.9100,111.9100,111.9100,111.9100,100
1431443993,111.5800,111.9000,111.5800,111.8900,1200
1431444058,111.3100,111.6000,111.3100,111.5900,2600
1431444114,111.4000,111.4000,111.0200,111.3100,1700
1431444121,111.1200,111.4900,111.0200,111.4900,3500
1431444181,111.2800,111.3666,111.0000,111.1600,1800
1431444288,111.1200,111.1600,111.1200,111.1600,200
1431444304,111.0358,111.0358,110.8301,110.8301,300
1431444523,111.0000,111.0000,111.0000,111.0000,300
1431444565,110.8700,111.0500,110.7900,111.0500,1600
1431444650,110.8500,110.9500,110.8300,110.8500,1500
1431444719,110.8000,110.8399,110.6200,110.6200,3600
1431444752,110.7900,110.8000,110.7300,110.8000,3900
1431444800,110.8900,110.8900,110.7500,110.7500,400
1431444899,111.1200,111.3000,110.7300,110.9000,2100
1431444958,111.2000,111.4000,111.2000,111.2100,3600
1431445013,111.1000,111.3500,111.1000,111.3500,3000
1431445171,111.0200,111.1600,111.0200,111.1600,200
1431445208,111.3000,111.5800,111.0300,111.0600,3200
1431445313,111.2600,111.4000,111.2600,111.4000,1400
1431445362,111.2000,111.2000,111.0100,111.2000,1100
1431445383,111.4000,111.4000,111.0600,111.0700,4900
1431445455,111.5900,111.5900,111.3500,111.3500,1500
1431445799,111.7200,111.7300,111.3500,111.4000,3100
1431445838,111.6400,111.9500,111.6400,111.8400,1600
1431445879,111.6505,111.7700,111.6300,111.6500,2400
1431445979,111.5000,111.6500,111.5000,111.6500,5000
1431445984,111.5000,111.5100,111.5000,111.5100,1000
1431446104,111.6800,111.6800,111.4000,111.5500,2900
1431446279,111.6800,111.8500,111.5000,111.5000,4400
1431446300,111.9400,111.9400,111.9400,111.9400,100
1431446445,112.1350,112.3550,111.7860,111.9400,2800
1431446576,112.4000,112.4000,112.0610,112.2750,2500
1431446633,112.2000,112.4100,112.2000,112.3100,3700
1431446696,112.0200,112.3300,112.0200,112.2600,2600
1431446748,112.0300,112.1600,111.9700,112.1500,2300
1431446816,112.0500,112.1300,112.0000,112.0790,2900
1431446823,112.2000,112.2500,112.1000,112.1000,3000
1431446974,111.8900,111.8900,111.8900,111.8900,100
1431447063,112.3000,112.3000,111.6600,111.9500,2500
1431447170,112.1000,112.2500,112.0900,112.2500,2500
1431447239,111.8500,112.0800,111.7400,112.0800,3200
1431447260,111.9500,111.9500,111.7700,111.8500,1500
1431447355,112.1100,112.1100,111.8000,111.8000,2000
1431447383,112.1800,112.2900,112.1800,112.2900,1800
1431447474,112.0300,112.0700,112.0300,112.0700,2100
1431447539,112.0400,112.3600,111.9100,111.9100,4500
1431447540,112.0400,112.0400,112.0400,112.0400,900
1431447609,112.5200,112.5200,112.5200,112.5200,100
1431447770,112.2500,112.3100,112.0401,112.0401,3300
1431447830,112.5900,112.6000,112.1600,112.2850,2200
1431447865,112.4000,112.5100,112.3700,112.5000,2300
1431448077,112.3300,112.4300,112.3300,112.3900,2800
1431448135,112.0700,112.2100,112.0100,112.2100,3600
1431448191,112.3000,112.4800,112.1200,112.1200,2300
1431448256,112.1200,112.2100,111.9500,112.2000,3100
1431448292,112.3300,112.3800,112.2900,112.2900,1200
1431448368,112.3099,112.3100,112.3099,112.3100,200
1431448405,112.1000,112.3100,112.0000,112.3000,1900
1431448489,112.2900,112.5700,112.1400,112.1500,2500
1431448558,112.3400,112.4700,112.3400,112.4300,3300
1431448560,112.4800,112.5400,112.3400,112.3400,6000
1431448657,112.4400,112.4400,112.4400,112.4400,100
1431448750,112.2100,112.2800,112.2100,112.2800,300
1431448922,112.3150,112.3150,112.3150,112.3150,100
1431449095,112.4900,112.4900,112.0400,112.1500,3800
1431449104,112.4440,112.4700,112.2900,112.4700,2300
1431449390,112.2300,112.2595,112.1100,112.2300,1400
1431449459,112.0600,112.3000,112.0600,112.3000,2400
1431449478,112.0705,112.1300,112.0705,112.1000,1300
1431449576,112.1500,112.3400,112.1100,112.1100,5000
1431449638,112.2600,112.2700,112.1400,112.2700,4000
1431449640,112.2000,112.2310,112.0200,112.2310,3700
1431449755,112.2000,112.4300,112.1715,112.4300,3600
1431449767,111.6900,112.2000,111.6900,112.1900,2400
1431449980,111.7100,111.7100,111.7100,111.7100,500
1431450095,111.8000,111.9000,111.7900,111.9000,1100
1431450164,111.2100,111.7500,111.2100,111.6900,4300
1431450236,111.3000,111.3095,111.2000,111.3000,6000
1431450297,111.3000,111.3258,111.1400,111.2650,3200
1431450355,111.5500,111.5500,111.2500,111.2900,3000
1431450410,111.4800,111.6300,111.4100,111.6300,2300
1431450467,111.5310,111.5310,111.3900,111.5300,4300
1431450537,111.4000,111.5400,111.4000,111.4100,4400
1431450587,111.5700,111.5700,111.4000,111.4000,2200
1431450643,111.6400,111.6500,111.5700,111.5700,700
1431450714,111.5600,111.7000,111.4900,111.7000,1700
1431450775,111.4000,111.6600,111.3600,111.4800,4900
1431450788,111.7100,111.8500,111.7100,111.7200,2200
1431450852,111.7500,111.7500,111.6900,111.6900,500
1431450959,111.7600,111.7600,111.7600,111.7600,100
1431451017,111.3600,111.7600,111.3500,111.7600,3900
1431451077,111.4300,111.5200,111.3500,111.3500,4500
1431451098,111.4800,111.4800,111.3700,111.3700,3000
1431451265,111.3100,111.3300,111.3100,111.3300,800
1431451334,111.3500,111.5600,111.3000,111.4950,3700
1431451398,111.4700,111.4700,111.4700,111.4700,100
1431451484,111.7600,111.7600,111.4700,111.4700,1200
1431451551,111.4700,111.6700,111.2800,111.6700,2700
1431451613,111.5900,111.6000,111.4300,111.4300,4200
1431451645,111.5800,111.5800,111.5600,111.5600,1600
1431451684,111.4500,111.6000,111.3600,111.6000,3700
1431451798,111.4700,111.5156,111.4400,111.5000,5700
1431451802,111.5000,111.5000,111.4700,111.4700,3000
1431451881,111.5000,111.6075,111.5000,111.6075,1900
1431451979,111.6500,111.6600,111.3600,111.3600,1900
1431452038,111.7000,111.7800,111.5400,111.5900,2500
1431452097,111.5200,111.6400,111.4100,111.6400,3300
1431452145,111.6100,111.6100,111.4400,111.5200,3600
1431452217,111.6100,111.8400,111.6100,111.7300,4100
1431452264,111.5000,111.6299,111.4800,111.5300,2700
1431452339,111.5200,111.6100,111.4500,111.5500,2800
1431452394,111.4900,111.5695,111.4300,111.5000,3300
1431452421,111.4700,111.5399,111.4400,111.4600,3100
1431452639,111.4000,111.4900,111.4000,111.4900,500
1431452642,111.4000,111.4000,111.4000,111.4000,100
1431452753,111.5300,111.5900,111.4300,111.4300,400
1431452807,111.3400,111.5300,111.3000,111.5300,3300
1431452820,111.3405,111.4400,111.3405,111.4200,2900
1431452882,111.4000,111.4000,111.4000,111.4000,2400
1431453064,111.6500,111.6600,111.3400,111.3400,4900
1431453172,111.5400,111.6400,111.5300,111.6400,600
1431453228,111.5400,111.5400,111.5000,111.5200,2400
1431453281,111.5900,111.7900,111.5900,111.6400,2700
1431453358,111.6100,111.7000,111.6000,111.6500,3500
1431453388,111.7000,111.7000,111.6100,111.6100,2600
1431453567,111.7000,111.8100,111.7000,111.7000,500
1431453623,111.8064,111.8064,111.8064,111.8064,100
1431453753,111.8400,111.9700,111.8400,111.9200,500
1431453957,111.8500,111.8500,111.8500,111.8500,100
1431453965,112.2300,112.2400,111.9200,111.9300,4900
1431454137,112.5000,112.5000,112.0610,112.1500,4000
1431454140,112.3700,112.4000,112.3000,112.4000,2500
1431454257,112.2600,112.5100,112.2600,112.3700,600
1431454311,112.2600,112.3850,112.2400,112.2700,4000
1431454321,112.4800,112.4800,112.3500,112.3500,3700
1431454385,112.3500,112.3900,112.2800,112.2800,1600
1431454494,112.4110,112.5100,112.3300,112.4500,6500
1431454559,112.2500,112.4600,112.1200,112.3500,10300
1431454614,112.2250,112.2500,112.2100,112.2500,3800
1431454635,112.2500,112.2500,112.2500,112.2500,300
1431454690,112.1200,112.2150,112.1200,112.2150,900
1431454746,112.2500,112.2500,112.1400,112.1400,1000
1431454815,112.1800,112.1800,112.1800,112.1800,300
1431454912,112.2500,112.2500,112.2500,112.2500,100
1431454977,112.3100,112.3100,112.2300,112.2500,2900
1431455035,112.4000,112.4000,112.2742,112.2742,300
1431455040,112.3000,112.4600,112.3000,112.4000,1700
1431455110,112.3400,112.3400,112.2500,112.2500,400
1431455219,112.2050,112.3400,112.2050,112.3400,2100
1431455222,112.2900,112.2900,112.1800,112.2050,4500
1431455390,112.2000,112.2015,112.2000,112.2015,1500
1431455450,112.2800,112.3430,112.2800,112.3000,400
1431455579,112.2500,112.3000,112.2500,112.3000,2700
1431455627,112.3400,112.4795,112.2500,112.2500,4800
1431455643,112.5500,112.5500,112.3900,112.3900,1600
1431455756,112.6100,112.6595,112.3400,112.5300,2600
1431455773,112.6850,112.6850,112.5600,112.5600,400
1431455853,112.7000,112.7830,112.6120,112.6300,2100
1431455925,112.8900,112.8900,112.8700,112.8700,300
1431455975,112.8100,112.9900,112.7500,112.7500,1400
1431456054,112.7000,112.8000,112.5400,112.8000,1400
