uri:/instrument/1.0/HAS/chartdata;type=quote;range=1d/csv
ticker:has
Company-Name:Hasbro, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:72.0000
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:70.7300,71.9300
high:70.7600,71.9300
low:70.6600,71.9300
open:70.7300,71.9300
volume:100,27600
1431437446,71.9300,71.9300,71.9300,71.9300,11200
1431437488,71.5500,71.5500,71.5500,71.5500,200
1431437560,71.4000,71.8500,71.3500,71.8500,3100
1431437631,71.3000,71.3000,71.3000,71.3000,100
1431437641,71.1600,71.3000,71.1300,71.3000,3800
1431437742,71.2900,71.2900,71.1300,71.1700,4900
1431437876,71.1400,71.2900,71.1200,71.2900,2800
1431437882,71.2800,71.2800,71.0600,71.0600,5300
1431437958,71.2600,71.2600,71.2600,71.2600,300
1431438033,71.2200,71.2400,71.1800,71.1800,1300
1431438061,71.2800,71.2800,71.2500,71.2500,600
1431438121,71.0400,71.2300,71.0300,71.2300,1700
1431438200,71.0200,71.0500,70.9100,70.9800,2100
1431438305,70.9800,70.9800,70.8700,70.9300,2600
1431438410,71.0000,71.0100,71.0000,71.0000,1200
1431438435,70.9800,71.0000,70.9800,70.9900,1300
1431438528,70.9000,70.9000,70.9000,70.9000,100
1431438599,70.9000,70.9400,70.9000,70.9000,900
1431438659,70.8300,70.8300,70.8000,70.8200,500
1431438669,70.9200,70.9200,70.7600,70.8300,4200
1431438758,70.9100,70.9700,70.9100,70.9300,1800
1431438830,70.9400,70.9400,70.9200,70.9200,300
1431438887,70.8100,70.8700,70.7700,70.8700,2600
1431438956,70.8499,70.8500,70.7850,70.7850,2300
1431438982,70.8200,70.8560,70.8200,70.8560,600
1431439072,70.7700,70.7700,70.7700,70.7700,300
1431439088,70.8000,70.8900,70.6600,70.8000,16800
