uri:/instrument/1.0/HERO/chartdata;type=quote;range=1d/csv
ticker:hero
Company-Name:Hercules Offshore, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:0.9812
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:0.9800,1.0200
high:0.9811,1.0200
low:0.9741,1.0100
open:0.9810,1.0200
volume:0,382900
1431437519,0.9999,0.9999,0.9946,0.9999,45500
1431437572,1.0100,1.0100,0.9950,0.9996,55000
1431437638,1.0100,1.0100,1.0000,1.0100,32000
1431437654,1.0000,1.0100,0.9904,1.0000,13300
1431437719,1.0000,1.0000,1.0000,1.0000,2600
1431437812,0.9969,1.0000,0.9969,1.0000,2100
1431437825,0.9969,0.9992,0.9969,0.9969,1600
1431437931,0.9897,0.9992,0.9897,0.9992,21400
1431437977,0.9897,0.9897,0.9897,0.9897,100
1431438009,0.9900,0.9900,0.9897,0.9897,2900
1431438118,0.9900,0.9900,0.9877,0.9900,1400
1431438175,0.9895,0.9900,0.9878,0.9900,8600
1431438207,0.9897,0.9897,0.9897,0.9897,300
1431438299,0.9927,0.9927,0.9897,0.9897,25400
1431438327,0.9927,0.9927,0.9917,0.9917,6800
1431438410,0.9927,0.9927,0.9901,0.9901,6200
1431438423,0.9900,0.9927,0.9900,0.9914,19500
1431438523,0.9901,0.9901,0.9901,0.9901,600
1431438581,0.9928,0.9928,0.9915,0.9927,1000
1431438658,0.9989,0.9990,0.9925,0.9925,11200
1431438706,0.9990,0.9990,0.9989,0.9989,500
1431438765,0.9990,0.9990,0.9955,0.9990,8900
1431438839,0.9992,0.9992,0.9931,0.9991,11300
1431438896,0.9992,0.9992,0.9962,0.9992,1300
1431438956,1.0000,1.0000,0.9992,0.9992,1000
1431439017,1.0000,1.0000,1.0000,1.0000,1700
1431439078,1.0000,1.0000,0.9934,1.0000,2300
1431439136,0.9977,1.0000,0.9976,0.9991,13400
1431439198,0.9976,0.9980,0.9976,0.9977,4800
1431439243,0.9976,0.9981,0.9976,0.9976,8300
1431439265,0.9901,0.9981,0.9900,0.9981,42600
1431439397,0.9961,0.9961,0.9961,0.9961,2400
1431439552,0.9981,0.9981,0.9902,0.9981,7600
1431439587,0.9977,0.9981,0.9977,0.9977,500
1431439668,0.9981,0.9981,0.9903,0.9942,13000
1431439707,0.9981,0.9981,0.9911,0.9911,1100
1431439786,0.9981,0.9981,0.9911,0.9981,5000
1431439846,0.9981,0.9981,0.9914,0.9981,2300
1431439915,0.9979,0.9980,0.9979,0.9980,9800
1431439976,0.9979,0.9980,0.9979,0.9980,7700
1431439991,0.9979,0.9979,0.9979,0.9979,800
1431440083,0.9979,0.9979,0.9979,0.9979,1200
1431440157,0.9981,0.9981,0.9979,0.9979,17000
1431440211,0.9982,0.9982,0.9980,0.9981,3400
1431440270,0.9983,0.9983,0.9981,0.9981,3300
1431440320,0.9982,0.9983,0.9982,0.9983,3700
1431440397,0.9982,0.9983,0.9982,0.9983,2300
1431440404,0.9982,0.9982,0.9982,0.9982,1400
1431440505,0.9982,0.9983,0.9982,0.9982,2200
1431440574,0.9982,0.9983,0.9982,0.9983,2100
1431440628,0.9982,0.9982,0.9982,0.9982,2500
1431440689,0.9900,0.9983,0.9900,0.9983,27600
1431440756,0.9949,0.9949,0.9859,0.9900,2000
1431440813,0.9889,0.9900,0.9860,0.9860,2400
1431440851,0.9860,0.9860,0.9860,0.9860,200
1431440926,0.9860,0.9887,0.9860,0.9860,900
1431440995,0.9840,0.9864,0.9829,0.9860,7800
1431441035,0.9841,0.9841,0.9826,0.9826,1200
1431441117,0.9841,0.9841,0.9841,0.9841,300
1431441176,0.9841,0.9841,0.9840,0.9841,2400
1431441224,0.9888,0.9888,0.9842,0.9842,1000
1431441289,0.9883,0.9885,0.9883,0.9883,1400
1431441355,0.9871,0.9890,0.9861,0.9884,3300
1431441369,0.9894,0.9894,0.9894,0.9894,1000
1431441435,0.9895,0.9895,0.9894,0.9894,1100
1431441523,0.9899,0.9899,0.9895,0.9895,4800
1431441581,0.9897,0.9897,0.9861,0.9896,1300
1431441654,0.9897,0.9897,0.9861,0.9897,2400
1431441715,0.9897,0.9897,0.9897,0.9897,1200
1431441756,0.9897,0.9897,0.9861,0.9897,1300
1431441839,0.9897,0.9897,0.9890,0.9897,2700
1431441896,0.9897,0.9897,0.9897,0.9897,8300
1431441957,0.9897,0.9897,0.9897,0.9897,1300
1431442002,0.9897,0.9897,0.9861,0.9897,1300
1431442077,0.9897,0.9897,0.9897,0.9897,4100
1431442134,0.9904,0.9914,0.9896,0.9897,8300
1431442171,0.9927,0.9927,0.9903,0.9903,5300
1431442201,0.9903,0.9927,0.9903,0.9927,1500
1431442283,0.9910,0.9925,0.9910,0.9925,200
1431442379,0.9922,0.9922,0.9903,0.9903,1900
1431442427,0.9922,0.9922,0.9922,0.9922,6700
1431442496,0.9903,0.9925,0.9903,0.9922,2800
1431442558,0.9930,0.9934,0.9903,0.9903,700
1431442610,0.9929,0.9930,0.9903,0.9930,1200
1431442671,0.9929,0.9929,0.9903,0.9929,1400
1431442736,0.9929,0.9930,0.9929,0.9929,1100
1431442788,0.9949,0.9949,0.9926,0.9929,2000
1431442839,0.9879,0.9903,0.9879,0.9903,30400
1431442891,0.9887,0.9887,0.9887,0.9887,600
1431443031,0.9894,0.9899,0.9883,0.9888,40700
1431443077,0.9894,0.9894,0.9894,0.9894,100
1431443156,0.9850,0.9895,0.9830,0.9895,90100
1431443218,0.9862,0.9862,0.9831,0.9831,7900
1431443259,0.9853,0.9853,0.9852,0.9853,1100
1431443339,0.9856,0.9856,0.9854,0.9854,3900
1431443389,0.9857,0.9857,0.9856,0.9856,400
1431443455,0.9858,0.9858,0.9857,0.9857,500
1431443484,0.9858,0.9858,0.9857,0.9857,3300
1431443555,0.9857,0.9859,0.9857,0.9858,600
1431443630,0.9863,0.9863,0.9859,0.9859,2500
1431443697,0.9904,0.9904,0.9863,0.9863,6400
1431443754,0.9941,0.9969,0.9941,0.9969,5500
1431443817,0.9942,0.9949,0.9939,0.9949,7800
1431443946,0.9939,0.9939,0.9939,0.9939,2300
1431444006,0.9950,0.9950,0.9940,0.9940,14300
1431444076,0.9954,0.9954,0.9951,0.9951,400
1431444166,0.9970,0.9970,0.9952,0.9952,2400
1431444210,0.9970,0.9970,0.9970,0.9970,1700
1431444268,0.9970,0.9970,0.9970,0.9970,1000
1431444356,0.9970,0.9970,0.9970,0.9970,1100
1431444413,0.9970,0.9970,0.9970,0.9970,1400
1431444473,0.9970,0.9970,0.9969,0.9970,1800
1431444527,0.9980,0.9980,0.9977,0.9977,8400
1431444594,0.9982,0.9982,0.9980,0.9980,5300
1431444651,0.9981,0.9982,0.9981,0.9982,7100
1431444695,0.9982,0.9982,0.9982,0.9982,900
1431444762,0.9982,0.9982,0.9982,0.9982,3700
1431444837,0.9982,0.9982,0.9982,0.9982,3400
1431444898,0.9999,1.0000,0.9981,0.9982,49700
1431444957,1.0040,1.0100,1.0000,1.0000,113700
1431445019,1.0200,1.0200,1.0000,1.0100,150300
1431445076,1.0200,1.0200,1.0100,1.0200,19200
1431445135,1.0200,1.0200,1.0100,1.0200,8400
1431445196,1.0200,1.0200,1.0100,1.0200,8700
1431445253,1.0168,1.0200,1.0100,1.0200,26000
1431445317,1.0145,1.0200,1.0100,1.0200,23500
1431445379,1.0000,1.0200,1.0000,1.0100,36500
1431445424,1.0100,1.0100,1.0000,1.0000,15400
1431445490,1.0100,1.0100,1.0000,1.0000,11500
1431445556,1.0050,1.0100,1.0050,1.0100,900
1431445613,1.0100,1.0100,1.0000,1.0050,12000
1431445668,1.0100,1.0100,1.0000,1.0099,4700
1431445738,1.0100,1.0100,1.0000,1.0050,4100
1431445745,1.0000,1.0100,1.0000,1.0074,1500
1431445859,1.0100,1.0100,1.0000,1.0000,12100
1431445897,1.0050,1.0100,1.0000,1.0050,7800
1431445978,1.0000,1.0100,1.0000,1.0050,63200
1431446013,1.0000,1.0050,1.0000,1.0001,900
1431446095,1.0099,1.0100,1.0000,1.0000,10700
1431446110,1.0000,1.0100,1.0000,1.0100,33700
1431446212,1.0000,1.0100,1.0000,1.0000,3400
1431446220,1.0050,1.0050,1.0000,1.0050,9700
1431446334,1.0000,1.0100,1.0000,1.0000,5400
1431446374,1.0035,1.0100,1.0000,1.0000,6400
1431446457,1.0000,1.0100,1.0000,1.0000,1300
1431446516,1.0100,1.0100,1.0000,1.0000,9700
1431446576,1.0056,1.0100,1.0000,1.0000,12000
1431446635,1.0001,1.0100,1.0000,1.0000,6800
1431446691,1.0000,1.0100,1.0000,1.0000,2100
1431446759,1.0000,1.0100,1.0000,1.0100,900
1431446817,1.0100,1.0100,1.0000,1.0000,5000
1431446875,1.0100,1.0100,1.0000,1.0100,1400
1431446935,1.0000,1.0100,1.0000,1.0000,1600
1431446994,1.0000,1.0100,1.0000,1.0000,6800
1431447054,1.0000,1.0100,1.0000,1.0100,600
1431447062,1.0100,1.0100,1.0000,1.0100,2600
1431447169,1.0100,1.0100,1.0000,1.0000,4300
1431447230,1.0050,1.0100,1.0000,1.0100,3200
1431447295,1.0012,1.0100,1.0000,1.0000,28900
1431447358,1.0000,1.0100,1.0000,1.0100,14500
1431447418,1.0100,1.0100,1.0000,1.0100,2600
1431447449,1.0000,1.0100,1.0000,1.0100,7600
1431447538,1.0000,1.0100,1.0000,1.0100,17100
1431447595,1.0100,1.0100,1.0000,1.0000,2900
1431447640,1.0100,1.0100,1.0000,1.0000,1500
1431447717,1.0019,1.0100,1.0000,1.0100,4600
1431447778,1.0000,1.0100,1.0000,1.0100,16600
1431447828,1.0000,1.0100,1.0000,1.0000,4200
1431447879,1.0100,1.0100,1.0000,1.0050,13600
1431447938,1.0100,1.0100,1.0000,1.0100,900
1431448003,1.0100,1.0100,1.0000,1.0100,2200
1431448071,1.0100,1.0100,1.0000,1.0000,3100
1431448134,1.0100,1.0100,1.0000,1.0100,2100
1431448191,1.0100,1.0100,1.0100,1.0100,7900
1431448257,1.0100,1.0100,1.0000,1.0100,3500
1431448319,1.0100,1.0100,1.0000,1.0100,1200
1431448368,1.0033,1.0100,1.0033,1.0100,4000
1431448435,1.0100,1.0100,1.0000,1.0100,5000
1431448456,1.0100,1.0100,1.0100,1.0100,700
1431448559,1.0000,1.0100,1.0000,1.0100,2500
1431448618,1.0100,1.0100,1.0099,1.0100,1000
1431448673,1.0099,1.0100,1.0000,1.0000,4400
1431448732,1.0000,1.0100,1.0000,1.0050,9900
1431448795,1.0100,1.0100,1.0074,1.0100,8800
1431448856,1.0000,1.0100,1.0000,1.0100,5200
1431448919,1.0100,1.0100,1.0000,1.0099,2400
1431448962,1.0100,1.0100,1.0100,1.0100,700
1431449031,1.0100,1.0100,1.0035,1.0100,1800
1431449076,1.0000,1.0100,1.0000,1.0100,1800
1431449103,1.0100,1.0100,1.0000,1.0000,4600
1431449219,1.0100,1.0100,1.0100,1.0100,900
1431449266,1.0100,1.0100,1.0000,1.0000,2200
1431449322,1.0100,1.0100,1.0050,1.0050,1400
1431449397,1.0000,1.0100,1.0000,1.0100,11100
1431449425,1.0000,1.0100,1.0000,1.0050,800
