uri:/instrument/1.0/HQY/chartdata;type=quote;range=1d/csv
ticker:hqy
Company-Name:HealthEquity, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:26.1000
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:25.7750,26.9800
high:25.8770,27.0300
low:25.7750,26.8600
open:25.8500,26.9490
volume:100,28300
1431437516,26.9026,26.9588,26.8600,26.9100,5900
1431437795,26.8400,26.8400,26.8400,26.8400,900
1431437879,26.9200,26.9490,26.8300,26.9490,4400
1431437884,26.9800,26.9800,26.7700,26.8500,5600
1431437997,26.8700,27.0300,26.8501,26.9250,5500
1431438056,26.8200,26.9100,26.7800,26.8700,9200
1431438122,26.8400,26.8400,26.8400,26.8400,100
1431438199,26.7000,26.8150,26.7000,26.7900,1500
1431438281,26.5700,26.6300,26.5500,26.6300,600
1431438457,26.6800,26.6800,26.6800,26.6800,100
1431438509,26.5300,26.5300,26.5300,26.5300,200
1431438599,26.5500,26.6700,26.5400,26.6700,3000
1431438653,26.4600,26.5500,26.4600,26.5500,2800
1431438768,26.5000,26.6000,26.4600,26.4600,7800
1431438834,26.6300,26.6500,26.5450,26.6100,2600
1431438840,26.6300,26.6300,26.6300,26.6300,100
1431438940,26.5600,26.5600,26.5500,26.5500,800
1431439018,26.5650,26.5650,26.5650,26.5650,200
1431439079,26.5200,26.5950,26.5100,26.5100,2000
1431439131,26.5350,26.6100,26.5000,26.5200,1000
1431439298,26.4100,26.5000,26.4100,26.4712,7500
1431439341,26.3899,26.3899,26.3899,26.3899,1200
1431439388,26.2100,26.3300,26.2100,26.2700,3600
1431439488,26.2300,26.2421,26.1700,26.2421,800
1431439557,26.2700,26.3100,26.1700,26.1700,1800
1431439619,26.2100,26.3100,26.2100,26.3000,5200
1431439674,26.3100,26.3400,26.2900,26.2900,3900
1431439726,26.3300,26.3300,26.3100,26.3100,200
1431439774,26.3300,26.3500,26.3000,26.3400,4700
1431439857,26.3100,26.3200,26.3100,26.3200,3300
1431439879,26.3500,26.3550,26.3100,26.3116,4300
1431440094,26.3001,26.3550,26.3001,26.3550,2400
1431440149,26.3200,26.3200,26.3200,26.3200,300
1431440231,26.3200,26.3200,26.2700,26.3200,1600
1431440466,26.2900,26.2900,26.2900,26.2900,500
1431440527,26.3000,26.3000,26.3000,26.3000,100
1431440694,26.2600,26.2600,26.2600,26.2600,200
1431440756,26.3300,26.3300,26.2950,26.3000,800
1431440789,26.3300,26.3700,26.2700,26.2700,1500
