uri:/instrument/1.0/IMGN/chartdata;type=quote;range=500d/csv
ticker:imgn
Company-Name:ImmunoGen, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.1200
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:7.9350,10.1475
high:7.9500,10.2000
low:7.9100,10.1400
open:7.9400,10.1400
volume:0,229200
1429882497,9.5610,9.7300,9.3200,9.3200,201000
1429882791,9.5000,9.5800,9.2500,9.5500,127000
1429883095,9.4101,9.5028,9.3600,9.4993,33900
1429883399,9.4100,9.4800,9.4000,9.4200,51100
1429883640,9.4500,9.5000,9.4002,9.4002,67900
1429883940,9.4600,9.4800,9.4301,9.4450,50600
1429884243,9.2900,9.4700,9.2700,9.4700,51300
1429884591,9.1050,9.2900,9.1010,9.2800,95700
1429884898,9.0450,9.1100,9.0200,9.1050,102100
1429885147,9.1800,9.2000,9.0400,9.0450,67300
1429885492,9.2001,9.2600,9.1401,9.1800,36700
1429885771,9.2800,9.2800,9.1900,9.2000,18200
1429886098,9.3200,9.3850,9.2600,9.2750,32800
1429886392,9.3550,9.3600,9.2400,9.3299,25900
1429886691,9.3300,9.3590,9.3300,9.3550,13100
1429886996,9.3600,9.3800,9.3100,9.3399,32900
1429887297,9.5000,9.5500,9.3600,9.3700,72600
1429887598,9.6100,9.6300,9.5000,9.5050,50600
1429887898,9.7400,9.7500,9.5900,9.6100,80800
