uri:/instrument/1.0/JIVE/chartdata;type=quote;range=1d/csv
ticker:jive
Company-Name:Jive Software, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:5.7400
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:5.6449,5.7700
high:5.6450,5.7700
low:5.6300,5.7600
open:5.6400,5.7650
volume:0,26700
1431437568,5.7400,5.7500,5.7400,5.7500,3900
1431437580,5.7500,5.7500,5.7500,5.7500,100
1431437646,5.7500,5.7500,5.7450,5.7480,6200
1431437722,5.7500,5.7500,5.7400,5.7400,1500
1431437929,5.7300,5.7350,5.7300,5.7300,3700
1431438011,5.7200,5.7250,5.7200,5.7200,800
1431438160,5.6800,5.7000,5.6700,5.6950,3800
1431438271,5.6800,5.6800,5.6800,5.6800,400
1431438378,5.6597,5.6700,5.6590,5.6700,5100
1431438438,5.6700,5.6700,5.6300,5.6550,2300
1431438525,5.6900,5.6900,5.6700,5.6700,3600
1431438598,5.6800,5.6900,5.6800,5.6900,3300
1431438657,5.7100,5.7100,5.6900,5.6900,3500
1431438691,5.7000,5.7000,5.7000,5.7000,1800
1431438775,5.7000,5.7000,5.7000,5.7000,1700
1431438815,5.7000,5.7000,5.6900,5.6900,2600
1431438899,5.6900,5.6900,5.6900,5.6900,300
1431438959,5.6900,5.7000,5.6900,5.7000,600
1431438960,5.6900,5.6900,5.6900,5.6900,200
1431439138,5.6700,5.6800,5.6700,5.6800,300
1431439198,5.6700,5.6800,5.6700,5.6700,700
1431439254,5.6600,5.6600,5.6600,5.6600,400
1431439436,5.6600,5.6600,5.6600,5.6600,300
1431439552,5.6700,5.6700,5.6700,5.6700,100
1431439621,5.6700,5.6700,5.6600,5.6700,1700
1431439714,5.6700,5.6700,5.6700,5.6700,100
1431439785,5.6600,5.6600,5.6600,5.6600,100
1431439962,5.6700,5.6700,5.6700,5.6700,200
1431439991,5.6650,5.6650,5.6650,5.6650,200
1431440092,5.6700,5.6700,5.6700,5.6700,300
1431440205,5.6700,5.6700,5.6700,5.6700,500
1431440263,5.6850,5.6850,5.6800,5.6800,900
1431440315,5.6750,5.6850,5.6700,5.6800,1300
1431440390,5.6700,5.6700,5.6601,5.6700,1300
1431440456,5.6600,5.6700,5.6600,5.6650,400
1431440487,5.6650,5.6700,5.6600,5.6600,400
1431440543,5.6600,5.6600,5.6600,5.6600,200
1431440610,5.6500,5.6500,5.6500,5.6500,100
1431440722,5.6600,5.6600,5.6600,5.6600,100
1431440922,5.6500,5.6500,5.6500,5.6500,100
1431440982,5.6500,5.6500,5.6400,5.6500,2000
1431441016,5.6450,5.6450,5.6400,5.6400,300
1431441209,5.6449,5.6500,5.6449,5.6500,500
1431441297,5.6500,5.6500,5.6500,5.6500,300
1431441336,5.6600,5.6600,5.6600,5.6600,1400
1431441392,5.6900,5.6900,5.6700,5.6700,1600
1431441443,5.6900,5.6900,5.6900,5.6900,200
1431441511,5.7000,5.7000,5.6900,5.6900,2700
1431441643,5.7100,5.7100,5.7000,5.7000,300
1431441703,5.7100,5.7100,5.7100,5.7100,400
1431441793,5.7100,5.7200,5.7100,5.7100,3800
1431442084,5.7200,5.7200,5.7200,5.7200,3900
1431442142,5.7200,5.7200,5.7200,5.7200,100
1431442218,5.7200,5.7200,5.7151,5.7151,700
1431442392,5.7200,5.7200,5.7200,5.7200,100
1431442486,5.7200,5.7200,5.7200,5.7200,200
1431442589,5.7200,5.7200,5.7200,5.7200,2300
1431442646,5.7300,5.7300,5.7200,5.7200,1100
1431442729,5.7250,5.7300,5.7250,5.7300,800
1431442795,5.7300,5.7300,5.7300,5.7300,100
1431442800,5.7500,5.7500,5.7400,5.7400,1300
1431442919,5.7500,5.7500,5.7500,5.7500,200
1431442963,5.7500,5.7500,5.7500,5.7500,100
1431443038,5.7500,5.7500,5.7500,5.7500,100
1431443098,5.7500,5.7500,5.7400,5.7400,500
1431443120,5.7500,5.7500,5.7500,5.7500,100
1431443205,5.7500,5.7500,5.7430,5.7430,1000
1431443248,5.7500,5.7500,5.7500,5.7500,500
1431443333,5.7700,5.7700,5.7450,5.7500,13100
1431443376,5.7600,5.7700,5.7600,5.7650,600
1431443516,5.7600,5.7700,5.7600,5.7600,4600
1431443561,5.7650,5.7700,5.7600,5.7600,900
1431443676,5.7600,5.7700,5.7600,5.7600,2100
1431443758,5.7600,5.7650,5.7600,5.7600,4700
1431443761,5.7550,5.7550,5.7550,5.7550,700
1431443925,5.7400,5.7500,5.7400,5.7500,400
1431444155,5.7500,5.7500,5.7450,5.7450,2200
1431444227,5.7450,5.7450,5.7450,5.7450,200
1431444298,5.7450,5.7450,5.7450,5.7450,300
1431444350,5.7500,5.7500,5.7500,5.7500,200
1431444383,5.7450,5.7450,5.7450,5.7450,300
1431444447,5.7450,5.7450,5.7450,5.7450,200
1431444509,5.7450,5.7500,5.7450,5.7500,300
1431444587,5.7400,5.7500,5.7400,5.7500,600
1431444616,5.7400,5.7450,5.7400,5.7400,1300
1431444668,5.7400,5.7400,5.7400,5.7400,100
1431444720,5.7400,5.7400,5.7400,5.7400,200
1431444933,5.7400,5.7400,5.7400,5.7400,200
1431445072,5.7150,5.7350,5.7100,5.7350,5500
1431445133,5.7100,5.7200,5.7100,5.7100,900
1431445194,5.7100,5.7200,5.7100,5.7200,2900
1431445252,5.7000,5.7000,5.7000,5.7000,500
1431445315,5.7100,5.7100,5.7000,5.7000,300
1431445382,5.7000,5.7000,5.7000,5.7000,300
1431445486,5.7000,5.7000,5.7000,5.7000,200
1431445558,5.7000,5.7100,5.7000,5.7100,300
1431445676,5.7097,5.7097,5.7097,5.7097,100
1431445703,5.7100,5.7100,5.7000,5.7000,600
1431445761,5.7100,5.7100,5.7100,5.7100,200
