uri:/instrument/1.0/LINC/chartdata;type=quote;range=1d/csv
ticker:linc
Company-Name:Lincoln Educational Services Co
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:2.2000
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:2.1499,2.2300
high:2.1499,2.2300
low:2.1400,2.2300
open:2.1450,2.2300
volume:0,21700
1431526788,2.1800,2.1800,2.1800,2.1800,4500
1431526854,2.2300,2.2300,2.2300,2.2300,100
1431526908,2.1800,2.1900,2.1800,2.1900,1400
1431526974,2.1600,2.1800,2.1600,2.1800,5300
1431527115,2.1600,2.1600,2.1600,2.1600,300
1431527228,2.1600,2.1600,2.1600,2.1600,100
1431530023,2.1600,2.1600,2.1600,2.1600,1600
1431530222,2.1600,2.1600,2.1600,2.1600,200
1431530313,2.1599,2.1600,2.1599,2.1599,900
1431530508,2.1600,2.1600,2.1600,2.1600,100
1431530606,2.1599,2.1599,2.1599,2.1599,100
1431530703,2.1599,2.1599,2.1599,2.1599,100
1431530771,2.1599,2.1600,2.1599,2.1600,900
1431530979,2.1600,2.1600,2.1592,2.1592,200
1431531071,2.1599,2.1599,2.1599,2.1599,100
1431531163,2.1599,2.1600,2.1599,2.1600,200
1431531259,2.1599,2.1599,2.1599,2.1599,100
1431531348,2.1599,2.1599,2.1599,2.1599,100
1431531443,2.1600,2.1600,2.1600,2.1600,100
1431531554,2.1500,2.1700,2.1500,2.1700,4900
1431531635,2.1683,2.1683,2.1683,2.1683,100
1431531723,2.1683,2.1683,2.1683,2.1683,100
1431531817,2.1699,2.1699,2.1699,2.1699,100
1431531935,2.1700,2.1700,2.1700,2.1700,100
1431532056,2.1699,2.1699,2.1699,2.1699,100
1431532151,2.1699,2.1699,2.1699,2.1699,100
1431532239,2.1699,2.1699,2.1699,2.1699,100
1431532353,2.1699,2.1699,2.1699,2.1699,100
1431532475,2.1699,2.1699,2.1699,2.1699,100
1431532589,2.1599,2.1600,2.1599,2.1600,400
1431532657,2.1600,2.1600,2.1500,2.1550,3200
1431532829,2.1600,2.1600,2.1600,2.1600,100
1431532917,2.1599,2.1599,2.1599,2.1599,100
1431533008,2.1599,2.1599,2.1599,2.1599,100
1431533128,2.1700,2.1700,2.1692,2.1692,200
1431533253,2.1699,2.1699,2.1699,2.1699,100
1431533367,2.1700,2.1700,2.1600,2.1600,400
1431533488,2.1699,2.1699,2.1699,2.1699,100
1431533612,2.1700,2.1700,2.1700,2.1700,100
1431533726,2.1700,2.1700,2.1683,2.1700,300
1431533851,2.1700,2.1700,2.1683,2.1683,200
1431533968,2.1699,2.1699,2.1699,2.1699,100
1431534088,2.1700,2.1700,2.1700,2.1700,100
1431534163,2.1600,2.1699,2.1600,2.1699,1300
1431534208,2.1700,2.1700,2.1700,2.1700,100
1431534330,2.1700,2.1700,2.1700,2.1700,100
1431534453,2.1699,2.1699,2.1699,2.1699,100
1431534569,2.1600,2.1600,2.1600,2.1600,100
1431534695,2.1600,2.1600,2.1600,2.1600,100
1431534813,2.1699,2.1699,2.1699,2.1699,100
1431534932,2.1600,2.1600,2.1600,2.1600,100
1431535054,2.1600,2.1600,2.1600,2.1600,100
1431535177,2.1699,2.1699,2.1699,2.1699,100
1431535300,2.1500,2.1700,2.1500,2.1700,4300
1431535436,2.1600,2.1600,2.1600,2.1600,200
1431535533,2.1600,2.1600,2.1600,2.1600,200
