uri:/instrument/1.0/LINE/chartdata;type=quote;range=1d/csv
ticker:line
Company-Name:Linn Energy, LLC
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:13.1700
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:12.9800,13.2800
high:12.9873,13.2900
low:12.9800,13.2800
open:12.9800,13.2844
volume:100,35000
1431523943,13.1800,13.2100,13.1800,13.2100,32500
1431524017,13.1600,13.2000,13.1600,13.1926,2500
1431524045,13.1200,13.1200,13.1200,13.1200,1500
1431524151,13.1193,13.1193,13.1100,13.1100,1700
1431524219,13.0800,13.1400,13.0800,13.1000,30300
1431524220,13.1000,13.1000,13.0700,13.0700,3400
1431524317,13.1147,13.1147,13.1147,13.1147,900
1431524418,13.2339,13.2339,13.1600,13.1600,7200
1431524510,13.2200,13.2244,13.2102,13.2244,1100
1431524533,13.2100,13.2100,13.2100,13.2100,300
1431524630,13.2600,13.2900,13.2101,13.2101,11200
1431524695,13.2700,13.2900,13.2560,13.2800,7000
1431524722,13.2800,13.2800,13.2700,13.2700,4000
1431524784,13.2799,13.2799,13.2749,13.2749,600
1431524849,13.2519,13.2519,13.2519,13.2519,100
1431524889,13.2500,13.2500,13.2238,13.2450,5800
1431524972,13.2274,13.2274,13.2208,13.2208,2000
1431525005,13.2300,13.2500,13.2101,13.2500,6200
1431525064,13.2400,13.2400,13.2276,13.2400,1400
1431525132,13.2500,13.2500,13.2200,13.2399,4400
1431525240,13.2400,13.2400,13.2300,13.2300,5700
1431525317,13.2400,13.2446,13.2300,13.2300,6100
1431525416,13.2399,13.2400,13.2300,13.2300,2600
1431525424,13.2400,13.2401,13.2350,13.2350,10500
1431525518,13.2400,13.2500,13.2334,13.2334,3700
1431525596,13.2600,13.2600,13.2300,13.2500,3500
1431525646,13.2500,13.2900,13.2500,13.2525,13300
1431525696,13.2500,13.2500,13.2500,13.2500,100
1431525724,13.2486,13.2800,13.2450,13.2654,1900
1431525783,13.2600,13.2600,13.2300,13.2300,2500
1431525887,13.2600,13.2600,13.2600,13.2600,200
1431525941,13.2700,13.2700,13.2700,13.2700,100
1431525965,13.2759,13.2800,13.2759,13.2800,1200
1431526073,13.2800,13.2899,13.2800,13.2800,800
1431526139,13.2702,13.2900,13.2700,13.2800,2700
1431526150,13.2750,13.2800,13.2700,13.2800,2100
1431526216,13.2750,13.2750,13.2700,13.2700,1400
1431526313,13.2700,13.2800,13.2700,13.2800,2600
1431526365,13.2751,13.2800,13.2700,13.2800,2200
1431526434,13.2700,13.2844,13.2700,13.2844,3200
1431526465,13.2400,13.2700,13.2300,13.2700,6900
1431526558,13.2100,13.2450,13.2100,13.2400,7200
1431526569,13.2200,13.2200,13.2075,13.2075,1500
1431526662,13.2300,13.2380,13.2300,13.2380,200
1431526682,13.2100,13.2100,13.2000,13.2000,1300
1431526750,13.2200,13.2200,13.2100,13.2200,500
1431526855,13.2000,13.2254,13.2000,13.2254,1300
1431526915,13.2100,13.2100,13.2051,13.2051,2700
1431526978,13.2100,13.2254,13.2100,13.2100,2800
1431527035,13.2599,13.2599,13.2301,13.2400,8900
1431527093,13.2400,13.2599,13.2300,13.2599,700
1431527151,13.2201,13.2350,13.2201,13.2300,4300
1431527202,13.2299,13.2299,13.2200,13.2200,200
1431527262,13.2100,13.2298,13.2100,13.2298,2500
1431527302,13.2100,13.2100,13.2100,13.2100,400
1431527397,13.2200,13.2200,13.2000,13.2000,400
1431527458,13.2400,13.2600,13.2200,13.2200,7900
1431527518,13.2400,13.2600,13.2300,13.2300,2100
1431527561,13.2600,13.2600,13.2400,13.2400,6300
1431527638,13.2310,13.2400,13.2300,13.2400,7600
1431527697,13.1800,13.2300,13.1800,13.2300,6600
1431527763,13.1920,13.1920,13.1920,13.1920,400
1431527879,13.2114,13.2114,13.2100,13.2100,1900
1431527930,13.2130,13.2200,13.2100,13.2150,2400
1431527995,13.2100,13.2200,13.2000,13.2200,3200
1431528007,13.2001,13.2028,13.2001,13.2028,2300
1431528078,13.2000,13.2101,13.2000,13.2101,1300
1431528179,13.1900,13.2000,13.1900,13.1912,5400
1431528184,13.1700,13.1882,13.1700,13.1882,3700
1431528295,13.1900,13.2000,13.1800,13.1800,2000
1431528326,13.1600,13.1738,13.1600,13.1738,2000
1431528361,13.1800,13.1800,13.1700,13.1700,1800
1431528478,13.1701,13.2100,13.1700,13.2000,3300
1431528491,13.1876,13.1980,13.1700,13.1700,1400
1431528593,13.1700,13.1999,13.1700,13.1880,3300
1431528659,13.1600,13.1700,13.1600,13.1700,3400
1431528712,13.1400,13.1544,13.1400,13.1544,9100
1431528764,13.1599,13.1599,13.1500,13.1500,3300
1431528836,13.1867,13.1900,13.1500,13.1600,2100
1431528892,13.1950,13.2000,13.1900,13.2000,4300
1431528955,13.2000,13.2100,13.2000,13.2000,7500
1431529015,13.2200,13.2300,13.2200,13.2200,6900
1431529074,13.2110,13.2200,13.2100,13.2100,7400
1431529081,13.2100,13.2100,13.2100,13.2100,300
1431529156,13.1700,13.1901,13.1700,13.1901,3900
1431529246,13.1500,13.1699,13.1500,13.1699,3200
1431529309,13.1502,13.1700,13.1500,13.1700,700
1431529347,13.1700,13.1700,13.1700,13.1700,600
1431529481,13.1660,13.1660,13.1660,13.1660,1300
1431529549,13.1600,13.1800,13.1600,13.1800,500
1431529593,13.1899,13.1899,13.1800,13.1800,2300
1431529623,13.1600,13.1766,13.1600,13.1700,1800
1431529690,13.1544,13.1700,13.1500,13.1700,3600
1431529796,13.1801,13.1900,13.1801,13.1900,2700
1431529804,13.1650,13.1700,13.1650,13.1700,800
1431529914,13.1800,13.1800,13.1800,13.1800,400
1431529956,13.1900,13.1900,13.1900,13.1900,1100
1431529995,13.1897,13.1897,13.1897,13.1897,200
1431530098,13.1700,13.1700,13.1600,13.1600,3000
1431530142,13.1760,13.1760,13.1760,13.1760,1200
1431530201,13.1717,13.1800,13.1717,13.1800,2100
1431530268,13.1701,13.1800,13.1600,13.1600,3300
1431530291,13.1800,13.1800,13.1800,13.1800,900
1431530453,13.2100,13.2100,13.1700,13.1700,2200
1431530499,13.1700,13.2000,13.1700,13.2000,200
1431530523,13.1744,13.1744,13.1716,13.1716,500
1431530797,13.1900,13.1900,13.1800,13.1900,4500
1431530885,13.1683,13.1683,13.1683,13.1683,1300
1431530988,13.1950,13.1950,13.1700,13.1700,1600
1431531021,13.1900,13.2000,13.1900,13.1900,700
1431531107,13.2080,13.2080,13.1800,13.2000,5200
1431531177,13.2100,13.2100,13.2000,13.2000,600
1431531220,13.1900,13.2000,13.1900,13.2000,1900
1431531279,13.1900,13.1900,13.1800,13.1800,300
1431531306,13.1800,13.1800,13.1701,13.1701,200
1431531372,13.1800,13.1800,13.1700,13.1800,300
1431531462,13.1700,13.1935,13.1650,13.1935,3500
1431531525,13.1784,13.1784,13.1600,13.1700,2800
1431531653,13.2000,13.2000,13.1800,13.1800,300
1431531716,13.2000,13.2000,13.2000,13.2000,1200
1431531734,13.2000,13.2000,13.1900,13.2000,5000
1431531959,13.1800,13.1901,13.1800,13.1901,7800
1431532013,13.2000,13.2000,13.1701,13.1701,2000
1431532042,13.2000,13.2100,13.2000,13.2100,400
1431532096,13.1760,13.1960,13.1760,13.1920,5400
1431532162,13.1800,13.1800,13.1700,13.1799,3200
1431532258,13.2000,13.2051,13.1800,13.1800,2000
1431532313,13.1999,13.1999,13.1900,13.1900,600
1431532324,13.1990,13.1990,13.1990,13.1990,900
1431532433,13.1800,13.1901,13.1800,13.1901,1200
1431532450,13.1780,13.1780,13.1780,13.1780,300
1431532545,13.2000,13.2000,13.1800,13.1800,3500
1431532650,13.1900,13.1900,13.1800,13.1900,1100
1431532738,13.1900,13.1900,13.1800,13.1850,2000
1431532756,13.1850,13.1900,13.1850,13.1900,300
1431532916,13.1898,13.1898,13.1800,13.1800,800
1431532966,13.1600,13.1850,13.1600,13.1801,11800
1431533001,13.1550,13.1600,13.1500,13.1501,4600
1431533086,13.1650,13.1699,13.1500,13.1500,6500
1431533135,13.1538,13.1599,13.1538,13.1550,1000
1431533161,13.1524,13.1524,13.1500,13.1500,2000
1431533276,13.1400,13.1475,13.1400,13.1475,11000
1431533307,13.1367,13.1400,13.1367,13.1400,700
1431533359,13.1424,13.1424,13.1399,13.1399,900
1431533452,13.1450,13.1450,13.1450,13.1450,100
1431533465,13.1600,13.1600,13.1500,13.1500,2500
1431533567,13.1450,13.1500,13.1440,13.1500,1700
1431533609,13.1400,13.1400,13.1400,13.1400,4200
1431533682,13.1500,13.1600,13.1400,13.1400,1800
1431533702,13.1523,13.1523,13.1501,13.1501,1200
1431533819,13.1600,13.1600,13.1500,13.1512,400
1431533866,13.1500,13.1500,13.1500,13.1500,600
1431533893,13.1362,13.1362,13.1300,13.1300,2200
1431533999,13.1250,13.1399,13.1250,13.1300,800
1431534008,13.1400,13.1400,13.1299,13.1300,1500
1431534077,13.1400,13.1400,13.1400,13.1400,200
1431534162,13.1600,13.1600,13.1500,13.1500,3700
1431534220,13.1500,13.1700,13.1500,13.1600,2900
