uri:/instrument/1.0/MASI/chartdata;type=quote;range=500d/csv
ticker:masi
Company-Name:Masimo Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:34.5100
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:33.5600,35.4000
high:33.6300,35.7800
low:33.4000,35.2800
open:33.6100,35.5400
volume:0,505400
1429882495,34.9200,34.9600,34.8850,34.8850,6000
1429882680,34.8700,34.9400,34.7800,34.9200,1800
1429883009,34.7300,34.7900,34.7300,34.7900,400
1429883295,34.8400,34.8400,34.7000,34.7000,500
1429883949,34.8100,34.8600,34.8100,34.8600,1400
1429884252,34.8000,34.8300,34.8000,34.8200,2300
1429884382,34.7520,34.7600,34.7000,34.7500,2000
1429884862,34.8400,34.8400,34.7700,34.7700,500
1429885193,34.9000,34.9300,34.8800,34.8800,3400
1429885200,34.8450,34.9000,34.8450,34.8600,2400
1429885776,34.9900,34.9900,34.8800,34.8800,900
1429886032,35.0300,35.0400,34.9900,34.9900,2800
1429886141,35.0000,35.0000,35.0000,35.0000,200
1429886667,35.0900,35.0900,34.9900,34.9900,1300
1429886770,35.0300,35.0300,35.0300,35.0300,900
1429887267,35.0500,35.0550,34.9900,35.0000,2500
1429887501,34.9900,34.9900,34.9900,34.9900,100
1429887886,34.9900,35.0049,34.9900,35.0049,200
1429887929,35.0500,35.0500,35.0500,35.0500,200
1429888483,35.0800,35.0800,35.0300,35.0300,400
1429888783,35.0500,35.0600,35.0100,35.0600,600
1429888901,35.0300,35.0500,35.0300,35.0500,400
1429889387,35.0000,35.0500,35.0000,35.0500,800
1429889442,35.0400,35.0400,35.0400,35.0400,100
1429890278,34.9400,35.0100,34.9400,35.0100,2100
1429890510,34.9000,34.9500,34.9000,34.9500,600
1429890899,34.8500,34.9000,34.8500,34.8900,1000
1429891117,34.8200,34.8800,34.8100,34.8800,2700
1429891303,34.8200,34.8200,34.8200,34.8200,300
1429891620,34.8200,34.8500,34.8200,34.8500,400
1429892011,34.8500,34.8500,34.8200,34.8200,500
1429892656,34.9200,34.9200,34.8500,34.8500,1100
1429892981,34.9200,34.9250,34.9200,34.9250,1200
1429893264,34.8700,34.9350,34.8700,34.9200,1400
1429893512,34.8500,34.8700,34.8500,34.8500,1100
1429893686,34.8800,34.8800,34.8800,34.8800,100
1429894128,34.9150,34.9150,34.8900,34.9130,600
1429894764,34.9700,34.9700,34.9500,34.9500,2000
1429895008,34.9600,34.9700,34.9400,34.9600,2100
