uri:/instrument/1.0/MATR/chartdata;type=quote;range=1d/csv
ticker:matr
Company-Name:Mattersight Corporation
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:6.6700
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:6.2500,6.8240
high:6.2500,6.8240
low:6.2500,6.8240
open:6.2500,6.8240
volume:0,21700
1431523822,6.8240,6.8240,6.8240,6.8240,300
1431524026,6.7000,6.7000,6.7000,6.7000,700
1431524331,6.6050,6.6414,6.5900,6.6414,1000
1431524357,6.5900,6.5900,6.5900,6.5900,500
1431524994,6.5740,6.5740,6.5710,6.5710,1000
1431525160,6.5700,6.6000,6.5700,6.6000,400
1431525287,6.5000,6.5400,6.4600,6.5400,10000
1431525332,6.5000,6.5000,6.5000,6.5000,400
1431525499,6.5000,6.5000,6.5000,6.5000,100
1431525608,6.4990,6.4990,6.4990,6.4990,100
1431525839,6.5000,6.5000,6.4800,6.4800,2300
1431526017,6.5000,6.5000,6.4900,6.4900,300
1431526333,6.5000,6.5000,6.5000,6.5000,200
1431526423,6.5000,6.5000,6.5000,6.5000,300
1431526440,6.5000,6.5000,6.5000,6.5000,100
1431526558,6.5000,6.5000,6.5000,6.5000,200
1431526768,6.5000,6.5000,6.5000,6.5000,100
1431526851,6.4800,6.4999,6.4800,6.4999,1500
1431526896,6.4500,6.4700,6.4499,6.4700,2800
1431527399,6.4500,6.4500,6.4500,6.4500,100
1431527545,6.4499,6.4499,6.4499,6.4499,100
1431527628,6.4600,6.4600,6.4499,6.4500,1100
1431527640,6.4600,6.4600,6.4600,6.4600,100
1431527804,6.5100,6.5100,6.5100,6.5100,100
1431528014,6.5100,6.5100,6.5100,6.5100,100
1431528210,6.5700,6.5700,6.5700,6.5700,100
1431528400,6.5899,6.5899,6.5899,6.5899,200
1431528420,6.5600,6.5900,6.5600,6.5900,500
1431528500,6.5000,6.5000,6.5000,6.5000,200
1431528625,6.5000,6.5000,6.5000,6.5000,200
1431528821,6.4950,6.5000,6.4950,6.5000,200
1431528866,6.4901,6.4901,6.4901,6.4901,800
1431529066,6.5000,6.5000,6.5000,6.5000,100
1431529276,6.5000,6.5000,6.5000,6.5000,100
1431529342,6.4640,6.4800,6.4500,6.4800,1200
1431529698,6.4730,6.4999,6.4730,6.4999,1200
1431529937,6.5000,6.5000,6.5000,6.5000,100
1431530030,6.4800,6.4800,6.4800,6.4800,300
1431530158,6.5000,6.5000,6.5000,6.5000,100
1431530164,6.4640,6.4640,6.4640,6.4640,100
1431530660,6.4701,6.4701,6.4701,6.4701,500
1431530737,6.5000,6.5000,6.5000,6.5000,200
1431530923,6.4740,6.4740,6.4740,6.4740,100
1431530958,6.5100,6.5100,6.5100,6.5100,100
1431531529,6.5100,6.5100,6.5100,6.5100,100
1431531934,6.5000,6.5000,6.5000,6.5000,100
1431532032,6.5000,6.5000,6.5000,6.5000,100
1431532110,6.4730,6.4730,6.4730,6.4730,100
1431532856,6.4640,6.5000,6.4640,6.5000,1200
1431532861,6.4640,6.4640,6.4640,6.4640,100
1431532970,6.5000,6.5000,6.5000,6.5000,100
1431533270,6.5000,6.5000,6.5000,6.5000,100
1431533635,6.3900,6.4600,6.3730,6.4600,8000
1431533728,6.3700,6.3865,6.3700,6.3865,1100
1431533902,6.3700,6.4150,6.3700,6.4150,800
1431533956,6.4064,6.4064,6.4064,6.4064,200
1431534349,6.4200,6.4200,6.4200,6.4200,100
1431534411,6.4200,6.4200,6.4200,6.4200,100
1431534516,6.3800,6.3800,6.3800,6.3800,100
