uri:/instrument/1.0/MDXG/chartdata;type=quote;range=1d/csv
ticker:mdxg
Company-Name:MiMedx Group, Inc
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.4600
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:9.3700,9.7100
high:9.3700,9.7100
low:9.3700,9.7000
open:9.3700,9.7100
volume:100,24500
1431523800,9.5200,9.5200,9.5200,9.5200,1900
1431524054,9.5800,9.5900,9.5300,9.5300,3100
1431524215,9.5700,9.5700,9.5700,9.5700,500
1431524338,9.5400,9.5700,9.5400,9.5700,1400
1431524398,9.5300,9.5500,9.5200,9.5200,1000
1431524400,9.5000,9.5300,9.5000,9.5300,800
1431524571,9.5200,9.5200,9.5200,9.5200,100
1431524629,9.4700,9.4700,9.4700,9.4700,100
1431524717,9.5000,9.5000,9.4800,9.4800,2100
1431524819,9.5100,9.5100,9.5100,9.5100,100
1431524916,9.5100,9.5100,9.5000,9.5100,500
1431525007,9.5200,9.5200,9.5200,9.5200,400
1431525074,9.4900,9.4900,9.4900,9.4900,100
1431525149,9.4900,9.4900,9.4900,9.4900,900
1431525210,9.4800,9.4800,9.4800,9.4800,100
1431525294,9.4601,9.4800,9.4601,9.4800,700
1431525353,9.4900,9.4900,9.4700,9.4700,1500
1431525430,9.5000,9.5000,9.5000,9.5000,400
1431525505,9.4800,9.4950,9.4800,9.4900,1400
1431525580,9.4400,9.4800,9.4400,9.4800,400
1431525655,9.4600,9.4600,9.4600,9.4600,300
1431525693,9.4500,9.4500,9.4500,9.4500,400
1431525724,9.4400,9.4500,9.4300,9.4500,1000
1431525792,9.4500,9.4500,9.4400,9.4400,1300
1431525887,9.4900,9.4900,9.4900,9.4900,100
1431525953,9.4800,9.4800,9.4700,9.4700,200
1431526015,9.4450,9.4750,9.4450,9.4700,1200
1431526041,9.4600,9.4600,9.4600,9.4600,200
1431526164,9.4700,9.4700,9.4700,9.4700,100
1431526204,9.4700,9.4700,9.4700,9.4700,400
1431526269,9.5000,9.5100,9.4699,9.4700,4800
1431526500,9.5600,9.5700,9.5300,9.5300,2500
1431526612,9.5500,9.5700,9.5500,9.5600,2500
1431526624,9.5400,9.5600,9.5400,9.5600,1600
1431526696,9.5000,9.5000,9.4950,9.4950,400
1431526799,9.4500,9.4900,9.4500,9.4900,1000
1431526800,9.4850,9.4850,9.4500,9.4500,5200
1431526881,9.4600,9.4600,9.4400,9.4535,3200
1431526976,9.5200,9.5300,9.4700,9.4700,2600
1431527028,9.5300,9.5300,9.5200,9.5200,800
1431527046,9.5300,9.5300,9.5100,9.5100,2700
1431527169,9.5300,9.5300,9.5300,9.5300,100
1431527271,9.5300,9.5300,9.5300,9.5300,600
1431527306,9.5101,9.5200,9.5101,9.5200,200
1431527397,9.5300,9.5300,9.5200,9.5200,1400
1431527413,9.5200,9.5300,9.5200,9.5300,1200
1431527507,9.4900,9.5100,9.4900,9.5100,300
1431527540,9.5200,9.5200,9.4800,9.4800,3400
1431527596,9.5150,9.5150,9.5100,9.5100,700
1431527676,9.4900,9.5150,9.4900,9.5100,1700
1431527751,9.4900,9.4900,9.4700,9.4800,2500
1431527781,9.5500,9.5500,9.5100,9.5100,4700
1431527868,9.5400,9.5600,9.5400,9.5400,3900
1431527898,9.5300,9.5400,9.5201,9.5400,2000
1431528094,9.5600,9.5700,9.5500,9.5500,1900
1431528158,9.5800,9.5800,9.5700,9.5700,1200
1431528236,9.5900,9.5900,9.5800,9.5800,1300
1431528296,9.6300,9.6400,9.5800,9.5900,24000
1431528300,9.6200,9.6200,9.6000,9.6100,900
1431528413,9.6300,9.6300,9.5900,9.5900,500
1431528479,9.6300,9.6351,9.6200,9.6276,1200
1431528524,9.6299,9.6299,9.6200,9.6200,2300
1431528562,9.6300,9.6300,9.6300,9.6300,100
1431528700,9.6400,9.6400,9.6300,9.6300,500
1431528753,9.6400,9.6400,9.6300,9.6300,400
1431528835,9.6700,9.6700,9.6500,9.6500,600
1431528845,9.6600,9.6700,9.6600,9.6700,600
1431528955,9.6400,9.6500,9.6400,9.6500,600
1431529007,9.6200,9.6200,9.6200,9.6200,300
1431529097,9.6200,9.6200,9.6200,9.6200,2300
1431529155,9.6200,9.6300,9.6200,9.6300,2900
1431529225,9.6200,9.6200,9.6200,9.6200,100
1431529263,9.6300,9.6300,9.6300,9.6300,300
1431529448,9.5900,9.6050,9.5900,9.5900,2100
1431529550,9.5900,9.5900,9.5700,9.5800,500
1431529589,9.5900,9.5900,9.5900,9.5900,500
1431529698,9.5900,9.5900,9.5900,9.5900,100
1431529797,9.6000,9.6000,9.5900,9.6000,600
1431529970,9.6000,9.6200,9.6000,9.6100,1500
1431530055,9.6000,9.6000,9.6000,9.6000,200
1431530126,9.6100,9.6100,9.5900,9.5900,300
1431530209,9.5900,9.5900,9.5900,9.5900,300
1431530325,9.5900,9.5900,9.5900,9.5900,300
1431530397,9.5900,9.5900,9.5900,9.5900,100
1431530409,9.5900,9.5900,9.5900,9.5900,1200
1431530509,9.5600,9.5900,9.5600,9.5900,900
1431530614,9.5600,9.5700,9.5600,9.5600,300
1431530656,9.5600,9.5700,9.5600,9.5700,200
1431530704,9.5600,9.5600,9.5600,9.5600,200
1431530815,9.5500,9.5550,9.5500,9.5500,1100
1431530873,9.5200,9.5400,9.5200,9.5400,600
