uri:/instrument/1.0/MOLG/chartdata;type=quote;range=500d/csv
ticker:molg
Company-Name:MOL Global, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:2.2600
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:2.1000,2.4300
high:2.1000,2.4700
low:2.1000,2.3855
open:2.1000,2.3900
volume:0,33900
1429887458,2.2801,2.2801,2.2800,2.2800,8100
1429887808,2.3000,2.3000,2.2980,2.3000,1800
1429888093,2.3101,2.3101,2.3101,2.3101,300
1429890443,2.3200,2.3200,2.3200,2.3200,400
1429891109,2.3700,2.3700,2.3280,2.3300,8900
1429891462,2.3600,2.3600,2.3600,2.3600,4100
1429891850,2.3600,2.3600,2.3600,2.3600,500
1429892259,2.3600,2.3900,2.3600,2.3900,2800
1429892660,2.3828,2.3828,2.3828,2.3828,500
1429893229,2.3855,2.3855,2.3855,2.3855,1000
1429893346,2.3700,2.3700,2.3700,2.3700,500
1429893894,2.4300,2.4700,2.3600,2.3600,19900
1429894038,2.2800,2.3700,2.2200,2.3700,33900
1429894229,2.3000,2.3000,2.3000,2.3000,1900
1429894518,2.2700,2.3000,2.2700,2.3000,1800
1429895360,2.2880,2.2980,2.2710,2.2810,2500
1429896208,2.2600,2.2800,2.2600,2.2800,2300
1429896570,2.2800,2.2800,2.2800,2.2800,100
1429896941,2.2700,2.2700,2.2700,2.2700,100
1429899255,2.2350,2.2730,2.2310,2.2710,10500
1429899587,2.2600,2.2600,2.2600,2.2600,100
1429900178,2.3000,2.3000,2.2800,2.2900,3000
1429903397,2.3400,2.3400,2.3000,2.3000,10000
1429905047,2.2900,2.2900,2.2900,2.2900,100
1430142952,2.3000,2.3001,2.3000,2.3001,0
1430143649,2.2800,2.2900,2.2800,2.2900,300
1430145021,2.2430,2.2520,2.2210,2.2510,5500
1430146372,2.2000,2.2200,2.2000,2.2200,8800
1430146756,2.1700,2.2000,2.1700,2.2000,1800
1430147012,2.1780,2.1799,2.1780,2.1799,2000
1430147191,2.1700,2.1800,2.1700,2.1800,2300
1430147505,2.1900,2.1900,2.1900,2.1900,1000
1430148414,2.2000,2.2000,2.2000,2.2000,100
1430148807,2.2000,2.2249,2.2000,2.2249,1600
1430148927,2.2000,2.2228,2.2000,2.2228,500
1430149747,2.2200,2.2200,2.2200,2.2200,100
1430150229,2.2200,2.2284,2.2200,2.2284,3800
1430154061,2.2200,2.2300,2.2200,2.2300,1100
1430154600,2.2200,2.2244,2.2200,2.2244,500
1430157974,2.2200,2.2200,2.2200,2.2200,200
1430159815,2.2000,2.2300,2.2000,2.2201,6800
1430161052,2.2100,2.2100,2.2100,2.2100,1400
1430161449,2.2000,2.2200,2.2000,2.2000,12500
