uri:/instrument/1.0/NEO/chartdata;type=quote;range=500d/csv
ticker:neo
Company-Name:NeoGenomics, Inc.
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:4.8500
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:4.2550,5.0400
high:4.3000,5.0400
low:4.1800,5.0300
open:4.3000,5.0300
volume:0,168800
1429882497,4.8500,4.8700,4.8400,4.8400,1200
1429883360,4.8500,4.8700,4.8400,4.8400,800
1429883659,4.8500,4.8500,4.8500,4.8500,100
1429883880,4.8500,4.8600,4.8400,4.8400,900
1429884276,4.8500,4.8500,4.8500,4.8500,100
1429884508,4.8400,4.8700,4.8400,4.8500,8100
1429884794,4.8500,4.8500,4.8500,4.8500,100
1429885199,4.8600,4.8600,4.8600,4.8600,500
1429885437,4.8800,4.8800,4.8500,4.8500,4800
1429885795,4.8600,4.8900,4.8600,4.8900,5900
1429886090,4.8400,4.8700,4.8400,4.8600,9500
1429886324,4.8500,4.8500,4.8200,4.8400,4600
1429886640,4.8500,4.8500,4.8440,4.8500,1400
1429886883,4.8500,4.8500,4.8500,4.8500,900
1429887213,4.8500,4.8500,4.8500,4.8500,700
1429887447,4.8400,4.8500,4.8400,4.8500,5000
1429887793,4.8400,4.8400,4.8300,4.8400,400
1429888143,4.8400,4.8400,4.8300,4.8400,400
1429888493,4.8400,4.8400,4.8300,4.8400,700
1429888758,4.8400,4.8400,4.8300,4.8400,1200
1429889043,4.8400,4.8500,4.8400,4.8400,10300
1429889344,4.8400,4.8500,4.8400,4.8400,600
1429889685,4.7900,4.8400,4.7900,4.8300,29700
1429889876,4.8000,4.8000,4.7900,4.8000,2300
1429890297,4.7900,4.8000,4.7900,4.8000,700
1429890583,4.7900,4.8000,4.7900,4.8000,1300
1429890754,4.8000,4.8000,4.8000,4.8000,1800
1429891188,4.8100,4.8200,4.8100,4.8200,800
1429891432,4.8000,4.8200,4.8000,4.8100,1100
1429891714,4.8050,4.8050,4.7900,4.7900,200
1429892070,4.8050,4.8050,4.8050,4.8050,300
1429892397,4.7900,4.8000,4.7900,4.7900,5000
1429892626,4.7600,4.7900,4.7600,4.7900,5100
1429892770,4.7700,4.7700,4.7700,4.7700,100
1429893081,4.7900,4.7900,4.7900,4.7900,100
1429893495,4.7885,4.7885,4.7700,4.7700,200
1429893832,4.7900,4.7900,4.7800,4.7800,200
1429894112,4.7780,4.7900,4.7700,4.7800,700
1429894350,4.7800,4.7800,4.7800,4.7800,100
1429894518,4.7900,4.7900,4.7900,4.7900,400
1429895217,4.7900,4.7900,4.7900,4.7900,100
1429895669,4.7900,4.8000,4.7900,4.8000,1900
1429895859,4.7900,4.7950,4.7900,4.7900,900
1429896155,4.7900,4.8000,4.7900,4.8000,300
1429896433,4.7800,4.7900,4.7800,4.7900,500
1429896665,4.7800,4.7800,4.7800,4.7800,100
1429897182,4.7900,4.7900,4.7900,4.7900,100
1429897475,4.7900,4.7900,4.7900,4.7900,300
1429897634,4.7900,4.7900,4.7900,4.7900,100
1429898330,4.7900,4.8000,4.7900,4.8000,600
1429898667,4.7900,4.7900,4.7900,4.7900,300
1429898775,4.7900,4.7950,4.7900,4.7950,300
1429899269,4.7900,4.7900,4.7900,4.7900,200
1429899449,4.7900,4.7900,4.7900,4.7900,100
1429899886,4.7900,4.8000,4.7900,4.8000,1000
1429900154,4.7850,4.7950,4.7800,4.7950,4300
1429900468,4.7800,4.7900,4.7800,4.7900,1200
1429900737,4.7800,4.7900,4.7800,4.7800,2900
1429901070,4.7900,4.7900,4.7800,4.7800,3800
1429901367,4.7700,4.7900,4.7700,4.7900,9100
1429901490,4.7300,4.7800,4.7100,4.7800,17400
1429901993,4.7300,4.7300,4.7300,4.7300,200
1429902248,4.7300,4.7600,4.7300,4.7600,200
1429902566,4.7300,4.7500,4.7300,4.7500,1400
1429902883,4.7400,4.7400,4.7300,4.7300,1000
1429903054,4.7500,4.7500,4.7350,4.7400,1000
1429903349,4.7700,4.7700,4.7500,4.7500,800
1429903754,4.7400,4.7900,4.7400,4.7700,7000
1429903931,4.7700,4.7700,4.7450,4.7450,800
1429904393,4.7500,4.7800,4.7500,4.7700,1700
1429904671,4.7500,4.7640,4.7500,4.7600,700
1429904978,4.7700,4.7700,4.7700,4.7700,300
1429905232,4.7500,4.7700,4.7400,4.7700,2700
1429905560,4.7100,4.7600,4.7100,4.7500,13100
1429905600,4.7500,4.7500,4.7500,4.7500,400
1430141400,4.7500,4.7500,4.7500,4.7500,0
1430141841,4.7550,4.7550,4.7550,4.7550,2400
1430142299,4.7800,4.7800,4.7650,4.7650,16100
1430142377,4.7800,4.7800,4.7800,4.7800,100
1430142796,4.7800,4.7800,4.7750,4.7750,6200
1430142963,4.7800,4.7800,4.7800,4.7800,600
1430143483,4.7800,4.7800,4.7800,4.7800,2000
1430143514,4.7750,4.7750,4.7750,4.7750,400
1430144067,4.7800,4.7800,4.7800,4.7800,300
1430144304,4.7750,4.7800,4.7750,4.7800,200
1430144680,4.7700,4.7800,4.7700,4.7750,800
1430144966,4.7800,4.7900,4.7750,4.7750,1000
1430145236,4.7700,4.7800,4.7600,4.7800,700
1430145531,4.7800,4.7800,4.7600,4.7750,800
1430145811,4.7900,4.7900,4.7900,4.7900,200
1430146136,4.7850,4.7900,4.7850,4.7850,400
1430146498,4.7900,4.7900,4.7850,4.7850,700
1430146782,4.7800,4.7900,4.7800,4.7800,3100
1430147096,4.7650,4.7850,4.7650,4.7850,1300
1430147157,4.7700,4.7700,4.7500,4.7600,1500
1430147670,4.7650,4.7700,4.7500,4.7500,2000
1430147923,4.7750,4.7750,4.7650,4.7650,900
1430148283,4.7800,4.7800,4.7700,4.7750,800
1430148599,4.7700,4.7800,4.7700,4.7800,300
1430149083,4.7800,4.7800,4.7750,4.7800,600
1430149494,4.7800,4.7800,4.7750,4.7750,1400
1430149794,4.7750,4.7800,4.7700,4.7700,400
1430150040,4.7600,4.7800,4.7600,4.7800,3000
1430150295,4.7600,4.7600,4.7600,4.7600,200
1430150630,4.7700,4.7700,4.7600,4.7700,2600
1430150969,4.7500,4.7700,4.7500,4.7650,1100
1430151284,4.7200,4.7500,4.7200,4.7500,7800
1430151365,4.7300,4.7300,4.7200,4.7200,1200
1430151877,4.7100,4.7200,4.7100,4.7100,1200
1430151944,4.7100,4.7100,4.7100,4.7100,600
1430152326,4.7200,4.7200,4.7000,4.7000,200
1430152652,4.7100,4.7200,4.7100,4.7200,400
1430152912,4.7000,4.7255,4.7000,4.7255,200
1430153266,4.7100,4.7100,4.7100,4.7100,100
1430153614,4.7300,4.7300,4.7300,4.7300,700
1430153973,4.7200,4.7400,4.7200,4.7400,1800
1430154243,4.7200,4.7200,4.7200,4.7200,200
1430154379,4.7100,4.7100,4.7100,4.7100,400
1430154880,4.7100,4.7100,4.7100,4.7100,600
1430155035,4.7000,4.7200,4.7000,4.7100,500
1430155440,4.6900,4.7200,4.6800,4.7100,4300
1430155628,4.6600,4.6600,4.6600,4.6600,100
1430156049,4.6700,4.6700,4.6600,4.6600,900
1430156601,4.6900,4.6900,4.6800,4.6800,400
1430156881,4.6980,4.7100,4.6980,4.7100,600
1430157080,4.6900,4.7100,4.6900,4.7100,800
1430157503,4.6800,4.6914,4.6800,4.6900,1000
1430157604,4.6800,4.6800,4.6800,4.6800,100
1430158120,4.6900,4.6900,4.6800,4.6800,1000
1430158757,4.6900,4.7000,4.6900,4.6900,1000
1430159066,4.7100,4.7300,4.7000,4.7100,4900
1430159379,4.7200,4.7200,4.7050,4.7050,1500
1430159639,4.6700,4.7000,4.6700,4.7000,3900
1430159962,4.6700,4.6700,4.6700,4.6700,100
1430160542,4.6900,4.7000,4.6700,4.6700,2500
1430160845,4.7000,4.7000,4.6850,4.6850,1200
1430161197,4.7000,4.7100,4.6900,4.7000,2900
1430161452,4.6950,4.7200,4.6900,4.7000,4800
1430162076,4.6950,4.7100,4.6800,4.6800,2300
1430162393,4.6950,4.7100,4.6950,4.7100,800
1430162690,4.7050,4.7100,4.6900,4.6950,4300
1430162941,4.6700,4.7150,4.6700,4.7050,22400
1430163299,4.6900,4.6900,4.6750,4.6750,2800
1430163545,4.6800,4.7000,4.6800,4.6900,5500
1430163809,4.6750,4.6800,4.6700,4.6800,1500
1430164195,4.6300,4.6600,4.6200,4.6600,5700
1430164442,4.6225,4.6300,4.6100,4.6200,11200
1430164740,4.6100,4.6500,4.5900,4.6200,19800
1430164800,4.6100,4.6100,4.6100,4.6100,600
1430228084,4.2550,4.3000,4.1800,4.3000,0
1430228341,4.3500,4.3800,4.2700,4.3000,15700
1430228664,4.5200,4.5900,4.3400,4.3500,35100
1430228990,4.4200,4.5400,4.4200,4.5100,20100
1430229274,4.4550,4.4600,4.4400,4.4400,6500
1430229599,4.5000,4.5440,4.4350,4.4600,15100
1430229885,4.4900,4.5000,4.4500,4.4900,900
1430230199,4.4500,4.4900,4.4500,4.4520,4100
1430230410,4.4600,4.4700,4.4500,4.4500,4300
1430230793,4.4700,4.4997,4.4500,4.4500,6900
1430231050,4.4702,4.4900,4.4700,4.4900,1100
1430231331,4.4500,4.4750,4.4500,4.4700,2300
1430231694,4.4600,4.4600,4.4500,4.4550,700
1430231978,4.4800,4.4900,4.4500,4.4600,7000
1430232278,4.5000,4.5000,4.4850,4.4900,9700
1430232576,4.5600,4.5600,4.4922,4.5000,8400
1430232894,4.5700,4.6000,4.5700,4.5900,2800
1430233151,4.5400,4.5900,4.5400,4.5504,3300
1430233436,4.5300,4.5400,4.5200,4.5200,400
1430233799,4.5400,4.5500,4.5000,4.5300,6300
1430234097,4.5600,4.5600,4.5450,4.5450,700
1430234352,4.5600,4.5700,4.5500,4.5599,6200
1430234686,4.6299,4.6299,4.5500,4.5500,6500
1430234943,4.6503,4.6700,4.6100,4.6100,2200
1430235238,4.6500,4.6700,4.6001,4.6500,4600
1430235594,4.6400,4.6600,4.6200,4.6600,2200
1430235898,4.6500,4.6500,4.6300,4.6300,1400
1430236096,4.7000,4.7000,4.6400,4.6499,28700
1430236384,4.6450,4.6700,4.6400,4.6700,17400
1430236754,4.6450,4.6500,4.6450,4.6500,400
1430237085,4.6450,4.6500,4.6450,4.6450,1200
1430237350,4.6500,4.6600,4.6500,4.6500,4300
1430237682,4.6700,4.6700,4.6500,4.6500,7600
1430237998,4.6600,4.6600,4.6500,4.6600,900
1430238256,4.6600,4.6600,4.6500,4.6500,900
1430238541,4.6500,4.6600,4.6500,4.6600,1600
1430238781,4.6500,4.6600,4.6500,4.6550,8800
1430239142,4.6500,4.6600,4.6500,4.6599,3600
1430239482,4.6700,4.6700,4.6500,4.6500,13700
1430239742,4.6800,4.6800,4.6600,4.6600,11000
1430239958,4.6400,4.7050,4.6400,4.7050,3100
1430240267,4.6600,4.6600,4.6500,4.6500,1600
1430240664,4.6600,4.6600,4.6600,4.6600,2700
1430240948,4.6600,4.6600,4.6470,4.6600,11800
1430241206,4.6600,4.6600,4.6500,4.6500,1100
1430241870,4.6700,4.6700,4.6500,4.6600,1700
1430241907,4.6700,4.6700,4.6700,4.6700,100
1430242459,4.6600,4.6600,4.6600,4.6600,200
1430242677,4.6600,4.6700,4.6600,4.6600,600
1430243040,4.6700,4.6800,4.6650,4.6650,3600
1430243323,4.6800,4.6800,4.6750,4.6800,4300
1430243476,4.6800,4.6800,4.6750,4.6800,1500
1430243952,4.7300,4.7300,4.6700,4.6800,17500
1430244295,4.7800,4.7800,4.7200,4.7400,6500
1430244567,4.7950,4.8000,4.7600,4.7700,23200
1430244891,4.7800,4.7800,4.7700,4.7700,1000
1430245115,4.7700,4.7900,4.7600,4.7800,6400
1430245449,4.7100,4.7700,4.7100,4.7700,7200
1430245698,4.6500,4.7100,4.6300,4.7100,2000
1430246090,4.6600,4.6700,4.6300,4.6300,8700
1430246371,4.7100,4.7100,4.6500,4.6600,9000
1430246595,4.7050,4.7100,4.6900,4.7000,4300
1430246986,4.7050,4.7100,4.7000,4.7000,6800
1430247272,4.7000,4.7100,4.6800,4.7016,14800
1430247555,4.6900,4.7000,4.6801,4.6900,5900
1430247869,4.6900,4.7000,4.6900,4.6900,6000
1430248158,4.6950,4.7000,4.6900,4.6900,5000
1430248490,4.7000,4.7000,4.6900,4.7000,8900
1430248761,4.7000,4.7000,4.6900,4.7000,26800
1430249048,4.7000,4.7000,4.6901,4.7000,14800
1430249396,4.7000,4.7000,4.6900,4.7000,14300
1430249650,4.6950,4.7000,4.6900,4.7000,11700
1430249963,4.7000,4.7000,4.6900,4.6900,8000
1430250247,4.7000,4.7000,4.6900,4.6950,12200
1430250541,4.7000,4.7000,4.6900,4.7000,7400
1430250846,4.7100,4.7100,4.6800,4.6950,168800
1430251140,4.7700,4.7700,4.7000,4.7050,15100
1430251200,4.7300,4.7300,4.7300,4.7300,1700
1430314474,4.6900,4.6900,4.6400,4.6400,0
1430314675,4.6600,4.6600,4.6600,4.6600,200
1430314939,4.6300,4.6300,4.6300,4.6300,1600
1430315287,4.6600,4.6600,4.6200,4.6200,1800
1430315602,4.6250,4.6299,4.6200,4.6200,1400
1430315950,4.6200,4.6300,4.6200,4.6200,900
1430316285,4.5600,4.6200,4.5600,4.6200,2800
1430316363,4.5500,4.5500,4.5500,4.5500,200
1430316768,4.5700,4.5700,4.5550,4.5550,2000
1430317200,4.5800,4.5800,4.5800,4.5800,100
1430317776,4.5800,4.5800,4.5700,4.5700,500
1430317942,4.5800,4.5800,4.5800,4.5800,600
1430318378,4.6100,4.6220,4.5900,4.5900,4000
1430318659,4.6300,4.6400,4.6300,4.6400,300
1430318900,4.6350,4.6400,4.6350,4.6350,400
1430319246,4.6100,4.6400,4.6100,4.6300,1800
