uri:/instrument/1.0/NERV/chartdata;type=quote;range=500d/csv
ticker:nerv
Company-Name:Minerva Neurosciences, Inc
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:5.1500
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:4.9650,5.7900
high:4.9650,5.7900
low:4.9650,5.7799
open:4.9650,5.7799
volume:0,9600
1429882200,5.5600,5.5600,5.5600,5.5600,500
1429884198,5.5340,5.5340,5.5340,5.5340,200
1429884572,5.4900,5.5300,5.4900,5.5300,500
1429884844,5.4300,5.4900,5.4300,5.4900,400
1429885078,5.4300,5.4550,5.4300,5.4550,2000
1429885483,5.4000,5.4000,5.4000,5.4000,700
1429885688,5.4300,5.4400,5.4000,5.4050,2100
1429885880,5.3730,5.3730,5.3730,5.3730,700
1429886543,5.4000,5.4000,5.4000,5.4000,200
1429886941,5.4300,5.4300,5.4300,5.4300,100
1429887109,5.5400,5.5400,5.4300,5.4300,3000
1429888017,5.5225,5.5225,5.5225,5.5225,100
1429888257,5.5500,5.5500,5.5500,5.5500,200
1429889687,5.5800,5.5800,5.5500,5.5500,700
1429890795,5.6100,5.6100,5.6100,5.6100,100
1429891174,5.6000,5.6000,5.6000,5.6000,500
1429891261,5.6300,5.6300,5.6000,5.6100,2600
1429893588,5.7900,5.7900,5.7000,5.7100,4900
1429893705,5.7799,5.7799,5.7799,5.7799,500
1429895383,5.7600,5.7900,5.7000,5.7000,2300
1429896252,5.7300,5.7300,5.6754,5.6754,600
1429898093,5.7300,5.7300,5.6400,5.7000,1600
1429898381,5.7000,5.7000,5.6600,5.6600,600
1429899238,5.6648,5.6800,5.6648,5.6800,500
1429900093,5.7100,5.7100,5.6600,5.6800,3100
1429900816,5.7000,5.7000,5.7000,5.7000,100
1429901908,5.6780,5.6780,5.6780,5.6780,200
1429903483,5.7000,5.7100,5.6400,5.6700,2300
1429904032,5.7300,5.7300,5.6900,5.7100,1100
1429904309,5.7300,5.7300,5.7298,5.7298,500
1429904659,5.7300,5.7300,5.7100,5.7200,700
1429905274,5.7100,5.7100,5.7100,5.7100,400
1429905558,5.7400,5.7400,5.7100,5.7300,1200
1430144484,5.6000,5.6600,5.6000,5.6600,0
1430145016,5.5600,5.6360,5.5600,5.6360,1400
1430146012,5.6390,5.6390,5.6040,5.6040,3500
1430146286,5.6400,5.6400,5.6400,5.6400,1000
1430146915,5.6200,5.6420,5.6100,5.6420,1500
1430147518,5.6050,5.6050,5.6050,5.6050,500
1430148328,5.5890,5.5890,5.5801,5.5801,500
1430148874,5.6100,5.6100,5.6100,5.6100,200
1430149106,5.5920,5.5920,5.5700,5.5700,200
1430150030,5.5000,5.5500,5.5000,5.5500,300
1430150232,5.5315,5.5315,5.5315,5.5315,200
1430151515,5.5300,5.5300,5.5300,5.5300,200
1430151763,5.5300,5.5300,5.5300,5.5300,1100
1430153649,5.5310,5.5310,5.5300,5.5300,800
1430153724,5.5369,5.5369,5.5369,5.5369,200
1430154092,5.5300,5.5300,5.5300,5.5300,600
1430154636,5.5300,5.5300,5.5300,5.5300,200
1430154935,5.5300,5.5300,5.5300,5.5300,200
1430159466,5.5500,5.5500,5.5300,5.5300,1000
1430159859,5.5300,5.5300,5.5300,5.5300,600
1430160167,5.5300,5.5300,5.5300,5.5300,100
1430161864,5.5500,5.5500,5.5390,5.5390,300
1430162492,5.5300,5.5360,5.5300,5.5360,1000
1430163582,5.5648,5.5648,5.5600,5.5600,500
1430163769,5.5700,5.5700,5.5680,5.5680,400
1430164320,5.5700,5.5700,5.5700,5.5700,300
1430164504,5.5900,5.5900,5.5900,5.5900,300
1430227800,5.6000,5.6000,5.6000,5.6000,0
1430228707,5.5700,5.5800,5.5700,5.5800,200
1430229194,5.5500,5.5500,5.5500,5.5500,200
1430229599,5.5300,5.5500,5.5300,5.5500,500
1430229892,5.5300,5.5400,5.5300,5.5300,5500
1430230154,5.5300,5.5300,5.5300,5.5300,500
1430230400,5.5200,5.5200,5.5200,5.5200,100
1430231977,5.4600,5.4910,5.4600,5.4910,4700
1430232715,5.4499,5.4499,5.4499,5.4499,100
1430232928,5.4000,5.4000,5.4000,5.4000,1000
1430233435,5.3360,5.3600,5.3360,5.3600,2300
1430233798,5.3250,5.3600,5.3250,5.3500,2200
1430234383,5.2099,5.3210,5.2000,5.3210,7400
1430234682,5.2784,5.2784,5.2784,5.2784,200
1430236167,5.2600,5.2600,5.2565,5.2565,800
1430236257,5.2640,5.2700,5.2550,5.2700,2000
1430239930,5.2696,5.2696,5.2301,5.2301,1000
1430240796,5.2800,5.2800,5.2700,5.2700,3100
1430242574,5.2501,5.2501,5.2501,5.2501,200
1430245412,5.2735,5.2735,5.2735,5.2735,200
1430246958,5.2900,5.3000,5.2700,5.2900,1200
1430247189,5.2900,5.2900,5.2900,5.2900,100
1430247367,5.3000,5.3000,5.3000,5.3000,400
1430247899,5.3585,5.4200,5.3180,5.3180,5000
1430248038,5.3949,5.3949,5.3949,5.3949,100
1430248703,5.4000,5.4000,5.4000,5.4000,100
1430249050,5.3950,5.4100,5.3800,5.4091,1600
1430249980,5.3700,5.3700,5.3700,5.3700,200
1430250881,5.3701,5.3850,5.3700,5.3700,300
1430251140,5.4200,5.4200,5.3900,5.3900,800
1430315016,5.2600,5.4400,5.2600,5.4300,0
1430315287,5.2200,5.2600,5.2200,5.2600,2100
1430315630,5.3000,5.3000,5.2698,5.2698,1800
1430315981,5.3000,5.3000,5.2800,5.2800,1400
1430316179,5.2860,5.2860,5.2700,5.2700,600
1430318253,5.2500,5.2500,5.2500,5.2500,300
1430319273,5.2500,5.2500,5.2500,5.2500,200
1430320281,5.2600,5.2600,5.2600,5.2600,100
1430321562,5.2000,5.2500,5.2000,5.2500,3400
1430321899,5.1900,5.2000,5.1900,5.2000,2500
1430323946,5.1500,5.1500,5.1500,5.1500,600
1430324654,5.1190,5.1190,5.1190,5.1190,100
1430325272,5.1300,5.1300,5.1200,5.1200,200
1430326035,5.1599,5.1599,5.1599,5.1599,2500
1430326538,5.1500,5.1500,5.1500,5.1500,300
