uri:/instrument/1.0/NTRSP/chartdata;type=quote;range=500d/csv
ticker:ntrsp
Company-Name:Northern Trust Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:25.5000
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:25.0400,25.8600
high:25.0800,25.8600
low:25.0400,25.8600
open:25.0800,25.8600
volume:0,12400
1429882642,25.7901,25.8500,25.7901,25.8500,3100
1429883061,25.8100,25.8400,25.8100,25.8400,400
1429883795,25.8100,25.8100,25.8100,25.8100,300
1429885729,25.8100,25.8100,25.7900,25.7900,700
1429892538,25.8099,25.8099,25.8099,25.8099,100
1429893915,25.8100,25.8100,25.8100,25.8100,200
1429897229,25.7810,25.7810,25.7800,25.7800,200
1429897903,25.7896,25.7896,25.7896,25.7896,200
1429899448,25.8365,25.8365,25.8365,25.8365,400
1429899786,25.8400,25.8400,25.8400,25.8400,700
1429900706,25.8288,25.8288,25.8288,25.8288,700
1429902122,25.7700,25.7701,25.7700,25.7701,2000
1429904052,25.7600,25.7748,25.7600,25.7600,1100
1429905088,25.7800,25.7800,25.7800,25.7800,100
1430142145,25.8500,25.8500,25.8500,25.8500,0
1430142400,25.8500,25.8500,25.8500,25.8500,200
1430143706,25.8500,25.8500,25.8500,25.8500,100
1430146254,25.7807,25.7807,25.7807,25.7807,1000
1430147461,25.8394,25.8394,25.8394,25.8394,400
1430148517,25.7806,25.7806,25.7806,25.7806,1000
1430148868,25.8500,25.8500,25.8400,25.8400,3100
1430149118,25.8600,25.8600,25.8500,25.8500,1000
1430152170,25.8567,25.8567,25.8567,25.8567,200
1430153634,25.7991,25.7991,25.7800,25.7912,1000
1430156392,25.8150,25.8500,25.8150,25.8500,1100
1430159557,25.8000,25.8000,25.8000,25.8000,300
1430160490,25.8400,25.8400,25.8300,25.8300,300
1430160968,25.8600,25.8600,25.8400,25.8400,1000
1430161296,25.8550,25.8600,25.8550,25.8600,800
1430161953,25.8186,25.8200,25.8100,25.8100,4000
1430162969,25.8404,25.8404,25.8404,25.8404,500
1430163911,25.8370,25.8370,25.8370,25.8370,900
1430164325,25.8388,25.8388,25.8388,25.8388,400
1430164730,25.8500,25.8500,25.8500,25.8500,100
1430229945,25.7600,25.7610,25.7600,25.7610,0
1430230855,25.7900,25.7900,25.7897,25.7900,700
1430231312,25.7758,25.7758,25.7758,25.7758,1000
1430232274,25.7600,25.7600,25.7600,25.7600,1600
1430234347,25.8100,25.8600,25.8100,25.8500,1300
1430235542,25.8101,25.8101,25.8101,25.8101,1000
1430236357,25.8110,25.8110,25.8110,25.8110,100
1430238486,25.8499,25.8504,25.8499,25.8504,2000
1430239924,25.8599,25.8599,25.8599,25.8599,1000
1430241310,25.8200,25.8200,25.8200,25.8200,100
1430242371,25.8600,25.8600,25.8600,25.8600,100
1430242748,25.8600,25.8600,25.8600,25.8600,200
1430243690,25.8000,25.8000,25.8000,25.8000,500
1430244502,25.8336,25.8336,25.8336,25.8336,1100
1430245179,25.8000,25.8000,25.8000,25.8000,400
1430245274,25.8000,25.8030,25.8000,25.8000,2000
1430246822,25.7600,25.7600,25.7600,25.7600,700
1430247272,25.7852,25.7852,25.7584,25.7584,1800
1430247723,25.7900,25.7900,25.7852,25.7852,200
1430248180,25.7900,25.7900,25.7900,25.7900,200
1430248399,25.7900,25.7900,25.7500,25.7500,1100
1430248612,25.7900,25.7900,25.7900,25.7900,100
1430249019,25.7900,25.7900,25.7899,25.7900,400
1430249281,25.7500,25.7900,25.7500,25.7900,1100
1430249658,25.7795,25.7900,25.7795,25.7900,1000
1430249975,25.7583,25.7900,25.7583,25.7900,700
1430250282,25.7800,25.7800,25.7800,25.7800,300
1430250574,25.7900,25.7900,25.7800,25.7800,300
1430250659,25.7900,25.7900,25.7900,25.7900,300
1430251152,25.7900,25.7900,25.7900,25.7900,700
1430314590,25.8000,25.8000,25.8000,25.8000,0
1430315394,25.8000,25.8000,25.8000,25.8000,500
1430315568,25.7500,25.7850,25.7500,25.7500,6800
1430316372,25.7900,25.8000,25.7900,25.8000,1200
1430317120,25.7799,25.7799,25.7799,25.7799,800
1430317352,25.7800,25.7800,25.7704,25.7704,1000
1430318131,25.7301,25.7301,25.7300,25.7300,400
1430318475,25.7600,25.7600,25.7600,25.7600,500
1430318984,25.7700,25.7700,25.7700,25.7700,1800
1430320269,25.7700,25.7700,25.7700,25.7700,100
1430321622,25.7700,25.7700,25.7700,25.7700,100
1430322557,25.7660,25.7660,25.7660,25.7660,400
1430323154,25.7700,25.7700,25.7700,25.7700,100
1430323406,25.7700,25.7700,25.7500,25.7500,2500
1430324846,25.7700,25.7700,25.7700,25.7700,400
1430325077,25.7700,25.7700,25.7301,25.7301,1100
1430325584,25.7700,25.7700,25.7700,25.7700,100
1430326188,25.7800,25.7800,25.7700,25.7700,900
1430326304,25.7800,25.7800,25.7800,25.7800,600
1430326716,25.7800,25.7800,25.7800,25.7800,100
1430326962,25.7800,25.7800,25.7800,25.7800,500
1430328566,25.7800,25.7800,25.7800,25.7800,300
1430330278,25.7800,25.7800,25.7800,25.7800,100
1430330949,25.7700,25.7700,25.7700,25.7700,1000
1430331244,25.7700,25.7700,25.7700,25.7700,100
1430331809,25.7400,25.7400,25.7400,25.7400,1400
1430332921,25.7700,25.7700,25.7700,25.7700,800
1430333904,25.7300,25.7300,25.7300,25.7300,700
1430334034,25.7300,25.7300,25.7300,25.7300,1000
1430334573,25.7570,25.7570,25.7570,25.7570,500
1430334788,25.7550,25.7550,25.7550,25.7550,300
1430335550,25.7600,25.7600,25.7600,25.7600,400
1430336188,25.7599,25.7599,25.7599,25.7599,2100
1430337239,25.7599,25.7599,25.7599,25.7599,700
1430337600,25.6900,25.6900,25.6900,25.6900,400
1430401138,25.7700,25.7700,25.7699,25.7700,0
1430401227,25.7700,25.7700,25.7700,25.7700,100
1430401747,25.7700,25.7700,25.7700,25.7700,100
1430402022,25.7600,25.7600,25.7600,25.7600,100
1430402293,25.7600,25.7600,25.7350,25.7350,400
1430402899,25.7599,25.7599,25.7599,25.7599,300
1430403128,25.7600,25.7600,25.7600,25.7600,100
1430403891,25.7460,25.7500,25.7460,25.7500,800
1430404110,25.6300,25.7100,25.6300,25.7100,600
1430405805,25.7500,25.7500,25.7356,25.7356,900
1430409816,25.7200,25.7230,25.7200,25.7230,1100
1430410055,25.7120,25.7120,25.7100,25.7100,800
1430410467,25.7173,25.7173,25.7173,25.7173,200
1430411421,25.6999,25.7000,25.6999,25.7000,3700
1430413770,25.6800,25.6800,25.6800,25.6800,100
1430414861,25.6999,25.6999,25.6999,25.6999,500
1430417309,25.7000,25.7000,25.7000,25.7000,500
1430418674,25.6999,25.6999,25.6999,25.6999,1600
1430420395,25.6834,25.6900,25.6834,25.6900,1000
1430420421,25.6500,25.6500,25.6500,25.6500,100
1430422085,25.6500,25.6701,25.6500,25.6701,2200
1430422334,25.6600,25.6600,25.5700,25.5700,3100
1430422773,25.6744,25.6899,25.6744,25.6836,500
1430422861,25.6936,25.6936,25.6936,25.6936,100
1430423215,25.6765,25.6765,25.6765,25.6765,900
1430423622,25.6852,25.6852,25.6852,25.6852,300
1430423946,25.7100,25.7400,25.7000,25.7000,10200
1430424000,25.7000,25.7000,25.7000,25.7000,200
1430487785,25.7100,25.7500,25.6900,25.6900,0
1430488069,25.7500,25.7500,25.7500,25.7500,100
1430488237,25.7300,25.7450,25.7300,25.7450,200
1430488595,25.7300,25.7360,25.7300,25.7360,2000
1430490858,25.7500,25.7500,25.7500,25.7500,300
1430495380,25.7500,25.7500,25.7100,25.7350,800
1430495592,25.7000,25.7150,25.7000,25.7100,2100
1430495908,25.7270,25.7270,25.7270,25.7270,100
1430498732,25.7200,25.7200,25.7100,25.7100,1000
1430499549,25.7100,25.7100,25.7100,25.7100,100
1430500237,25.6900,25.6900,25.6900,25.6900,600
1430504646,25.6900,25.6900,25.6900,25.6900,200
1430506411,25.6728,25.6728,25.6728,25.6728,200
1430507532,25.6900,25.6900,25.6900,25.6900,2000
1430509719,25.6900,25.6900,25.6900,25.6900,400
1430510314,25.5400,25.5400,25.5400,25.5400,100
1430746200,25.6500,25.6500,25.6500,25.6500,0
1430747401,25.7400,25.7400,25.7400,25.7400,200
1430750763,25.7500,25.7500,25.7300,25.7400,1700
1430753305,25.7100,25.7100,25.7100,25.7100,100
1430756933,25.7500,25.7500,25.7500,25.7500,1100
1430758083,25.7350,25.7350,25.7350,25.7350,700
1430761670,25.7500,25.7500,25.7500,25.7500,2000
1430761911,25.7244,25.7244,25.7244,25.7244,500
1430762398,25.7499,25.7500,25.7499,25.7500,600
1430763586,25.7400,25.7400,25.7110,25.7110,200
1430763721,25.7400,25.7400,25.7400,25.7400,100
1430764213,25.7200,25.7400,25.7200,25.7400,2700
1430764605,25.7490,25.7490,25.7490,25.7490,1000
1430766131,25.7200,25.7500,25.7200,25.7500,800
