uri:/instrument/1.0/NWBO/chartdata;type=quote;range=1d/csv
ticker:nwbo
Company-Name:Northwest Biotherapeutics, Inc.
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:7.5000
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:7.4000,7.6200
high:7.4000,7.6500
low:7.4000,7.6200
open:7.4000,7.6400
volume:100,15500
1431437414,7.6000,7.6000,7.6000,7.6000,5000
1431437573,7.5300,7.6500,7.5300,7.6400,3900
1431437580,7.5200,7.5200,7.5200,7.5200,300
1431437673,7.5000,7.5000,7.5000,7.5000,100
1431437706,7.5000,7.5000,7.5000,7.5000,100
1431437770,7.5000,7.5400,7.5000,7.5400,1700
1431437855,7.5300,7.5300,7.5300,7.5300,200
1431437943,7.5500,7.5500,7.5500,7.5500,100
1431438168,7.5150,7.5200,7.5150,7.5200,500
1431438224,7.5100,7.5100,7.5100,7.5100,1000
1431438283,7.4500,7.5100,7.4500,7.5100,5900
1431438320,7.4500,7.4500,7.4500,7.4500,600
1431438378,7.4400,7.4527,7.4400,7.4500,2600
1431438446,7.4490,7.4500,7.4490,7.4499,2000
1431438498,7.4500,7.4500,7.4500,7.4500,100
1431438577,7.4900,7.4900,7.4600,7.4600,500
1431438619,7.4900,7.4900,7.4900,7.4900,400
1431438693,7.4500,7.4900,7.4500,7.4800,2000
1431438775,7.4600,7.4833,7.4600,7.4833,1200
1431438899,7.4200,7.4500,7.4200,7.4500,1600
1431438950,7.4500,7.4500,7.4400,7.4400,400
1431438963,7.4400,7.4400,7.4300,7.4300,400
1431439115,7.4300,7.4301,7.4300,7.4300,1400
1431439198,7.4448,7.4500,7.4300,7.4300,1900
1431439250,7.4200,7.4300,7.4200,7.4300,500
1431439284,7.4200,7.4200,7.4200,7.4200,800
1431439345,7.4200,7.4200,7.4200,7.4200,100
1431439426,7.4200,7.4200,7.4200,7.4200,100
1431439490,7.4499,7.4499,7.4499,7.4499,1500
1431439557,7.4600,7.4600,7.4500,7.4500,1700
1431439610,7.4500,7.4500,7.4500,7.4500,900
1431439664,7.4534,7.4568,7.4406,7.4500,2800
1431439736,7.4593,7.4600,7.4500,7.4500,2300
1431439797,7.4700,7.4700,7.4700,7.4700,500
1431439849,7.4901,7.4901,7.4600,7.4700,1000
1431439992,7.4600,7.4700,7.4600,7.4700,2900
1431440262,7.4300,7.4300,7.4300,7.4300,600
1431440316,7.4200,7.4300,7.4200,7.4300,3000
1431440347,7.4100,7.4299,7.4100,7.4200,11900
1431440457,7.4000,7.4100,7.4000,7.4100,800
1431440496,7.4100,7.4100,7.4100,7.4100,900
1431440623,7.4000,7.4068,7.4000,7.4068,1400
1431440706,7.4000,7.4000,7.4000,7.4000,100
1431440871,7.4101,7.4101,7.4050,7.4100,1700
1431440914,7.4101,7.4101,7.4100,7.4100,2100
1431440991,7.4100,7.4200,7.4100,7.4200,800
1431441148,7.4300,7.4300,7.4200,7.4200,700
1431441200,7.4300,7.4300,7.4300,7.4300,100
1431441268,7.4400,7.4400,7.4350,7.4400,900
1431441325,7.4800,7.4800,7.4500,7.4500,2000
1431441379,7.4800,7.4800,7.4800,7.4800,100
1431441462,7.4799,7.4800,7.4700,7.4700,400
1431441536,7.4999,7.5000,7.4701,7.4800,7100
1431441555,7.4854,7.4854,7.4800,7.4800,400
1431441655,7.5160,7.5160,7.5000,7.5000,1600
1431441713,7.5250,7.5250,7.5250,7.5250,100
1431441778,7.5200,7.5300,7.5200,7.5300,200
1431441819,7.5166,7.5300,7.5101,7.5200,6300
1431441952,7.5301,7.5500,7.5100,7.5100,2600
1431441978,7.5300,7.5300,7.5300,7.5300,200
1431442082,7.5200,7.5200,7.5200,7.5200,100
1431442161,7.5100,7.5200,7.5100,7.5200,300
1431442278,7.5250,7.5250,7.5250,7.5250,400
1431442401,7.5200,7.5200,7.5200,7.5200,800
1431442487,7.5200,7.5200,7.5200,7.5200,500
1431442525,7.5000,7.5200,7.5000,7.5200,1200
1431442615,7.5100,7.5100,7.5100,7.5100,600
1431442627,7.5000,7.5000,7.5000,7.5000,100
1431442695,7.4800,7.5000,7.4800,7.5000,400
1431442804,7.4800,7.4800,7.4800,7.4800,500
1431442962,7.4901,7.5000,7.4900,7.4900,1000
1431442999,7.4900,7.5000,7.4900,7.5000,200
1431443055,7.5000,7.5000,7.5000,7.5000,200
1431443183,7.5199,7.5199,7.5100,7.5100,900
1431443266,7.5300,7.5300,7.5150,7.5200,4600
1431443306,7.5000,7.5100,7.5000,7.5100,900
1431443342,7.5100,7.5100,7.5100,7.5100,200
1431443483,7.5100,7.5100,7.5000,7.5000,1400
1431443696,7.5100,7.5100,7.5100,7.5100,100
1431443737,7.5294,7.5294,7.5200,7.5200,1300
1431443800,7.6100,7.6100,7.5300,7.5300,8900
1431443826,7.6200,7.6200,7.6200,7.6200,500
1431443926,7.6100,7.6100,7.6000,7.6100,4600
1431444058,7.6200,7.6200,7.6000,7.6000,1300
1431444128,7.6000,7.6142,7.6000,7.6142,2700
1431444333,7.6200,7.6500,7.6180,7.6200,3500
1431444371,7.6200,7.6201,7.6200,7.6201,1100
1431444441,7.6000,7.6100,7.6000,7.6100,1500
1431444496,7.6200,7.6200,7.6200,7.6200,600
1431444541,7.6200,7.6200,7.6200,7.6200,100
1431444605,7.6100,7.6100,7.6100,7.6100,600
1431444757,7.6000,7.6000,7.6000,7.6000,900
1431444843,7.6099,7.6099,7.6099,7.6099,1000
1431444904,7.6000,7.6000,7.6000,7.6000,100
1431444991,7.6090,7.6090,7.6090,7.6090,1800
1431445055,7.6000,7.6100,7.6000,7.6100,800
1431445138,7.6000,7.6000,7.6000,7.6000,100
1431445174,7.6000,7.6000,7.6000,7.6000,100
1431445245,7.6000,7.6000,7.6000,7.6000,400
1431445313,7.6000,7.6000,7.6000,7.6000,1200
1431445379,7.6000,7.6000,7.6000,7.6000,15500
1431445420,7.5800,7.6000,7.5800,7.6000,7700
1431445463,7.5700,7.5700,7.5600,7.5700,1200
1431445543,7.5700,7.5700,7.5600,7.5700,1600
1431445612,7.5700,7.5700,7.5700,7.5700,900
1431445656,7.5900,7.5900,7.5800,7.5800,800
1431445803,7.5900,7.5900,7.5900,7.5900,200
1431445889,7.5700,7.5700,7.5700,7.5700,100
1431446188,7.5800,7.5800,7.5800,7.5800,200
1431446262,7.6100,7.6100,7.5900,7.5900,1800
1431446311,7.6200,7.6200,7.6200,7.6200,500
1431446396,7.6150,7.6200,7.6150,7.6200,200
1431446422,7.6200,7.6200,7.6200,7.6200,100
1431446479,7.6100,7.6113,7.6100,7.6113,1500
1431446574,7.6200,7.6200,7.6150,7.6200,1500
1431446588,7.6200,7.6200,7.6200,7.6200,200
1431446785,7.6200,7.6200,7.6200,7.6200,500
1431446979,7.5700,7.6100,7.5700,7.6100,3000
1431447058,7.5200,7.5500,7.5200,7.5500,600
1431447107,7.5500,7.5500,7.5200,7.5300,1400
1431447169,7.5500,7.5500,7.5300,7.5300,1800
1431447268,7.5400,7.5400,7.5400,7.5400,100
1431447334,7.5400,7.5400,7.5400,7.5400,300
1431447458,7.5500,7.5500,7.5500,7.5500,1000
1431447552,7.5500,7.5500,7.5500,7.5500,200
1431447653,7.5400,7.5400,7.5400,7.5400,100
1431447706,7.5400,7.5400,7.5400,7.5400,200
1431447983,7.5500,7.5500,7.5500,7.5500,200
1431448130,7.5500,7.5600,7.5500,7.5600,200
1431448185,7.5500,7.5500,7.5500,7.5500,200
1431448227,7.5400,7.5500,7.5400,7.5500,1800
1431448310,7.5299,7.5299,7.5299,7.5299,1100
1431448377,7.5299,7.5299,7.5100,7.5100,800
1431448432,7.5100,7.5100,7.5100,7.5100,400
1431448449,7.5100,7.5100,7.5100,7.5100,100
1431448542,7.5140,7.5140,7.5100,7.5100,700
1431448612,7.5200,7.5200,7.5100,7.5100,600
1431448652,7.5300,7.5300,7.5100,7.5200,1000
1431448929,7.5300,7.5300,7.5300,7.5300,100
1431448992,7.5454,7.5454,7.5454,7.5454,300
1431449098,7.5300,7.5300,7.5300,7.5300,500
1431449156,7.5400,7.5400,7.5300,7.5300,200
1431449210,7.5300,7.5300,7.5300,7.5300,100
1431449250,7.5300,7.5300,7.5300,7.5300,100
1431449339,7.5300,7.5300,7.5300,7.5300,200
1431449362,7.5300,7.5300,7.5300,7.5300,100
1431449419,7.5300,7.5300,7.5300,7.5300,400
1431449497,7.5240,7.5300,7.5240,7.5300,900
1431449539,7.5200,7.5300,7.5200,7.5200,900
1431449597,7.5300,7.5300,7.5300,7.5300,400
1431449655,7.5400,7.5400,7.5400,7.5400,1200
1431449759,7.5500,7.5500,7.5500,7.5500,400
1431449831,7.5700,7.5700,7.5700,7.5700,100
1431449938,7.5700,7.5700,7.5600,7.5600,400
1431449988,7.5600,7.5700,7.5600,7.5700,500
1431450050,7.5700,7.5700,7.5700,7.5700,200
1431450293,7.5900,7.5900,7.5900,7.5900,1400
1431450446,7.5800,7.5800,7.5800,7.5800,300
1431450521,7.5700,7.5700,7.5700,7.5700,100
1431450552,7.5700,7.5700,7.5700,7.5700,100
1431450652,7.5800,7.5800,7.5800,7.5800,1000
1431450758,7.5850,7.5850,7.5850,7.5850,200
1431450830,7.5900,7.5900,7.5850,7.5900,400
1431450899,7.6000,7.6000,7.5900,7.5900,1000
1431450930,7.5800,7.6100,7.5800,7.6000,1800
1431451002,7.5700,7.5800,7.5700,7.5800,600
1431451138,7.5800,7.5800,7.5700,7.5700,200
1431451156,7.5300,7.5700,7.5300,7.5700,600
1431451244,7.5500,7.5500,7.5400,7.5400,900
1431451478,7.5500,7.5500,7.5500,7.5500,100
1431451527,7.5599,7.5599,7.5599,7.5599,800
1431451563,7.5500,7.5500,7.5500,7.5500,200
1431451680,7.5500,7.5500,7.5500,7.5500,100
1431451945,7.5600,7.5600,7.5500,7.5500,1000
1431452216,7.5500,7.5500,7.5500,7.5500,100
1431452270,7.5600,7.5600,7.5500,7.5500,300
1431452369,7.5500,7.5500,7.5500,7.5500,300
1431452436,7.5600,7.5600,7.5600,7.5600,100
1431452479,7.5600,7.5600,7.5600,7.5600,100
1431452583,7.5583,7.5583,7.5583,7.5583,100
1431452697,7.5600,7.5600,7.5600,7.5600,100
1431452724,7.5500,7.5530,7.5500,7.5500,700
1431452818,7.5500,7.5700,7.5500,7.5600,3400
1431452864,7.5500,7.5500,7.5500,7.5500,200
1431452921,7.5400,7.5500,7.5400,7.5500,200
1431452944,7.5300,7.5300,7.5300,7.5300,100
1431453052,7.5200,7.5410,7.5200,7.5400,1300
1431453097,7.5200,7.5200,7.5200,7.5200,800
1431453312,7.5250,7.5300,7.5250,7.5300,600
1431453363,7.5300,7.5300,7.5300,7.5300,500
1431453475,7.5200,7.5300,7.5200,7.5300,300
1431453524,7.5300,7.5300,7.5300,7.5300,100
1431453559,7.5200,7.5200,7.5200,7.5200,200
1431453612,7.5300,7.5300,7.5300,7.5300,400
1431453750,7.5400,7.5400,7.5400,7.5400,200
1431453810,7.5410,7.5410,7.5410,7.5410,400
1431453966,7.5300,7.5300,7.5300,7.5300,100
1431454106,7.5410,7.5700,7.5400,7.5400,10000
1431454395,7.5700,7.5700,7.5700,7.5700,300
1431454497,7.5600,7.5600,7.5600,7.5600,100
1431454530,7.5600,7.5699,7.5600,7.5699,200
1431454615,7.5400,7.5600,7.5400,7.5600,2000
1431454643,7.5300,7.5300,7.5300,7.5300,200
1431454696,7.5504,7.5504,7.5504,7.5504,200
1431454776,7.5300,7.5465,7.5300,7.5465,2100
1431454833,7.5400,7.5400,7.5400,7.5400,100
1431454972,7.5300,7.5400,7.5300,7.5400,500
1431455016,7.5400,7.5400,7.5400,7.5400,300
1431455051,7.5400,7.5400,7.5400,7.5400,800
1431455124,7.5300,7.5300,7.5300,7.5300,200
1431455162,7.5300,7.5300,7.5300,7.5300,100
1431455367,7.5300,7.5300,7.5300,7.5300,100
1431455599,7.5300,7.5300,7.5300,7.5300,300
1431455644,7.5300,7.5300,7.5300,7.5300,200
1431455758,7.5300,7.5300,7.5300,7.5300,200
1431455814,7.5200,7.5300,7.5200,7.5300,1500
1431455853,7.5100,7.5200,7.5000,7.5200,7600
1431455907,7.5000,7.5000,7.5000,7.5000,300
1431455964,7.5200,7.5200,7.5100,7.5100,700
1431456024,7.5100,7.5100,7.5100,7.5100,100
1431456217,7.5100,7.5100,7.5100,7.5100,500
1431456354,7.5100,7.5200,7.5100,7.5200,200
1431456476,7.4900,7.5200,7.4900,7.5200,2900
1431456599,7.4900,7.5000,7.4900,7.4900,1600
1431456653,7.4900,7.4900,7.4900,7.4900,100
1431456703,7.4900,7.4900,7.4800,7.4900,1600
1431456721,7.4800,7.4800,7.4800,7.4800,100
1431456828,7.4800,7.4800,7.4700,7.4700,600
1431456885,7.4680,7.4700,7.4680,7.4700,300
1431456954,7.4700,7.4700,7.4600,7.4600,1000
1431456963,7.4600,7.4600,7.4600,7.4600,100
1431457122,7.4600,7.4600,7.4600,7.4600,100
1431457159,7.4600,7.4600,7.4600,7.4600,300
1431457347,7.4600,7.4600,7.4600,7.4600,100
1431457381,7.4600,7.4600,7.4600,7.4600,100
