uri:/instrument/1.0/OHGI/chartdata;type=quote;range=1d/csv
ticker:ohgi
Company-Name:One Horizon Group, Inc.
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:1.0853
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:1.1400,2.9100
high:1.1400,2.9300
low:1.1400,2.8000
open:1.1400,2.9100
volume:100,124000
1431523800,1.1400,1.1400,1.1400,1.1400,2000
1431523903,1.4000,1.4000,1.2300,1.2300,7600
1431524037,1.3599,1.3599,1.3128,1.3128,1400
1431524042,1.3269,1.3600,1.3000,1.3000,6600
1431524146,1.4700,1.5700,1.2984,1.2984,19600
1431524216,1.7899,1.7900,1.5200,1.5900,56300
1431524277,1.7500,1.8900,1.7400,1.7700,48500
1431524280,1.8601,1.9699,1.7401,1.7500,41000
1431524399,1.8400,1.9800,1.8100,1.9400,33800
1431524459,1.8801,2.0000,1.8300,1.8300,26200
1431524515,2.0000,2.0000,1.8500,1.8800,36200
1431524576,2.1199,2.1200,1.9600,2.0454,37300
1431524638,2.2000,2.2150,2.0401,2.0401,43700
1431524699,2.4550,2.7000,2.1301,2.1804,89700
1431524757,2.4806,2.6000,2.3500,2.4500,77900
1431524819,2.4750,2.5390,2.4500,2.5000,42300
1431524878,2.2701,2.4999,2.2400,2.4928,55400
1431524939,2.4400,2.5000,2.2601,2.3000,57700
1431524997,2.4340,2.4800,2.3300,2.3800,18200
1431525059,2.5501,2.6000,2.3501,2.3501,45400
1431525118,2.6200,2.8000,2.5200,2.5600,96100
1431525178,2.5500,2.7100,2.5000,2.6800,78800
1431525238,2.7300,2.7700,2.5500,2.5600,62100
1431525299,2.7800,2.8600,2.6200,2.6500,68700
1431525358,2.7767,2.8800,2.6600,2.7800,72400
1431525419,2.6801,2.7600,2.6800,2.7300,40200
1431525478,2.6500,2.7350,2.6000,2.7001,29500
1431525533,2.6900,2.7300,2.6300,2.6500,48200
1431525540,2.6880,2.7500,2.6500,2.6600,75200
1431525657,2.5920,2.7300,2.5600,2.7000,36100
1431525718,2.5980,2.6500,2.5600,2.5900,27700
1431525779,2.6500,2.6500,2.5800,2.5800,17700
1431525836,2.5600,2.6800,2.5500,2.6500,40000
1431525897,2.5200,2.5800,2.5000,2.5500,33100
1431525959,2.4500,2.5200,2.4400,2.5200,53200
1431525960,2.4999,2.5000,2.4500,2.4600,25800
1431526069,2.4905,2.5400,2.4700,2.5000,41000
1431526139,2.4700,2.4900,2.4200,2.4900,44700
1431526198,2.5200,2.5200,2.4300,2.4680,20500
1431526259,2.5500,2.5500,2.4900,2.5200,26800
1431526319,2.5800,2.5800,2.4800,2.5500,26600
1431526320,2.7800,2.7900,2.6200,2.6400,123100
1431526439,2.8800,2.8800,2.7200,2.8150,124000
1431526497,2.8100,2.8800,2.7700,2.8800,87500
1431526557,2.8600,2.9200,2.8000,2.8001,114000
1431526619,2.7800,2.8600,2.7700,2.8600,57000
1431526678,2.7800,2.8000,2.7300,2.7800,40900
1431526733,2.7799,2.7799,2.6944,2.7700,52000
1431526799,2.7600,2.8000,2.7200,2.7400,22900
1431526805,2.9100,2.9300,2.7700,2.7800,63900
1431526919,2.8000,2.9100,2.8000,2.9100,25700
1431526969,2.8000,2.8500,2.7500,2.8000,30400
1431527035,2.8300,2.8300,2.7900,2.8100,25100
1431527098,2.7800,2.8500,2.7700,2.8400,63200
1431527157,2.7550,2.7700,2.7500,2.7700,32900
1431527219,2.7150,2.7600,2.7000,2.7600,30100
1431527221,2.7750,2.7800,2.7100,2.7100,24200
1431527337,2.6800,2.8500,2.6300,2.7701,124000
1431527397,2.6740,2.7400,2.6600,2.6900,35800
1431527449,2.6965,2.7300,2.6800,2.6900,17900
1431527519,2.7200,2.7500,2.7200,2.7200,13400
1431527579,2.6950,2.7200,2.6600,2.7000,13900
1431527626,2.7500,2.7500,2.6801,2.6950,11800
1431527699,2.8399,2.8400,2.7500,2.7600,22900
1431527757,2.8400,2.8400,2.7900,2.8130,28300
1431527765,2.7478,2.8100,2.7100,2.8100,24600
1431527873,2.7400,2.7400,2.7100,2.7300,8200
1431527933,2.7200,2.7500,2.6900,2.7100,10600
1431527994,2.7201,2.7791,2.7201,2.7300,12000
1431528015,2.7300,2.7500,2.7300,2.7500,10400
1431528062,2.6474,2.7210,2.6200,2.7200,55200
1431528177,2.6300,2.6900,2.6300,2.6400,31100
1431528238,2.6010,2.6300,2.6000,2.6200,48400
1431528299,2.5800,2.6000,2.5500,2.5950,60700
1431528304,2.6106,2.6288,2.5800,2.5950,8300
1431528419,2.6000,2.6300,2.5900,2.6200,12800
1431528479,2.5900,2.6000,2.5800,2.5900,6600
1431528480,2.6085,2.6200,2.5800,2.5900,5200
1431528599,2.6000,2.6100,2.5701,2.6100,10700
1431528638,2.6400,2.6500,2.6100,2.6100,33600
1431528719,2.6800,2.6899,2.6400,2.6400,12700
1431528779,2.6600,2.6900,2.6300,2.6900,10700
1431528831,2.6600,2.6600,2.6300,2.6600,12700
1431528899,2.5600,2.6800,2.5600,2.6600,21600
1431528958,2.5500,2.5900,2.5500,2.5700,19900
1431529019,2.6200,2.6200,2.5601,2.5601,12200
1431529072,2.5701,2.6200,2.5700,2.6200,7100
1431529131,2.5500,2.6000,2.5500,2.5900,9200
1431529196,2.5500,2.5600,2.5500,2.5500,16900
1431529253,2.5999,2.6000,2.5599,2.5599,10100
1431529261,2.5600,2.6100,2.5600,2.6100,9900
1431529365,2.6300,2.6300,2.5850,2.5850,2700
1431529456,2.6000,2.6201,2.6000,2.6201,2800
1431529512,2.5800,2.5900,2.5700,2.5900,2700
1431529615,2.6300,2.6300,2.5600,2.5800,17100
1431529669,2.5700,2.6200,2.5700,2.6200,2500
1431529709,2.5762,2.5762,2.5700,2.5700,2200
1431529795,2.5600,2.5800,2.5600,2.5800,4700
1431529810,2.5100,2.5605,2.4950,2.5600,52300
1431529865,2.5101,2.5400,2.5000,2.5300,6000
1431529930,2.5200,2.5300,2.5200,2.5200,4000
1431529985,2.5201,2.5500,2.5000,2.5100,11400
1431530058,2.4800,2.5200,2.4800,2.5200,14100
1431530159,2.4600,2.4900,2.4500,2.4850,38900
1431530219,2.4800,2.4800,2.4500,2.4600,28900
1431530279,2.4500,2.4750,2.4400,2.4700,59500
1431530337,2.4600,2.4600,2.4400,2.4500,23600
1431530398,2.4700,2.4700,2.4600,2.4600,14900
1431530458,2.3700,2.4700,2.3700,2.4700,24500
1431530518,2.3900,2.3900,2.3600,2.3700,27000
1431530578,2.3600,2.4000,2.3600,2.3900,8500
1431530586,2.3600,2.3700,2.3500,2.3700,15500
1431530699,2.3500,2.3700,2.3500,2.3601,9100
1431530754,2.3200,2.3500,2.3100,2.3400,23600
1431530819,2.2500,2.3180,2.2500,2.3100,54400
1431530878,2.2900,2.2900,2.2550,2.2550,30400
1431530922,2.3000,2.3300,2.2600,2.2700,36300
1431530942,2.3000,2.3200,2.2900,2.3000,5800
1431531009,2.3142,2.3200,2.2999,2.3000,8300
1431531117,2.3200,2.3300,2.3000,2.3200,12500
1431531179,2.3200,2.3500,2.3200,2.3200,6600
1431531237,2.4000,2.4000,2.3200,2.3200,16100
1431531295,2.3520,2.4000,2.3100,2.4000,24100
1431531342,2.3500,2.3700,2.3400,2.3700,4000
1431531406,2.3500,2.3500,2.3300,2.3500,5100
1431531472,2.3900,2.3900,2.3400,2.3500,8800
1431531539,2.3500,2.3900,2.3500,2.3900,2800
1431531557,2.3760,2.3760,2.3760,2.3760,1000
1431531604,2.3600,2.3800,2.3600,2.3700,2500
1431531717,2.3500,2.3600,2.3500,2.3599,5700
1431531765,2.3501,2.3599,2.3500,2.3500,1900
1431531898,2.2403,2.3600,2.2400,2.3600,24000
1431531922,2.2900,2.2900,2.2400,2.2750,9000
1431532019,2.2800,2.3200,2.2501,2.2600,5200
1431532076,2.3080,2.3200,2.2900,2.3200,4800
1431532089,2.3100,2.3100,2.3100,2.3100,100
1431532198,2.2899,2.3000,2.2500,2.2900,17600
1431532206,2.2900,2.3100,2.2800,2.2900,10200
1431532308,2.2800,2.2800,2.2800,2.2800,1200
1431532354,2.2601,2.2800,2.2600,2.2800,7800
1431532442,2.2900,2.2900,2.2700,2.2800,6500
1431532549,2.3299,2.3300,2.3000,2.3099,3900
1431532618,2.2999,2.3300,2.2801,2.3300,7400
1431532645,2.3300,2.3400,2.2999,2.2999,3500
1431532738,2.3400,2.3400,2.3300,2.3300,5200
1431532773,2.3201,2.3400,2.3200,2.3300,1900
1431532818,2.2900,2.3200,2.2900,2.3200,4600
1431532876,2.3100,2.3100,2.3000,2.3000,4500
1431532929,2.3000,2.3000,2.3000,2.3000,200
1431533008,2.3200,2.3200,2.3100,2.3100,1500
1431533094,2.3200,2.3200,2.3200,2.3200,500
1431533159,2.3700,2.3700,2.3100,2.3100,20000
1431533206,2.3000,2.3800,2.2600,2.3700,22600
1431533278,2.2800,2.3000,2.2800,2.2900,7800
1431533290,2.2800,2.2900,2.2800,2.2800,4700
1431533387,2.2700,2.2700,2.2700,2.2700,600
1431533435,2.2600,2.3199,2.2600,2.3199,7000
1431533461,2.2601,2.2601,2.2600,2.2600,500
1431533570,2.2600,2.2600,2.2600,2.2600,1000
1431533692,2.2900,2.2900,2.2700,2.2800,1600
1431533703,2.2790,2.3000,2.2760,2.2900,5200
1431533781,2.3050,2.3200,2.3050,2.3200,800
1431533820,2.3001,2.3199,2.3001,2.3199,500
1431533898,2.3200,2.3300,2.3050,2.3090,13400
1431533956,2.3201,2.3400,2.3201,2.3300,3900
1431534042,2.3000,2.3300,2.2800,2.3300,5100
1431534075,2.3250,2.3250,2.3100,2.3100,1800
1431534168,2.3101,2.3101,2.3101,2.3101,300
1431534236,2.2900,2.3100,2.2900,2.3100,3500
1431534252,2.2900,2.2900,2.2900,2.2900,4600
1431534358,2.3099,2.3099,2.3099,2.3099,300
1431534370,2.2900,2.2900,2.2800,2.2900,4600
1431534475,2.2600,2.2900,2.2600,2.2900,7800
1431534513,2.2600,2.2600,2.2500,2.2600,10300
1431534598,2.2700,2.2700,2.2599,2.2599,7200
1431534641,2.2700,2.2700,2.2600,2.2600,400
1431534697,2.2900,2.2900,2.2899,2.2899,1100
1431534747,2.2802,2.2802,2.2800,2.2800,800
1431534866,2.2900,2.2900,2.2900,2.2900,100
1431534959,2.3300,2.3500,2.3000,2.3000,15600
1431534962,2.3300,2.3500,2.3300,2.3500,2200
1431535030,2.3300,2.3300,2.3300,2.3300,200
1431535095,2.3300,2.3300,2.3300,2.3300,100
1431535196,2.3700,2.3700,2.3199,2.3300,26700
1431535255,2.3700,2.4000,2.3700,2.3700,21900
1431535318,2.3500,2.3700,2.3400,2.3600,1900
1431535379,2.4600,2.4800,2.3600,2.3600,27000
