uri:/instrument/1.0/ORLY/chartdata;type=quote;range=1d/csv
ticker:orly
Company-Name:O'Reilly Automotive, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:219.5800
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:218.8600,221.3800
high:218.8600,221.4300
low:218.8600,221.3800
open:218.8600,221.3800
volume:100,6900
1431610380,220.4900,220.4900,220.4900,220.4900,6900
1431610442,220.4800,220.4800,220.4800,220.4800,300
1431610514,220.0000,220.4800,219.9500,220.2100,2200
1431610603,220.1600,220.3500,219.9500,220.0100,1600
1431610669,220.3350,220.3350,220.1600,220.1600,200
1431610734,220.8974,220.8974,219.9700,219.9700,1700
1431610746,221.0400,221.0400,220.6700,220.6700,500
1431610812,220.8700,220.8700,220.5500,220.6600,1500
1431610897,220.6900,220.8700,220.1000,220.8500,1100
1431610923,220.4900,220.4900,220.0700,220.0700,600
1431610984,220.7300,220.7300,220.1200,220.1200,500
1431611098,220.4550,220.7150,220.2900,220.5000,900
1431611158,220.4400,220.4500,220.4400,220.4500,300
1431611167,220.2900,220.4700,220.2900,220.4400,300
1431611278,220.2200,220.4500,220.2100,220.2900,3100
1431611287,220.2600,220.2600,220.0500,220.2200,300
1431611397,220.0300,220.0400,220.0300,220.0400,300
1431611411,220.0100,220.2400,220.0100,220.2400,2900
1431611463,219.8000,219.8000,219.8000,219.8000,200
1431611556,219.6400,219.8600,219.6400,219.8600,300
1431611640,219.5400,219.8300,219.5000,219.8300,1300
1431611736,219.5100,219.5100,219.5100,219.5100,400
1431611766,219.2100,219.5100,219.2100,219.5100,1300
1431611872,218.9400,219.1300,218.9400,219.1300,200
1431611882,219.3700,219.3700,218.9300,218.9300,2700
1431611962,218.8800,219.1100,218.8800,219.1100,400
1431612002,218.8600,218.8600,218.8600,218.8600,300
1431612183,219.3000,219.3000,219.0600,219.0600,2200
1431612358,219.6100,219.6100,219.3852,219.3852,1100
1431612362,219.5700,219.7600,219.5700,219.7200,800
1431612485,219.8400,219.8400,219.7200,219.7800,1000
1431612542,220.0900,220.0900,220.0800,220.0800,800
1431612613,220.1301,220.3400,220.0900,220.0900,2000
1431612714,220.2290,220.2290,220.2290,220.2290,100
1431612720,220.1500,220.2200,220.1500,220.2200,1100
1431612811,220.2500,220.2500,220.2400,220.2400,1000
1431612854,220.2100,220.4000,220.1200,220.4000,1100
1431612902,220.1950,220.1950,220.1950,220.1950,100
1431612965,220.5100,220.6200,220.3200,220.3200,4400
1431613111,220.4850,220.4850,220.4850,220.4850,100
1431613165,220.3900,220.3900,220.3900,220.3900,200
1431613216,220.4700,220.4700,220.4300,220.4300,400
1431613311,220.4600,220.6200,220.4600,220.6100,900
1431613331,220.5500,220.5500,220.5300,220.5300,800
1431613417,220.5298,220.6950,220.4500,220.6300,2000
1431613456,220.5100,220.6200,220.5000,220.5900,1800
1431613562,220.5500,220.5500,220.4700,220.4700,900
1431613637,220.5200,220.5300,220.4904,220.4904,800
1431613736,220.5600,220.5600,220.5100,220.5100,600
1431613752,220.5725,220.7200,220.5725,220.7200,300
1431613835,220.5000,220.5000,220.4700,220.4700,300
1431613869,220.5600,220.5700,220.5600,220.5600,400
1431613939,220.5200,220.5700,220.5200,220.5700,500
1431613997,220.5300,220.5300,220.5300,220.5300,200
1431614043,220.5600,220.5600,220.5300,220.5300,1100
1431614172,220.8100,220.8100,220.7600,220.7600,700
1431614243,220.8000,220.8400,220.8000,220.8000,600
1431614326,220.6800,220.7000,220.6600,220.7000,500
1431614364,220.8000,220.8000,220.6900,220.6900,600
1431614428,220.5901,220.7000,220.5901,220.6600,600
1431614461,220.6700,220.6700,220.6000,220.6000,800
1431614520,220.5300,220.6650,220.5300,220.6300,900
1431614670,220.6700,220.6700,220.6700,220.6700,500
1431614754,220.6000,220.7400,220.6000,220.7200,1700
