uri:/instrument/1.0/PCH/chartdata;type=quote;range=1d/csv
ticker:pch
Company-Name:Potlatch Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:35.5100
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:35.1300,35.8500
high:35.1700,35.8500
low:35.1000,35.8350
open:35.1200,35.8350
volume:0,9900
1431437525,35.8500,35.8500,35.8350,35.8350,3900
1431437583,35.4800,35.7100,35.4800,35.7100,600
1431437673,35.6400,35.6400,35.6400,35.6400,100
1431437732,35.8000,35.8000,35.8000,35.8000,100
1431437846,35.5200,35.5400,35.5200,35.5400,200
1431438002,35.5400,35.5400,35.5400,35.5400,100
1431438116,35.5000,35.5000,35.5000,35.5000,300
1431438175,35.4400,35.5000,35.4400,35.4800,900
1431438210,35.4000,35.4000,35.4000,35.4000,100
1431438253,35.3400,35.3400,35.3400,35.3400,200
1431438337,35.2900,35.2900,35.2900,35.2900,100
1431438376,35.2800,35.2800,35.2800,35.2800,300
1431438436,35.3400,35.4300,35.3400,35.4300,600
1431438543,35.3500,35.3500,35.3500,35.3500,100
1431438628,35.3150,35.3600,35.3150,35.3600,1000
1431438673,35.4000,35.4300,35.3500,35.3500,1000
1431438762,35.4200,35.4800,35.4200,35.4700,800
1431438812,35.3150,35.3150,35.3150,35.3150,100
1431438849,35.3500,35.3500,35.2500,35.2500,200
1431438959,35.3300,35.3300,35.3300,35.3300,100
1431438967,35.2300,35.3500,35.2000,35.2800,2400
1431439074,35.2200,35.2200,35.2200,35.2200,100
1431439131,35.2300,35.2400,35.2300,35.2400,200
1431439222,35.3000,35.3000,35.1700,35.2400,1000
1431439305,35.2600,35.2600,35.2400,35.2400,1400
1431439371,35.2500,35.2600,35.2500,35.2600,300
1431439502,35.2700,35.3100,35.2700,35.3100,500
1431439604,35.2700,35.3500,35.2000,35.3500,2100
1431439674,35.3300,35.3300,35.2900,35.2900,500
1431440054,35.2300,35.2300,35.2300,35.2300,200
1431440101,35.3100,35.3100,35.3000,35.3000,300
1431440206,35.2950,35.3200,35.2950,35.3200,500
1431440272,35.2150,35.3400,35.2150,35.3200,1500
1431440302,35.2200,35.2660,35.2100,35.2660,300
1431440380,35.1700,35.2000,35.1700,35.2000,1300
1431440458,35.1300,35.2500,35.1300,35.1750,6200
1431440487,35.2700,35.2800,35.1000,35.1200,1300
1431440540,35.1700,35.1700,35.1700,35.1700,200
1431440581,35.2500,35.2500,35.2500,35.2500,100
1431440676,35.2800,35.2800,35.2800,35.2800,200
1431440781,35.3700,35.3800,35.3700,35.3800,300
1431440945,35.3000,35.3100,35.3000,35.3100,200
1431441085,35.2700,35.3300,35.2650,35.2650,800
1431441176,35.3200,35.3200,35.3200,35.3200,500
1431441236,35.2900,35.2900,35.2900,35.2900,100
1431441272,35.4200,35.4200,35.3800,35.3800,1000
1431441328,35.3900,35.4400,35.3900,35.4400,700
1431441387,35.3950,35.3950,35.3950,35.3950,100
1431441495,35.4700,35.4700,35.4050,35.4300,600
1431441838,35.5000,35.5000,35.5000,35.5000,200
1431441863,35.5550,35.5550,35.5463,35.5463,2100
1431441957,35.6350,35.6350,35.6100,35.6100,500
1431442131,35.6800,35.6800,35.6800,35.6800,100
1431442140,35.6000,35.6000,35.6000,35.6000,200
1431442316,35.6100,35.6100,35.6000,35.6000,500
1431442446,35.5500,35.5500,35.5500,35.5500,100
1431442614,35.6200,35.6200,35.5500,35.5500,200
1431442623,35.6150,35.6150,35.6100,35.6100,300
1431442739,35.5500,35.5500,35.5500,35.5500,100
1431442964,35.5500,35.5550,35.5500,35.5550,300
1431443000,35.5800,35.5800,35.5800,35.5800,100
1431443159,35.6500,35.6500,35.6000,35.6000,800
1431443169,35.5800,35.6200,35.5800,35.6200,400
1431443334,35.5700,35.6100,35.5700,35.6100,1000
1431443404,35.5600,35.5900,35.5600,35.5900,300
1431443516,35.5400,35.5400,35.5400,35.5400,100
1431443548,35.4950,35.5400,35.4900,35.5400,1100
1431443710,35.4600,35.5200,35.4600,35.4650,800
1431443763,35.4500,35.4500,35.4500,35.4500,100
