uri:/instrument/1.0/PLPM/chartdata;type=quote;range=1d/csv
ticker:plpm
Company-Name:Planet Payment, Inc.
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:2.5000
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:2.1947,2.5000
high:2.2900,2.5500
low:2.1800,2.5000
open:2.2299,2.5000
volume:100,127600
1431523854,2.4600,2.5500,2.4600,2.5000,127600
1431523918,2.4799,2.5000,2.4650,2.4700,100400
1431523976,2.4801,2.5000,2.4700,2.5000,46300
1431523980,2.3832,2.5000,2.3832,2.5000,73400
1431524044,2.1947,2.3700,2.1800,2.3700,67700
1431524158,2.2900,2.2900,2.2200,2.2299,27500
1431524219,2.3000,2.3000,2.2700,2.3000,23200
1431524272,2.3650,2.3900,2.3050,2.3050,24400
1431524339,2.3950,2.4000,2.3500,2.3600,25200
1431524396,2.3900,2.3915,2.3800,2.3900,13400
1431524443,2.3300,2.3800,2.3240,2.3800,5300
1431524502,2.3601,2.4000,2.3400,2.3400,13800
1431524571,2.3750,2.3825,2.3688,2.3825,2300
1431524581,2.4000,2.4000,2.3608,2.3608,10400
1431524699,2.3775,2.3899,2.3701,2.3899,3000
1431524757,2.3700,2.3800,2.3700,2.3800,2000
1431524788,2.3618,2.3700,2.3600,2.3700,6400
1431524860,2.3628,2.3782,2.3600,2.3600,8900
1431524936,2.3500,2.3601,2.3500,2.3600,17200
1431524997,2.3100,2.3330,2.3100,2.3330,2200
1431525059,2.2600,2.3001,2.2500,2.3001,17200
1431525116,2.2900,2.2900,2.2500,2.2500,9700
1431525120,2.3214,2.3399,2.2800,2.2800,3300
1431525197,2.3201,2.3201,2.3200,2.3200,700
1431525294,2.3500,2.3500,2.3368,2.3368,1000
1431525329,2.3668,2.3699,2.3499,2.3499,9100
1431525393,2.3588,2.3700,2.3500,2.3610,6900
1431525475,2.3720,2.3900,2.3630,2.3699,16900
1431525500,2.3799,2.3800,2.3700,2.3700,3900
1431525608,2.3700,2.3700,2.3700,2.3700,1400
1431525686,2.3630,2.3700,2.3600,2.3700,2500
1431525749,2.3600,2.3601,2.3600,2.3601,200
1431525829,2.3699,2.3700,2.3600,2.3700,1400
1431525876,2.3500,2.3600,2.3500,2.3600,2300
1431525948,2.3601,2.3700,2.3500,2.3500,5800
1431526073,2.3600,2.3699,2.3600,2.3699,400
1431526186,2.3800,2.3834,2.3700,2.3800,7700
1431526250,2.3999,2.4000,2.3900,2.3900,1500
1431526309,2.3925,2.4000,2.3925,2.4000,2400
1431526338,2.3999,2.4000,2.3988,2.3988,8900
1431526489,2.3916,2.4000,2.3916,2.3999,3200
1431526518,2.4000,2.4000,2.4000,2.4000,200
1431526565,2.3900,2.4000,2.3900,2.4000,9300
1431526678,2.4000,2.4100,2.4000,2.4000,16800
1431526736,2.4194,2.4300,2.4100,2.4100,11400
1431526787,2.4100,2.4199,2.4100,2.4101,2900
1431526909,2.4000,2.4199,2.4000,2.4100,8100
1431526973,2.3938,2.4100,2.3938,2.4000,29500
1431527012,2.3801,2.3900,2.3800,2.3900,7400
1431527079,2.3801,2.3801,2.3800,2.3800,1100
1431527154,2.3600,2.4000,2.3600,2.4000,3500
1431527160,2.3600,2.3799,2.3500,2.3700,5600
1431527239,2.3847,2.3847,2.3800,2.3800,500
1431527329,2.3900,2.3900,2.3900,2.3900,200
1431527384,2.3899,2.3899,2.3899,2.3899,1000
1431527553,2.3800,2.3800,2.3800,2.3800,100
1431527586,2.3800,2.3800,2.3800,2.3800,1000
1431527647,2.3601,2.3739,2.3601,2.3739,500
1431527724,2.3710,2.3750,2.3710,2.3750,200
1431527789,2.3799,2.3799,2.3799,2.3799,1000
1431527824,2.3701,2.3701,2.3701,2.3701,1000
1431527939,2.3795,2.3800,2.3795,2.3800,2400
