uri:/instrument/1.0/PSUN/chartdata;type=quote;range=1d/csv
ticker:psun
Company-Name:Pacific Sunwear of California, 
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:2.0500
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:2.0220,2.0600
high:2.0220,2.0800
low:2.0220,2.0600
open:2.0220,2.0600
volume:0,13000
1431437493,2.0220,2.0220,2.0220,2.0220,2900
1431437557,2.0400,2.0400,2.0400,2.0400,1000
1431437623,2.0350,2.0350,2.0300,2.0300,200
1431437792,2.0300,2.0500,2.0300,2.0300,900
1431437849,2.0400,2.0400,2.0350,2.0350,200
1431437927,2.0400,2.0400,2.0400,2.0400,400
1431438176,2.0400,2.0400,2.0400,2.0400,200
1431438260,2.0300,2.0300,2.0300,2.0300,12700
1431438400,2.0301,2.0301,2.0301,2.0301,200
1431438480,2.0350,2.0350,2.0350,2.0350,100
1431438561,2.0400,2.0400,2.0400,2.0400,200
1431438601,2.0400,2.0400,2.0400,2.0400,300
1431438706,2.0500,2.0500,2.0450,2.0500,400
1431438799,2.0400,2.0410,2.0400,2.0400,2800
1431438898,2.0500,2.0500,2.0500,2.0500,100
1431438957,2.0400,2.0400,2.0400,2.0400,100
1431439088,2.0300,2.0300,2.0300,2.0300,200
1431439544,2.0400,2.0400,2.0300,2.0300,2600
1431439618,2.0300,2.0300,2.0300,2.0300,300
1431439709,2.0400,2.0400,2.0400,2.0400,100
1431440098,2.0350,2.0350,2.0300,2.0300,300
1431440381,2.0400,2.0400,2.0400,2.0400,100
1431440450,2.0300,2.0300,2.0300,2.0300,100
1431440795,2.0300,2.0300,2.0300,2.0300,200
1431440910,2.0350,2.0350,2.0350,2.0350,100
1431440945,2.0300,2.0400,2.0300,2.0400,200
1431441303,2.0300,2.0300,2.0300,2.0300,200
1431441381,2.0350,2.0350,2.0350,2.0350,100
1431441545,2.0300,2.0400,2.0300,2.0400,400
1431441605,2.0400,2.0400,2.0400,2.0400,1100
1431441742,2.0400,2.0400,2.0400,2.0400,100
1431441908,2.0500,2.0500,2.0400,2.0400,800
1431442167,2.0500,2.0500,2.0500,2.0500,100
1431442295,2.0500,2.0500,2.0500,2.0500,100
1431442479,2.0600,2.0600,2.0550,2.0600,700
1431442594,2.0600,2.0600,2.0600,2.0600,100
1431442716,2.0400,2.0400,2.0400,2.0400,200
1431442764,2.0575,2.0575,2.0500,2.0500,200
1431442812,2.0600,2.0600,2.0600,2.0600,100
1431443074,2.0400,2.0400,2.0400,2.0400,100
1431443232,2.0600,2.0600,2.0600,2.0600,200
1431443382,2.0600,2.0600,2.0600,2.0600,100
1431443457,2.0600,2.0600,2.0600,2.0600,100
1431443532,2.0600,2.0600,2.0600,2.0600,200
1431443611,2.0600,2.0600,2.0600,2.0600,100
1431443670,2.0600,2.0600,2.0501,2.0501,1600
1431443898,2.0500,2.0500,2.0500,2.0500,1000
1431444153,2.0400,2.0400,2.0400,2.0400,100
1431444511,2.0300,2.0300,2.0300,2.0300,200
1431444732,2.0400,2.0400,2.0400,2.0400,100
1431444917,2.0500,2.0500,2.0400,2.0400,300
1431445092,2.0400,2.0400,2.0400,2.0400,100
1431445231,2.0300,2.0300,2.0300,2.0300,200
1431445320,2.0500,2.0500,2.0500,2.0500,400
1431445416,2.0300,2.0300,2.0300,2.0300,100
1431445498,2.0400,2.0400,2.0400,2.0400,100
1431445538,2.0400,2.0400,2.0400,2.0400,100
1431445615,2.0500,2.0500,2.0400,2.0400,500
1431445653,2.0350,2.0350,2.0350,2.0350,400
1431445800,2.0300,2.0300,2.0300,2.0300,100
1431445958,2.0300,2.0300,2.0300,2.0300,600
1431446021,2.0350,2.0350,2.0350,2.0350,100
1431446046,2.0400,2.0400,2.0300,2.0300,200
1431446192,2.0300,2.0300,2.0300,2.0300,100
1431446281,2.0400,2.0400,2.0400,2.0400,100
1431446452,2.0300,2.0300,2.0300,2.0300,300
1431446541,2.0300,2.0300,2.0300,2.0300,100
1431446632,2.0300,2.0400,2.0300,2.0345,5500
1431446674,2.0400,2.0400,2.0300,2.0350,6700
1431446723,2.0300,2.0300,2.0300,2.0300,100
1431446867,2.0500,2.0800,2.0350,2.0400,13000
1431446969,2.0500,2.0600,2.0500,2.0600,700
1431447284,2.0400,2.0500,2.0400,2.0500,200
1431447336,2.0500,2.0500,2.0300,2.0300,300
1431447569,2.0300,2.0300,2.0300,2.0300,100
1431447717,2.0500,2.0500,2.0300,2.0300,5500
1431447861,2.0300,2.0300,2.0300,2.0300,200
1431447935,2.0500,2.0500,2.0500,2.0500,100
1431448013,2.0300,2.0400,2.0300,2.0400,700
1431448056,2.0300,2.0499,2.0300,2.0499,300
1431448154,2.0300,2.0300,2.0300,2.0300,200
1431448301,2.0300,2.0300,2.0300,2.0300,200
1431448373,2.0400,2.0475,2.0400,2.0400,700
1431448447,2.0300,2.0300,2.0300,2.0300,100
1431448614,2.0300,2.0300,2.0300,2.0300,400
1431448707,2.0400,2.0400,2.0400,2.0400,300
1431448769,2.0300,2.0300,2.0300,2.0300,300
1431448898,2.0300,2.0300,2.0300,2.0300,300
1431449052,2.0300,2.0300,2.0300,2.0300,200
1431449125,2.0400,2.0400,2.0400,2.0400,100
1431449218,2.0300,2.0300,2.0300,2.0300,500
1431449290,2.0350,2.0350,2.0350,2.0350,100
1431449361,2.0300,2.0300,2.0300,2.0300,200
1431449513,2.0300,2.0300,2.0300,2.0300,400
1431449634,2.0500,2.0550,2.0400,2.0400,10600
1431449814,2.0500,2.0500,2.0500,2.0500,100
1431449867,2.0500,2.0500,2.0500,2.0500,300
1431449962,2.0500,2.0500,2.0500,2.0500,300
1431450050,2.0600,2.0600,2.0500,2.0500,200
1431450103,2.0550,2.0550,2.0500,2.0500,300
1431450151,2.0500,2.0500,2.0500,2.0500,100
1431450243,2.0500,2.0500,2.0500,2.0500,200
1431450374,2.0500,2.0500,2.0500,2.0500,200
1431450506,2.0500,2.0500,2.0500,2.0500,200
1431450584,2.0500,2.0504,2.0500,2.0504,2000
1431450630,2.0500,2.0500,2.0500,2.0500,300
1431450671,2.0500,2.0500,2.0500,2.0500,100
1431450754,2.0500,2.0500,2.0500,2.0500,200
1431450823,2.0500,2.0500,2.0500,2.0500,300
1431450897,2.0500,2.0500,2.0500,2.0500,400
1431450923,2.0550,2.0550,2.0500,2.0500,1100
1431451103,2.0500,2.0500,2.0500,2.0500,300
1431451200,2.0500,2.0500,2.0500,2.0500,100
1431451473,2.0500,2.0500,2.0500,2.0500,100
1431451500,2.0500,2.0500,2.0500,2.0500,100
1431451594,2.0500,2.0500,2.0500,2.0500,200
1431451800,2.0500,2.0500,2.0500,2.0500,400
1431451970,2.0510,2.0510,2.0510,2.0510,1100
1431452017,2.0500,2.0500,2.0500,2.0500,400
1431452098,2.0500,2.0500,2.0500,2.0500,300
1431452100,2.0500,2.0500,2.0500,2.0500,100
1431452308,2.0500,2.0500,2.0500,2.0500,100
1431452388,2.0525,2.0525,2.0500,2.0500,200
1431452585,2.0516,2.0516,2.0516,2.0516,1000
1431452700,2.0500,2.0500,2.0500,2.0500,100
1431452863,2.0500,2.0500,2.0500,2.0500,600
1431453033,2.0500,2.0500,2.0500,2.0500,200
1431453175,2.0500,2.0500,2.0500,2.0500,200
1431453352,2.0550,2.0550,2.0500,2.0500,600
1431453448,2.0567,2.0567,2.0500,2.0500,300
1431453633,2.0545,2.0545,2.0545,2.0545,200
1431453690,2.0500,2.0500,2.0500,2.0500,800
1431453761,2.0500,2.0500,2.0500,2.0500,200
1431453900,2.0500,2.0500,2.0500,2.0500,100
1431454028,2.0500,2.0500,2.0500,2.0500,100
1431454200,2.0500,2.0500,2.0500,2.0500,100
1431454328,2.0500,2.0560,2.0500,2.0560,1600
1431454409,2.0500,2.0500,2.0500,2.0500,200
1431454473,2.0500,2.0500,2.0500,2.0500,100
1431454518,2.0600,2.0600,2.0600,2.0600,100
1431454561,2.0500,2.0500,2.0500,2.0500,400
1431454690,2.0550,2.0550,2.0550,2.0550,200
1431454800,2.0500,2.0500,2.0500,2.0500,100
1431455134,2.0500,2.0500,2.0500,2.0500,100
1431455208,2.0600,2.0600,2.0600,2.0600,100
1431455400,2.0500,2.0500,2.0500,2.0500,100
1431455577,2.0500,2.0500,2.0500,2.0500,100
1431455664,2.0600,2.0600,2.0500,2.0500,500
1431455700,2.0500,2.0500,2.0500,2.0500,100
1431455789,2.0550,2.0600,2.0550,2.0565,1200
1431455854,2.0500,2.0500,2.0500,2.0500,100
1431455881,2.0570,2.0570,2.0570,2.0570,700
1431455991,2.0550,2.0550,2.0500,2.0500,300
1431456018,2.0600,2.0600,2.0600,2.0600,100
1431456289,2.0500,2.0500,2.0500,2.0500,200
1431456300,2.0500,2.0500,2.0500,2.0500,100
1431456470,2.0500,2.0500,2.0500,2.0500,300
1431456526,2.0500,2.0550,2.0500,2.0550,1000
1431456565,2.0500,2.0500,2.0500,2.0500,200
1431456603,2.0500,2.0500,2.0500,2.0500,100
1431456762,2.0550,2.0550,2.0500,2.0500,200
1431456839,2.0500,2.0600,2.0500,2.0500,10500
1431456846,2.0500,2.0500,2.0500,2.0500,500
1431456900,2.0500,2.0500,2.0500,2.0500,100
1431457014,2.0500,2.0500,2.0500,2.0500,300
1431457051,2.0500,2.0500,2.0500,2.0500,200
1431457166,2.0500,2.0500,2.0500,2.0500,100
1431457240,2.0500,2.0500,2.0500,2.0500,400
1431457313,2.0550,2.0550,2.0500,2.0500,500
1431457518,2.0500,2.0500,2.0500,2.0500,500
1431457626,2.0500,2.0500,2.0500,2.0500,200
1431457800,2.0500,2.0500,2.0500,2.0500,100
1431457954,2.0500,2.0500,2.0500,2.0500,200
1431458007,2.0550,2.0550,2.0550,2.0550,300
1431458100,2.0500,2.0500,2.0500,2.0500,200
1431458212,2.0500,2.0550,2.0500,2.0550,400
1431458279,2.0500,2.0500,2.0500,2.0500,200
1431458400,2.0500,2.0500,2.0500,2.0500,100
1431458463,2.0500,2.0500,2.0500,2.0500,300
1431458692,2.0500,2.0550,2.0500,2.0550,500
1431458700,2.0500,2.0500,2.0500,2.0500,100
1431458949,2.0500,2.0500,2.0500,2.0500,1600
1431459000,2.0500,2.0500,2.0500,2.0500,100
1431459111,2.0550,2.0550,2.0550,2.0550,100
1431459129,2.0500,2.0500,2.0500,2.0500,200
1431459268,2.0550,2.0550,2.0550,2.0550,100
