uri:/instrument/1.0/RENT/chartdata;type=quote;range=500d/csv
ticker:rent
Company-Name:Rentrak Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:61.7600
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:46.6500,63.9800
high:46.7300,64.7900
low:46.6400,63.6800
open:46.6400,64.7900
volume:0,73800
1429882231,49.8100,49.8100,49.8100,49.8100,3400
1429882779,50.1200,50.1200,49.9720,49.9720,5700
1429883024,50.0200,50.1100,50.0200,50.1000,1100
1429883360,49.9000,50.1200,49.9000,50.0600,4900
1429883674,49.8700,49.9800,49.8700,49.9400,1800
1429883992,49.8950,49.8950,49.8450,49.8450,5400
1429884284,49.9600,49.9700,49.9000,49.9400,500
1429884356,49.9640,49.9640,49.9300,49.9600,1300
1429884857,50.0200,50.0500,49.9300,50.0000,2400
1429885168,49.9200,50.0250,49.9065,50.0250,2800
1429885462,50.0400,50.0500,49.9200,49.9300,2200
1429885718,49.8995,50.0000,49.8850,49.9600,6400
1429885951,50.0300,50.0700,49.9400,49.9400,2300
1429886362,50.1800,50.2500,49.9800,49.9850,4900
1429886623,50.1400,50.1400,50.1000,50.1000,200
1429886923,50.2400,50.2400,50.0500,50.0500,4200
1429887169,50.3700,50.3900,50.2000,50.2500,2800
1429887420,50.3400,50.4300,50.3100,50.3600,2900
1429887898,50.3700,50.3700,50.3500,50.3500,200
