uri:/instrument/1.0/SIGM/chartdata;type=quote;range=1d/csv
ticker:sigm
Company-Name:Sigma Designs, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:8.8100
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:8.6200,8.9000
high:8.6200,8.9100
low:8.6100,8.8800
open:8.6100,8.8825
volume:100,15600
1431523817,8.7180,8.7180,8.7180,8.7180,4600
1431523898,8.7100,8.7900,8.7000,8.7500,5800
1431523929,8.7401,8.7401,8.7401,8.7401,300
1431523993,8.8000,8.8000,8.8000,8.8000,800
1431524092,8.9000,8.9100,8.8100,8.8250,10700
1431524106,8.8699,8.8800,8.8400,8.8400,500
1431524214,8.8150,8.8150,8.8150,8.8150,200
1431524246,8.8212,8.8212,8.8212,8.8212,1100
1431524300,8.8100,8.8200,8.8100,8.8200,2800
1431524385,8.7500,8.7800,8.7500,8.7800,1100
1431524445,8.7600,8.7700,8.7400,8.7500,4400
1431524471,8.7600,8.7600,8.7600,8.7600,100
1431524574,8.7484,8.7500,8.7484,8.7500,400
1431524598,8.7300,8.7400,8.7300,8.7400,200
1431524674,8.7800,8.7800,8.7266,8.7266,1100
1431524755,8.7700,8.7700,8.7700,8.7700,100
1431524818,8.7400,8.7400,8.7400,8.7400,100
1431524876,8.7500,8.7500,8.7500,8.7500,100
1431524881,8.7200,8.7400,8.7200,8.7400,1000
1431524995,8.7100,8.7100,8.7000,8.7000,300
1431525053,8.6600,8.7150,8.6600,8.7150,3900
1431525110,8.6200,8.6588,8.6150,8.6588,5400
1431525159,8.6200,8.6200,8.6100,8.6100,800
1431525237,8.6705,8.6705,8.6300,8.6300,4900
1431525282,8.7000,8.7000,8.7000,8.7000,400
1431525316,8.7000,8.7100,8.7000,8.7000,1000
1431525544,8.6700,8.6700,8.6700,8.6700,100
1431525639,8.6832,8.7000,8.6832,8.7000,1200
1431525777,8.6701,8.6701,8.6701,8.6701,600
1431525835,8.7350,8.7400,8.6700,8.6700,1600
1431525895,8.7600,8.7600,8.7400,8.7400,1200
1431525919,8.7700,8.7700,8.7700,8.7700,500
1431526004,8.7700,8.7700,8.7700,8.7700,100
1431526026,8.7900,8.7900,8.7700,8.7700,1100
1431526199,8.8200,8.8200,8.8100,8.8100,300
1431526230,8.8400,8.8400,8.8400,8.8400,100
1431526310,8.8600,8.8600,8.8500,8.8500,300
1431526334,8.8000,8.8700,8.8000,8.8700,3600
1431526479,8.7800,8.7900,8.7800,8.7900,700
