uri:/instrument/1.0/SINO/chartdata;type=quote;range=500d/csv
ticker:sino
Company-Name:Sino-Global Shipping America, L
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:1.5500
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:1.4700,1.8000
high:1.4700,1.8000
low:1.4400,1.8000
open:1.4400,1.8000
volume:0,33600
1429882989,1.4800,1.4800,1.4400,1.4400,6000
1429883663,1.5248,1.5248,1.5248,1.5248,200
1429884308,1.5200,1.5300,1.4700,1.5000,4100
1429889873,1.5198,1.5198,1.4700,1.4700,15100
1429890247,1.5400,1.5500,1.5101,1.5200,33600
1429891813,1.5500,1.5500,1.5400,1.5400,2000
1429892399,1.5499,1.5500,1.5499,1.5499,5900
1429892696,1.5499,1.5499,1.5499,1.5499,2000
1429892883,1.5500,1.5500,1.5390,1.5500,8900
1429893276,1.5699,1.5700,1.5699,1.5700,800
1429893495,1.5980,1.6000,1.5800,1.5800,8300
1429893869,1.6049,1.6117,1.5980,1.5980,5000
1429895459,1.5500,1.5500,1.5500,1.5500,100
1429896345,1.5670,1.5670,1.5670,1.5670,3000
1429897482,1.5700,1.5850,1.5500,1.5501,8000
1429898319,1.5510,1.5600,1.5500,1.5500,5200
1429898611,1.5700,1.5700,1.5500,1.5500,800
1429901071,1.5500,1.5610,1.5500,1.5610,2700
1429901785,1.5200,1.5550,1.5200,1.5550,2200
1429903104,1.5200,1.5200,1.5200,1.5200,100
1429904294,1.5500,1.5500,1.5201,1.5201,3800
1429905291,1.5300,1.5499,1.5300,1.5499,1100
1429905454,1.5300,1.5300,1.5300,1.5300,400
1429905600,1.5200,1.5200,1.5200,1.5200,0
1430142493,1.5499,1.5499,1.5499,1.5499,0
1430143713,1.6000,1.6000,1.5000,1.5001,8300
1430143958,1.6200,1.6200,1.5900,1.6000,4800
1430144175,1.6050,1.6050,1.6050,1.6050,300
1430144680,1.6200,1.6200,1.6200,1.6200,1100
1430144872,1.6800,1.6800,1.6300,1.6300,24400
1430145231,1.6000,1.6596,1.6000,1.6596,12600
1430145589,1.6699,1.6699,1.6200,1.6200,500
1430145825,1.6700,1.6700,1.6105,1.6353,3300
1430146125,1.6300,1.6800,1.6300,1.6699,5100
1430146467,1.6800,1.6800,1.6800,1.6800,800
1430146534,1.6500,1.6500,1.6500,1.6500,1300
1430147323,1.6680,1.6680,1.6530,1.6530,1000
1430147687,1.6500,1.6551,1.6500,1.6551,900
1430147817,1.6799,1.6799,1.6799,1.6799,100
1430148265,1.6800,1.6800,1.6800,1.6800,500
1430148456,1.6500,1.6725,1.6500,1.6725,6300
1430148760,1.6000,1.6000,1.6000,1.6000,9900
1430150020,1.6000,1.6400,1.6000,1.6400,8100
1430151295,1.6170,1.6170,1.6110,1.6170,1000
1430152114,1.6000,1.6100,1.6000,1.6100,5900
1430152491,1.6000,1.6199,1.6000,1.6199,2100
1430153184,1.6000,1.6000,1.6000,1.6000,400
1430154900,1.5800,1.5800,1.5800,1.5800,100
1430155427,1.5800,1.6160,1.5800,1.5980,1100
1430156740,1.5910,1.5910,1.5910,1.5910,900
1430157130,1.5800,1.5800,1.5800,1.5800,200
1430158499,1.5800,1.5864,1.5800,1.5864,2100
1430159300,1.5800,1.5800,1.5800,1.5800,100
1430159517,1.6000,1.6000,1.6000,1.6000,100
1430161427,1.6000,1.6000,1.6000,1.6000,700
1430164099,1.6100,1.6100,1.6004,1.6004,1600
1430164624,1.5800,1.5800,1.5800,1.5800,1300
1430228281,1.5800,1.5800,1.5800,1.5800,0
1430229599,1.5900,1.5900,1.5900,1.5900,1000
1430229609,1.5900,1.5900,1.5900,1.5900,1000
1430230053,1.5800,1.5930,1.5800,1.5930,1100
1430230294,1.5001,1.5001,1.5001,1.5001,2700
1430230578,1.5700,1.5700,1.5700,1.5700,100
1430230865,1.5100,1.5100,1.5100,1.5100,200
1430231642,1.5100,1.5100,1.5100,1.5100,200
1430233942,1.5799,1.5799,1.5799,1.5799,700
1430235534,1.5101,1.5101,1.5101,1.5101,200
1430240967,1.5200,1.5200,1.5200,1.5200,100
1430241474,1.5399,1.5399,1.5399,1.5399,1000
1430241620,1.5300,1.5300,1.5300,1.5300,100
1430244499,1.5800,1.5800,1.5800,1.5800,400
1430247618,1.5500,1.5500,1.5500,1.5500,600
1430248010,1.5300,1.5300,1.5300,1.5300,100
1430251198,1.5800,1.5800,1.5300,1.5300,3100
1430321413,1.5200,1.5200,1.5200,1.5200,0
1430324086,1.5101,1.5101,1.5101,1.5101,800
1430326432,1.5200,1.5200,1.5000,1.5100,1800
1430327026,1.5000,1.5000,1.5000,1.5000,300
1430328892,1.5000,1.5160,1.5000,1.5160,1600
1430329465,1.4800,1.5000,1.4800,1.5000,1200
1430329975,1.4860,1.4860,1.4801,1.4801,700
1430330129,1.4976,1.4976,1.4976,1.4976,200
1430330692,1.5000,1.5000,1.4500,1.4800,10000
1430334270,1.5201,1.5201,1.5200,1.5200,800
1430335470,1.6095,1.6095,1.5200,1.5200,200
1430336256,1.5200,1.5200,1.5200,1.5200,800
1430337558,1.5300,1.5300,1.5200,1.5300,600
1430337600,1.5400,1.5400,1.5400,1.5400,200
1430414062,1.5100,1.5200,1.5100,1.5100,0
1430415126,1.4900,1.4900,1.4900,1.4900,200
1430423612,1.5000,1.5000,1.5000,1.5000,600
1430499494,1.5200,1.5200,1.5200,1.5200,0
1430502255,1.5400,1.5400,1.5040,1.5040,3400
1430506669,1.5100,1.5400,1.5100,1.5400,400
1430508975,1.5300,1.5300,1.5300,1.5300,100
1430509423,1.5400,1.5400,1.5400,1.5400,100
1430746708,1.5630,1.5630,1.5010,1.5010,0
1430765089,1.5000,1.5000,1.5000,1.5000,100
1430766709,1.4800,1.4800,1.4800,1.4800,100
1430767449,1.5300,1.5300,1.4800,1.4800,500
1430767684,1.5370,1.5370,1.5370,1.5370,600
1430768931,1.5300,1.5300,1.5300,1.5300,100
1430769530,1.4900,1.4900,1.4900,1.4900,100
1430835432,1.5039,1.5039,1.5039,1.5039,300
1430840396,1.4700,1.4700,1.4700,1.4700,100
1430841591,1.4700,1.4700,1.4700,1.4700,100
1430841657,1.4700,1.5295,1.4700,1.4934,4200
1430841991,1.4812,1.4812,1.4812,1.4812,200
1430844229,1.4700,1.5393,1.4700,1.5393,1100
1430846711,1.4700,1.4700,1.4700,1.4700,100
1430851054,1.4900,1.4900,1.4900,1.4900,900
1430851965,1.4959,1.4959,1.4959,1.4959,700
1430921368,1.5101,1.5101,1.5101,1.5101,0
1430922298,1.5100,1.5200,1.5100,1.5200,2000
1430926507,1.4800,1.5040,1.4800,1.5040,2000
1430931873,1.4800,1.4801,1.4800,1.4801,1700
1430935647,1.4800,1.5100,1.4800,1.5100,3200
1430941175,1.5400,1.5400,1.5400,1.5400,100
1430941284,1.5400,1.5400,1.5400,1.5400,100
1430942096,1.5400,1.5400,1.5400,1.5400,600
1430942301,1.5400,1.5400,1.5400,1.5400,100
1431005987,1.4800,1.4800,1.4740,1.4740,0
1431006597,1.4800,1.4800,1.4800,1.4800,100
1431012558,1.4700,1.4700,1.4700,1.4700,100
1431013015,1.4900,1.4900,1.4900,1.4900,200
1431014670,1.5599,1.5599,1.5599,1.5599,400
1431017663,1.5200,1.5201,1.5200,1.5201,600
1431017722,1.4700,1.5000,1.4700,1.5000,700
1431018639,1.4700,1.4700,1.4700,1.4700,100
1431025878,1.4700,1.4700,1.4700,1.4700,100
1431028229,1.4800,1.4800,1.4800,1.4800,1000
1431028795,1.4700,1.4800,1.4700,1.4800,300
1431093359,1.4900,1.4910,1.4900,1.4910,0
1431093756,1.5001,1.5001,1.5001,1.5001,600
1431094461,1.5000,1.5000,1.5000,1.5000,100
1431095517,1.5001,1.5100,1.5000,1.5000,3800
1431096150,1.5000,1.5001,1.5000,1.5001,600
1431096732,1.5001,1.5001,1.5001,1.5001,400
1431097089,1.5070,1.5070,1.5070,1.5070,500
1431098559,1.5100,1.5100,1.5100,1.5100,5200
1431098874,1.5100,1.5100,1.5100,1.5100,700
1431099381,1.5000,1.5100,1.5000,1.5100,4500
1431100096,1.5100,1.5100,1.5100,1.5100,700
1431100679,1.5000,1.5000,1.5000,1.5000,200
1431101147,1.4900,1.5010,1.4900,1.5010,11000
1431106331,1.4900,1.4900,1.4900,1.4900,200
1431107573,1.5000,1.5000,1.5000,1.5000,1500
1431110116,1.5100,1.5100,1.5100,1.5100,1000
1431110561,1.4900,1.4900,1.4900,1.4900,100
1431115155,1.4900,1.4900,1.4900,1.4900,400
1431353673,1.5095,1.5095,1.5095,1.5095,0
1431354235,1.5000,1.5000,1.5000,1.5000,300
1431354591,1.4980,1.4980,1.4980,1.4980,1600
1431357714,1.4800,1.4800,1.4800,1.4800,100
1431360087,1.5000,1.5000,1.4999,1.4999,6600
1431371269,1.5400,1.5400,1.5400,1.5400,100
1431372731,1.5400,1.5400,1.5400,1.5400,100
1431440053,1.5700,1.5700,1.5700,1.5700,0
1431440292,1.5500,1.5500,1.5500,1.5500,3000
1431440420,1.5501,1.5501,1.5501,1.5501,100
1431440700,1.5500,1.5500,1.5500,1.5500,2600
1431442428,1.5680,1.5680,1.5500,1.5500,2000
1431443253,1.5500,1.5500,1.5500,1.5500,600
1431443411,1.5500,1.5500,1.5500,1.5500,100
1431444841,1.5760,1.5760,1.5760,1.5760,2000
1431448445,1.5699,1.5699,1.5699,1.5699,1100
1431448717,1.5617,1.5617,1.5617,1.5617,1000
1431449554,1.5201,1.5201,1.5201,1.5201,1500
1431457960,1.5200,1.5200,1.5200,1.5200,100
1431529261,1.4900,1.4900,1.4900,1.4900,0
1431536912,1.5100,1.5700,1.5100,1.5100,1900
1431539816,1.5162,1.5162,1.5162,1.5162,1000
1431540313,1.5662,1.5700,1.5600,1.5600,3200
1431540856,1.5550,1.5550,1.5550,1.5550,1000
