uri:/instrument/1.0/SORL/chartdata;type=quote;range=500d/csv
ticker:sorl
Company-Name:SORL Auto Parts, Inc.
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:3.7500
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:3.3400,4.3301
high:3.3500,4.3301
low:3.2800,4.3301
open:3.3300,4.3301
volume:0,110100
1429882200,4.3000,4.3000,4.3000,4.3000,3300
1429882602,4.3000,4.3200,4.3000,4.3200,1200
1429883483,4.3301,4.3301,4.3301,4.3301,1500
1429884315,4.3101,4.3101,4.3101,4.3101,400
1429885459,4.3000,4.3100,4.3000,4.3001,1500
1429886083,4.2107,4.3001,4.2100,4.3000,10800
1429886383,4.2135,4.2135,4.2001,4.2001,500
1429887072,4.2500,4.2500,4.2300,4.2300,400
1429887536,4.2400,4.2400,4.2400,4.2400,400
1429887804,4.2465,4.2465,4.2465,4.2465,300
1429888686,4.2300,4.2500,4.2300,4.2500,400
1429889996,4.2400,4.2400,4.2400,4.2400,100
1429890234,4.1900,4.2200,4.1600,4.2200,4400
1429891660,4.1600,4.1840,4.1600,4.1840,5800
1429892862,4.1800,4.2248,4.1800,4.1985,400
1429893370,4.1760,4.1760,4.1700,4.1730,1900
1429894130,4.2380,4.2400,4.2380,4.2400,1100
1429896156,4.1900,4.2250,4.1900,4.2250,1100
1429897051,4.2200,4.2200,4.2200,4.2200,400
1429897216,4.1900,4.1900,4.1900,4.1900,300
1429898178,4.1810,4.1810,4.1810,4.1810,300
1429899006,4.1800,4.2094,4.1800,4.2094,5100
1429900629,4.2000,4.2000,4.2000,4.2000,1000
1429901270,4.2400,4.2400,4.2400,4.2400,100
1429901821,4.2500,4.2500,4.2500,4.2500,200
1429902860,4.2500,4.2500,4.2500,4.2500,100
1429903704,4.2500,4.2500,4.2500,4.2500,200
1429904641,4.0400,4.2320,4.0400,4.2300,46900
1429904995,4.0400,4.0800,4.0400,4.0500,9300
1429905246,3.8800,4.0400,3.8800,4.0400,17200
1429905546,3.6335,3.8600,3.5300,3.8600,31300
1429905600,3.6600,3.6600,3.6600,3.6600,1900
1430141655,3.8500,3.8500,3.6200,3.6200,0
1430141995,3.7950,3.8500,3.7900,3.8000,5600
1430142296,3.7200,3.8383,3.7100,3.7900,5500
1430142598,3.7500,3.7500,3.6900,3.7200,9900
1430142852,3.7200,3.7899,3.7000,3.7100,7700
1430143148,3.7800,3.8200,3.7251,3.7251,3000
1430143452,3.8099,3.8100,3.8000,3.8000,1400
1430143787,3.7900,3.8100,3.7700,3.8090,9400
1430143939,3.8100,3.8100,3.8050,3.8090,3000
1430144352,3.8990,3.9000,3.8100,3.8100,3500
1430144492,3.8700,3.9300,3.8700,3.9100,5700
1430144984,3.8150,3.8800,3.8150,3.8700,1800
1430145271,3.7500,3.7500,3.7000,3.7200,3300
1430145569,3.7647,3.8199,3.7300,3.7500,2800
1430145880,3.7510,3.7510,3.7400,3.7400,1800
1430146185,3.8200,3.8347,3.7300,3.7400,6700
1430146440,3.7900,3.7900,3.7900,3.7900,100
1430146771,3.7700,3.7900,3.7700,3.7900,300
1430147042,3.7799,3.7800,3.7600,3.7800,600
1430147398,3.7500,3.7500,3.7300,3.7400,3400
1430147599,3.7700,3.7900,3.7500,3.7500,1700
1430147865,3.7900,3.7900,3.7800,3.7800,300
1430148236,3.7800,3.7900,3.7800,3.7900,400
1430148594,3.7400,3.7800,3.7400,3.7800,1000
1430148746,3.7700,3.7700,3.7700,3.7700,100
1430149325,3.8000,3.8000,3.7800,3.7990,3200
1430150564,3.8000,3.8000,3.7700,3.7990,2300
1430151131,3.8051,3.8840,3.8051,3.8500,1200
1430151499,3.8700,3.8700,3.8700,3.8700,200
1430152427,3.8603,3.8603,3.8603,3.8603,200
1430153089,3.8600,3.8600,3.8400,3.8400,700
1430153287,3.8700,3.8700,3.8670,3.8670,1100
1430153549,3.8700,3.8700,3.8700,3.8700,1000
1430154040,3.8900,3.8900,3.8900,3.8900,200
1430154302,3.8699,3.8700,3.8000,3.8700,3500
1430155765,3.8101,3.9500,3.8101,3.8600,9100
1430156475,3.9100,3.9100,3.9100,3.9100,100
1430156779,3.8301,3.8500,3.8301,3.8500,500
1430157440,3.8400,3.8400,3.8400,3.8400,100
1430157939,3.8301,3.8400,3.8300,3.8400,3100
1430159924,3.8410,3.8410,3.8410,3.8410,300
1430160061,3.7800,3.8500,3.7800,3.8500,110100
1430160629,3.8400,3.8400,3.8400,3.8400,100
1430161142,3.7900,3.7900,3.7900,3.7900,100
1430161664,3.7700,3.8500,3.7700,3.8000,1200
1430161806,3.7700,3.7700,3.7700,3.7700,100
1430163439,3.8100,3.8100,3.8100,3.8100,100
1430163633,3.7900,3.7900,3.7900,3.7900,100
1430164768,3.7950,3.8000,3.7900,3.7900,1100
1430164800,3.7800,3.7800,3.7800,3.7800,100
1430227800,3.7200,3.7200,3.7200,3.7200,0
1430228341,3.7400,3.7799,3.7000,3.7799,10900
1430228887,3.6800,3.6800,3.6800,3.6800,100
1430229293,3.5700,3.6354,3.5700,3.6354,3100
1430229309,3.5901,3.5901,3.5900,3.5900,1300
1430230169,3.5950,3.6250,3.5900,3.6100,11600
1430230347,3.5700,3.5950,3.5600,3.5900,4900
1430230539,3.5800,3.5890,3.5800,3.5830,2400
1430231064,3.7000,3.7200,3.6200,3.6200,9700
1430231263,3.7000,3.7100,3.7000,3.7000,2500
1430232383,3.7100,3.7100,3.7100,3.7100,100
1430233779,3.6601,3.7199,3.6600,3.7100,4700
1430234015,3.6710,3.6710,3.6710,3.6710,200
1430234389,3.6700,3.6700,3.6500,3.6600,2800
1430234604,3.6820,3.6820,3.6500,3.6700,28100
1430234806,3.6605,3.6605,3.6605,3.6605,200
1430235666,3.7099,3.7099,3.7099,3.7099,300
1430236851,3.7100,3.7100,3.7100,3.7100,100
1430238253,3.7100,3.7100,3.7100,3.7100,200
1430240083,3.7200,3.7200,3.7200,3.7200,100
1430240276,3.7100,3.7100,3.7100,3.7100,100
1430241100,3.7000,3.7000,3.7000,3.7000,100
1430241626,3.6999,3.6999,3.6999,3.6999,600
1430242018,3.6720,3.6900,3.6720,3.6900,1600
1430243049,3.6500,3.6500,3.6500,3.6500,5900
1430243191,3.6204,3.6599,3.6204,3.6599,1500
1430243686,3.6600,3.6600,3.6600,3.6600,800
1430243899,3.6600,3.6700,3.6590,3.6590,9700
1430245142,3.6800,3.6800,3.6800,3.6800,400
1430245434,3.7200,3.7200,3.6900,3.6900,7600
1430246625,3.7200,3.7200,3.7200,3.7200,1700
1430247164,3.7200,3.7200,3.7200,3.7200,800
1430247591,3.7400,3.7900,3.7200,3.7200,4600
1430247823,3.7800,3.7800,3.7800,3.7800,600
1430248089,3.7800,3.7800,3.7800,3.7800,300
1430248454,3.7700,3.7750,3.7700,3.7700,400
1430248558,3.7760,3.7800,3.7760,3.7800,300
1430249040,3.7776,3.7800,3.7700,3.7780,2900
1430249647,3.7700,3.7800,3.7600,3.7800,600
1430249852,3.7034,3.7600,3.7034,3.7600,2900
1430250084,3.7200,3.7200,3.7200,3.7200,100
1430250455,3.7100,3.7400,3.7100,3.7400,300
1430250713,3.7100,3.7100,3.7100,3.7100,1000
1430251144,3.7300,3.7500,3.7300,3.7300,1500
1430251200,3.7200,3.7200,3.7200,3.7200,1700
1430314200,3.7500,3.7500,3.7500,3.7500,0
1430315282,3.6800,3.7070,3.6800,3.7070,1500
1430315844,3.7300,3.7300,3.7300,3.7300,100
1430316493,3.7200,3.7200,3.7200,3.7200,100
1430316783,3.7020,3.7020,3.7020,3.7020,500
1430317137,3.7200,3.7200,3.7200,3.7200,200
1430318479,3.7200,3.7200,3.7075,3.7075,200
1430318756,3.7200,3.7200,3.7200,3.7200,100
1430319188,3.7100,3.7200,3.7100,3.7200,3100
1430322043,3.7100,3.7100,3.7100,3.7100,400
1430323186,3.6700,3.6900,3.5500,3.6800,20500
1430323451,3.7000,3.7000,3.7000,3.7000,1000
1430323772,3.7000,3.7000,3.6701,3.6850,300
1430324704,3.6799,3.6799,3.6799,3.6799,300
1430326592,3.7000,3.7000,3.7000,3.7000,100
1430327955,3.7000,3.7000,3.6900,3.7000,900
1430328419,3.7060,3.7060,3.7060,3.7060,100
1430328646,3.7100,3.7100,3.7100,3.7100,200
1430330808,3.7099,3.7100,3.7099,3.7100,600
1430331125,3.7100,3.7100,3.7000,3.7000,3200
1430331368,3.7300,3.7300,3.7200,3.7200,200
1430332638,3.7199,3.7199,3.7000,3.7000,400
1430334514,3.7300,3.7300,3.7100,3.7100,200
1430335056,3.7300,3.7300,3.7300,3.7300,300
1430335329,3.7200,3.7200,3.7200,3.7200,100
1430337530,3.7300,3.7300,3.7300,3.7300,100
1430400858,3.8425,3.8425,3.8200,3.8200,0
1430402011,3.8000,3.8100,3.8000,3.8100,1500
1430402486,3.7900,3.7900,3.7900,3.7900,1300
1430402989,3.7452,3.7800,3.7400,3.7800,700
1430405298,3.7400,3.7400,3.7400,3.7400,400
1430405693,3.7400,3.7400,3.7400,3.7400,1000
1430406706,3.7099,3.7099,3.7099,3.7099,100
1430407021,3.7100,3.7100,3.7100,3.7100,100
1430407824,3.6800,3.6800,3.6800,3.6800,100
1430409182,3.6800,3.6800,3.6800,3.6800,100
1430409420,3.6800,3.6800,3.6800,3.6800,200
1430411235,3.7100,3.7100,3.7100,3.7100,100
1430412187,3.6750,3.6750,3.6750,3.6750,100
1430412572,3.7000,3.7000,3.6700,3.6700,1100
1430412840,3.7000,3.7200,3.7000,3.7100,1100
1430413883,3.7429,3.7429,3.7429,3.7429,300
1430414454,3.7000,3.7000,3.7000,3.7000,100
1430416126,3.7499,3.7499,3.7499,3.7499,200
1430421211,3.7400,3.7400,3.7320,3.7320,600
1430422005,3.7500,3.7500,3.7500,3.7500,100
1430423523,3.7300,3.7500,3.7300,3.7400,400
1430423944,3.7000,3.7300,3.7000,3.7300,600
1430424000,3.6700,3.6700,3.6700,3.6700,400
1430487114,3.6700,3.6700,3.6200,3.6200,0
1430487748,3.7000,3.7000,3.7000,3.7000,300
1430487926,3.6518,3.6518,3.6518,3.6518,2200
1430488512,3.6500,3.6500,3.6500,3.6500,1200
1430489247,3.6600,3.6600,3.6600,3.6600,100
1430490495,3.6500,3.6500,3.6500,3.6500,2100
1430492500,3.6220,3.6220,3.6220,3.6220,500
1430493217,3.6110,3.6110,3.6110,3.6110,400
1430493638,3.6100,3.6100,3.6100,3.6100,200
1430493951,3.6101,3.6101,3.6101,3.6101,300
1430495498,3.6600,3.6600,3.6500,3.6500,1000
1430497761,3.6500,3.6600,3.6500,3.6500,400
