uri:/instrument/1.0/SPPI/chartdata;type=quote;range=1d/csv
ticker:sppi
Company-Name:Spectrum Pharmaceuticals, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:6.6700
Timestamp:1431523800,1431547200
labels:1431525600,1431529200,1431532800,1431536400,1431540000,1431543600,1431547200
values:Timestamp,close,high,low,open,volume
close:6.2750,6.7800
high:6.2750,6.8000
low:6.2700,6.7750
open:6.2706,6.7850
volume:0,181200
1431523914,6.6300,6.6340,6.6300,6.6340,46600
1431523971,6.6100,6.6563,6.6100,6.6563,5400
1431524065,6.6400,6.6500,6.6101,6.6400,3900
1431524140,6.6200,6.6212,6.6100,6.6200,4700
1431524213,6.6150,6.6200,6.6100,6.6100,2700
1431524230,6.5801,6.6101,6.5600,6.6100,5300
1431524331,6.5600,6.5600,6.5600,6.5600,800
1431524398,6.5500,6.5600,6.5400,6.5501,7800
1431524456,6.5200,6.5550,6.5200,6.5550,5000
1431524497,6.5500,6.5800,6.5100,6.5266,9100
1431524578,6.5400,6.5499,6.5400,6.5499,2800
1431524628,6.5500,6.5500,6.5000,6.5200,6600
1431524687,6.5400,6.5400,6.5300,6.5400,1400
1431524754,6.5300,6.5400,6.5300,6.5400,4800
1431524797,6.5100,6.5200,6.5100,6.5200,3100
1431524874,6.5250,6.5250,6.5050,6.5150,4700
1431524935,6.5300,6.5300,6.5150,6.5200,3000
1431524991,6.5350,6.5350,6.5300,6.5300,500
1431525015,6.5400,6.5400,6.5400,6.5400,1000
1431525062,6.5400,6.5400,6.5400,6.5400,600
1431525179,6.5500,6.5500,6.5400,6.5400,3800
1431525187,6.5400,6.5500,6.5400,6.5500,1800
1431525289,6.5400,6.5450,6.5400,6.5450,200
1431525388,6.5400,6.5400,6.5400,6.5400,200
1431525512,6.5300,6.5400,6.5300,6.5400,3200
1431525592,6.5349,6.5349,6.5349,6.5349,600
1431525658,6.5200,6.5300,6.5200,6.5300,1500
1431525712,6.5001,6.5300,6.5000,6.5228,18000
1431525741,6.4900,6.5001,6.4800,6.5000,9100
1431525834,6.5100,6.5100,6.4950,6.5000,3600
1431525897,6.5300,6.5501,6.5135,6.5135,7900
1431526014,6.5350,6.5400,6.5250,6.5250,3000
1431526020,6.5300,6.5365,6.5300,6.5350,4700
1431526149,6.5300,6.5300,6.5300,6.5300,100
1431526221,6.5100,6.5299,6.5100,6.5299,7600
1431526314,6.5235,6.5235,6.5150,6.5200,2000
1431526482,6.5250,6.5250,6.5250,6.5250,1100
