uri:/instrument/1.0/STAA/chartdata;type=quote;range=1d/csv
ticker:staa
Company-Name:STAAR Surgical Company
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:8.8400
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:8.4300,8.9300
high:8.4900,8.9300
low:8.4300,8.9300
open:8.4900,8.9300
volume:0,9800
1431437764,8.7200,8.7200,8.7200,8.7200,300
1431438012,8.6500,8.6500,8.6500,8.6500,1200
1431438302,8.5500,8.5900,8.5500,8.5600,400
1431438393,8.5500,8.5500,8.5500,8.5500,300
1431438778,8.5400,8.5400,8.5400,8.5400,800
1431438963,8.5100,8.5100,8.5100,8.5100,200
1431439084,8.4300,8.5100,8.4300,8.5100,2400
1431439254,8.4900,8.4900,8.4900,8.4900,1200
1431439265,8.4900,8.4900,8.4900,8.4900,100
1431439857,8.5300,8.5300,8.5200,8.5200,1400
1431439863,8.5800,8.5800,8.5260,8.5260,1000
1431439938,8.5400,8.5400,8.5400,8.5400,100
1431440037,8.5800,8.5800,8.5500,8.5500,500
1431440089,8.5800,8.5800,8.5600,8.5600,1000
1431440156,8.5300,8.5700,8.5300,8.5700,1600
1431440189,8.5600,8.5600,8.5400,8.5400,400
1431440265,8.5800,8.5800,8.5300,8.5400,500
1431440283,8.5300,8.5300,8.5300,8.5300,800
1431440394,8.5700,8.5700,8.5700,8.5700,100
1431440503,8.5200,8.5300,8.5000,8.5300,1400
1431440595,8.5200,8.5200,8.5200,8.5200,200
1431440759,8.5300,8.5300,8.5300,8.5300,100
1431440777,8.5400,8.5400,8.5400,8.5400,100
1431440998,8.5400,8.5400,8.5400,8.5400,100
1431441520,8.6000,8.6000,8.5500,8.5691,1800
1431441656,8.5600,8.5800,8.5600,8.5800,1100
1431441719,8.5700,8.5900,8.5600,8.5600,3400
1431441775,8.6300,8.6300,8.5400,8.5600,6000
1431441833,8.6200,8.6300,8.6200,8.6200,5600
1431441897,8.6400,8.6400,8.6100,8.6100,8600
1431441901,8.6800,8.6800,8.6500,8.6500,800
1431442043,8.7150,8.7150,8.7150,8.7150,200
1431442101,8.6700,8.6700,8.6700,8.6700,500
1431442160,8.7200,8.7200,8.7200,8.7200,200
1431442211,8.7200,8.7200,8.7200,8.7200,300
1431442285,8.7500,8.7500,8.7400,8.7400,400
1431442378,8.6700,8.7300,8.6700,8.7300,1600
1431442392,8.6700,8.6710,8.6700,8.6710,400
1431442502,8.7100,8.7200,8.7100,8.7200,400
1431442587,8.7500,8.7500,8.7500,8.7500,100
1431442677,8.7500,8.7500,8.7500,8.7500,200
1431442730,8.7500,8.7500,8.7500,8.7500,200
1431442765,8.7500,8.7500,8.7500,8.7500,200
1431442838,8.7600,8.7600,8.7600,8.7600,100
1431442903,8.7600,8.7800,8.7600,8.7600,800
1431442961,8.7300,8.7600,8.7300,8.7600,400
1431443109,8.7500,8.7500,8.7500,8.7500,1700
1431443200,8.8240,8.8300,8.7900,8.7900,2200
1431443239,8.8000,8.8400,8.8000,8.8400,400
1431443349,8.8500,8.8500,8.8500,8.8500,300
1431443435,8.8400,8.8400,8.8400,8.8400,100
1431443474,8.8500,8.8500,8.8500,8.8500,100
1431443526,8.8500,8.8500,8.8500,8.8500,100
1431443589,8.8500,8.8500,8.8500,8.8500,100
1431443655,8.8500,8.8500,8.8500,8.8500,100
1431443744,8.8500,8.8500,8.8500,8.8500,100
1431443761,8.7300,8.8000,8.7300,8.8000,800
1431444067,8.7800,8.7800,8.7800,8.7800,100
1431444222,8.8300,8.8300,8.8000,8.8000,300
1431444403,8.8200,8.8200,8.8200,8.8200,100
1431444729,8.8000,8.8000,8.8000,8.8000,100
1431444801,8.8200,8.8200,8.8200,8.8200,200
1431445189,8.8000,8.8000,8.7600,8.7600,200
1431445229,8.7700,8.8100,8.7700,8.7800,6300
1431445424,8.8200,8.8300,8.8100,8.8100,400
1431445487,8.8200,8.8200,8.8200,8.8200,100
1431445549,8.8150,8.8150,8.8150,8.8150,100
