uri:/instrument/1.0/TICC/chartdata;type=quote;range=1d/csv
ticker:ticc
Company-Name:TICC Capital Corp.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:6.9600
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:6.8500,7.0100
high:6.8600,7.0100
low:6.8500,7.0000
open:6.8500,7.0100
volume:100,23100
1431437461,7.0100,7.0100,7.0000,7.0100,23100
1431437524,6.9600,6.9700,6.9600,6.9700,300
1431437757,6.9500,6.9500,6.9500,6.9500,400
1431437764,6.9400,6.9500,6.9400,6.9500,3600
1431437877,6.9300,6.9400,6.9300,6.9399,2900
1431437881,6.9100,6.9100,6.9100,6.9100,1900
1431437997,6.9300,6.9300,6.9070,6.9090,6200
1431438044,6.9100,6.9100,6.9100,6.9100,100
1431438079,6.9180,6.9300,6.9000,6.9000,1500
1431438154,6.9000,6.9100,6.9000,6.9100,1000
1431438260,6.9099,6.9099,6.9099,6.9099,400
1431438357,6.9000,6.9099,6.9000,6.9099,700
1431438423,6.9000,6.9000,6.9000,6.9000,100
1431438528,6.9000,6.9000,6.9000,6.9000,100
1431438593,6.9000,6.9067,6.9000,6.9067,400
1431438710,6.9099,6.9099,6.9000,6.9000,1600
1431438726,6.9100,6.9200,6.9000,6.9099,12400
1431438783,6.9100,6.9300,6.9100,6.9100,1600
1431438856,6.9100,6.9100,6.9100,6.9100,900
1431439001,6.9100,6.9100,6.9000,6.9000,5000
1431439076,6.9100,6.9100,6.9100,6.9100,500
1431439096,6.9099,6.9099,6.8900,6.9000,15200
1431439199,6.9000,6.9000,6.8800,6.9000,3000
1431439234,6.8800,6.8999,6.8800,6.8999,2900
1431439304,6.8949,6.8999,6.8949,6.8999,3200
1431439375,6.8500,6.8900,6.8500,6.8800,10300
1431439437,6.8800,6.8800,6.8500,6.8500,7300
1431439441,6.9000,6.9000,6.8700,6.8700,300
1431439506,6.8700,6.8700,6.8700,6.8700,400
1431439604,6.9000,6.9000,6.8800,6.8800,2300
1431439737,6.8900,6.8902,6.8800,6.8902,3100
1431439770,6.8900,6.8999,6.8900,6.8999,1100
1431439806,6.8899,6.8899,6.8899,6.8899,1200
1431439863,6.8900,6.9000,6.8900,6.8900,1000
1431440022,6.9000,6.9000,6.8900,6.8900,1000
1431440088,6.9000,6.9000,6.9000,6.9000,600
1431440132,6.9000,6.9000,6.9000,6.9000,400
1431440217,6.9050,6.9050,6.8990,6.8990,400
1431440269,6.9100,6.9100,6.9000,6.9000,200
1431440287,6.9100,6.9100,6.9049,6.9049,600
1431440397,6.9100,6.9100,6.9100,6.9100,800
1431440454,6.9400,6.9500,6.9200,6.9200,2300
1431440503,6.9300,6.9400,6.9300,6.9400,1200
1431440569,6.9400,6.9400,6.9400,6.9400,100
1431440588,6.9300,6.9400,6.9300,6.9338,1300
1431440716,6.9035,6.9100,6.9035,6.9100,500
1431440870,6.9000,6.9000,6.9000,6.9000,100
1431440889,6.9050,6.9050,6.9050,6.9050,100
1431441055,6.9100,6.9166,6.9100,6.9166,1000
1431441100,6.9100,6.9100,6.9100,6.9100,400
1431441150,6.9100,6.9161,6.9100,6.9100,700
1431441238,6.9400,6.9400,6.9200,6.9200,2000
1431441271,6.9400,6.9500,6.9400,6.9400,5100
1431441381,6.9365,6.9365,6.9365,6.9365,500
1431441462,6.9242,6.9399,6.9242,6.9399,500
1431441510,6.9365,6.9365,6.9365,6.9365,500
1431441586,6.9200,6.9300,6.9188,6.9300,3700
1431441615,6.9148,6.9148,6.9148,6.9148,100
1431441687,6.9171,6.9171,6.9171,6.9171,300
1431441748,6.9100,6.9100,6.9000,6.9100,900
1431441810,6.9300,6.9400,6.9099,6.9099,5900
1431441897,6.9300,6.9400,6.9300,6.9400,200
1431441958,6.9600,6.9600,6.9300,6.9300,3500
1431442069,6.9300,6.9300,6.9300,6.9300,100
1431442154,6.9599,6.9600,6.9599,6.9600,2700
1431442203,6.9599,6.9600,6.9599,6.9600,1000
1431442312,6.9500,6.9500,6.9500,6.9500,300
1431442341,6.9600,6.9600,6.9500,6.9500,1800
1431442432,6.9400,6.9400,6.9400,6.9400,100
1431442556,6.9480,6.9480,6.9400,6.9400,200
1431442588,6.9400,6.9400,6.9400,6.9400,600
1431442653,6.9400,6.9400,6.9400,6.9400,300
1431442731,6.9600,6.9700,6.9450,6.9450,3500
1431442837,6.9500,6.9500,6.9500,6.9500,200
1431442902,6.9534,6.9534,6.9500,6.9500,1100
1431442973,6.9500,6.9600,6.9500,6.9500,500
1431443067,6.9400,6.9400,6.9400,6.9400,300
1431443217,6.9300,6.9400,6.9300,6.9400,200
1431443232,6.9300,6.9300,6.9300,6.9300,1200
1431443330,6.9250,6.9250,6.9200,6.9200,200
1431443395,6.9200,6.9200,6.9200,6.9200,100
1431443434,6.9200,6.9200,6.9200,6.9200,100
1431443517,6.9200,6.9300,6.9200,6.9251,800
1431443549,6.9200,6.9200,6.9200,6.9200,1200
1431443602,6.9100,6.9100,6.9100,6.9100,100
1431443667,6.9100,6.9100,6.9100,6.9100,100
1431443751,6.9200,6.9200,6.9100,6.9150,500
1431443870,6.9000,6.9150,6.9000,6.9100,2900
1431443932,6.9000,6.9000,6.9000,6.9000,2300
1431443988,6.8999,6.8999,6.8800,6.8800,1100
1431444046,6.9000,6.9000,6.9000,6.9000,2000
1431444062,6.9000,6.9000,6.9000,6.9000,200
1431444172,6.9200,6.9200,6.9000,6.9000,5200
1431444202,6.9000,6.9000,6.9000,6.9000,100
1431444288,6.9000,6.9000,6.9000,6.9000,3100
1431444355,6.9000,6.9086,6.9000,6.9000,700
1431444397,6.9298,6.9300,6.9162,6.9162,3800
1431444427,6.9100,6.9100,6.9100,6.9100,100
1431444498,6.9200,6.9200,6.9200,6.9200,500
1431444641,6.9050,6.9050,6.9050,6.9050,100
1431444699,6.9000,6.9200,6.8900,6.8900,900
1431444778,6.9100,6.9100,6.8900,6.8900,400
1431444819,6.9000,6.9050,6.9000,6.9050,1600
1431444880,6.9000,6.9000,6.8900,6.8900,500
1431444955,6.9200,6.9200,6.9000,6.9000,1400
1431445004,6.9200,6.9300,6.9200,6.9300,2100
1431445036,6.9100,6.9100,6.9100,6.9100,200
1431445093,6.9100,6.9100,6.9100,6.9100,100
1431445167,6.8900,6.9066,6.8900,6.9066,1600
1431445237,6.8900,6.8900,6.8900,6.8900,100
1431445322,6.8950,6.8950,6.8950,6.8950,300
1431445382,6.9000,6.9000,6.8900,6.8900,200
1431445538,6.9100,6.9100,6.9000,6.9000,300
1431445591,6.9082,6.9082,6.9000,6.9000,600
1431445634,6.9060,6.9060,6.9060,6.9060,400
1431445681,6.9100,6.9100,6.9100,6.9100,100
1431445801,6.9000,6.9000,6.9000,6.9000,200
1431445982,6.9099,6.9099,6.9099,6.9099,1000
1431446062,6.9000,6.9000,6.9000,6.9000,100
1431446252,6.9000,6.9000,6.9000,6.9000,600
1431446364,6.8900,6.8900,6.8900,6.8900,100
1431446439,6.9000,6.9000,6.9000,6.9000,100
1431446505,6.8900,6.8900,6.8900,6.8900,100
1431446557,6.8999,6.8999,6.8900,6.8900,1000
1431446632,6.8850,6.8850,6.8850,6.8850,100
1431446652,6.8800,6.8800,6.8800,6.8800,100
1431446775,6.8800,6.8800,6.8800,6.8800,100
1431446873,6.8800,6.8800,6.8800,6.8800,100
1431446918,6.8800,6.8800,6.8800,6.8800,100
1431446998,6.8900,6.8900,6.8900,6.8900,100
1431447033,6.8800,6.8800,6.8800,6.8800,100
1431447082,6.8800,6.8800,6.8800,6.8800,100
1431447128,6.8600,6.8800,6.8500,6.8800,22100
1431447292,6.8600,6.8600,6.8600,6.8600,100
1431447313,6.8600,6.8600,6.8600,6.8600,100
1431447460,6.8600,6.8600,6.8600,6.8600,100
1431447591,6.8650,6.8650,6.8600,6.8601,1500
1431447649,6.8600,6.8600,6.8600,6.8600,100
1431447702,6.8699,6.8699,6.8650,6.8670,500
1431447775,6.8700,6.8700,6.8700,6.8700,900
1431447808,6.8900,6.8900,6.8800,6.8800,600
1431447861,6.8900,6.8900,6.8800,6.8800,1200
1431447982,6.8800,6.8900,6.8800,6.8900,500
1431448051,6.8800,6.8800,6.8800,6.8800,100
1431448110,6.8869,6.8869,6.8869,6.8869,200
1431448229,6.8800,6.8800,6.8800,6.8800,300
1431448280,6.8700,6.8700,6.8700,6.8700,100
1431448331,6.8700,6.8700,6.8700,6.8700,2900
1431448429,6.8700,6.8799,6.8700,6.8799,2200
1431448495,6.8700,6.8700,6.8600,6.8700,600
1431448502,6.8700,6.8700,6.8700,6.8700,400
1431448611,6.8600,6.8600,6.8600,6.8600,100
1431448790,6.8800,6.8800,6.8700,6.8700,800
1431448841,6.8800,6.8800,6.8700,6.8700,200
1431448972,6.8700,6.8700,6.8700,6.8700,300
1431449035,6.8700,6.8800,6.8700,6.8700,2100
1431449095,6.8800,6.8800,6.8600,6.8600,2700
1431449158,6.9000,6.9010,6.9000,6.9000,2000
1431449212,6.8900,6.9050,6.8900,6.9000,2200
1431449240,6.8899,6.8900,6.8800,6.8800,9400
1431449485,6.8800,6.8900,6.8800,6.8900,6400
1431449563,6.8850,6.8850,6.8850,6.8850,100
1431449593,6.9000,6.9000,6.8900,6.8900,1200
1431449649,6.9000,6.9000,6.9000,6.9000,800
1431449745,6.9000,6.9100,6.9000,6.9100,200
1431449843,6.9000,6.9000,6.9000,6.9000,300
1431450042,6.9099,6.9099,6.9000,6.9000,300
1431450073,6.9000,6.9000,6.9000,6.9000,300
1431450134,6.9100,6.9100,6.9000,6.9078,800
1431450187,6.9050,6.9050,6.9050,6.9050,100
1431450280,6.9000,6.9000,6.9000,6.9000,400
