uri:/instrument/1.0/TQQQ/chartdata;type=quote;range=1d/csv
ticker:tqqq
Company-Name:ProShares UltraPro QQQ
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:109.0800
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:110.6300,112.7590
high:110.8300,112.8200
low:110.5700,112.7300
open:110.5700,112.7500
volume:100,71300
1431610211,111.9268,111.9800,111.5100,111.6500,71300
1431610319,111.6000,112.0000,111.5802,111.9100,27000
1431610373,111.4314,111.6300,111.3400,111.6300,25400
1431610381,111.5500,111.6800,111.4252,111.4300,32300
1431610441,111.5300,111.7300,111.4700,111.5139,18100
1431610559,111.4600,111.5100,111.2900,111.5100,16200
1431610619,111.3500,111.5901,111.2800,111.4310,18000
1431610677,111.5700,111.5700,111.3800,111.4400,8100
1431610681,111.6700,111.7200,111.5300,111.5300,9900
1431610797,111.4600,111.6310,111.4100,111.6310,12500
1431610859,111.3548,111.5276,111.2568,111.4300,20500
1431610866,111.3100,111.4799,111.3100,111.3952,9000
1431610979,111.0300,111.2800,110.9500,111.2600,47700
1431611038,110.7152,111.2500,110.7000,111.0700,25900
1431611098,110.7900,110.9300,110.6700,110.8300,12500
1431611158,110.6300,110.8600,110.6136,110.7600,6300
1431611161,110.8200,110.8300,110.5700,110.5700,3600
1431611229,110.9000,111.0200,110.8432,110.8700,12900
1431611281,110.9100,110.9900,110.8500,110.8812,7600
1431611392,110.8300,111.0268,110.8000,110.8500,7500
1431611459,111.0300,111.1500,110.8900,110.8900,36900
1431611519,110.9800,111.0400,110.9200,111.0100,7800
1431611575,110.9520,111.0400,110.9370,110.9600,5000
1431611637,111.1301,111.1301,110.9500,110.9500,6900
1431611698,111.2132,111.2700,111.1797,111.1797,12100
1431611759,111.1400,111.3300,111.0700,111.2400,20200
1431611762,111.2700,111.2800,111.1800,111.2170,6000
1431611877,111.1900,111.2800,111.0700,111.2600,9900
1431611889,111.1701,111.2400,111.0900,111.1932,4800
1431611940,111.0600,111.2000,111.0600,111.1800,11600
1431612059,110.9500,111.1600,110.9500,111.0800,10900
1431612118,110.8400,111.1000,110.8400,110.9500,22600
1431612173,111.0700,111.0800,110.8600,110.8800,5400
1431612237,111.3600,111.3600,111.0500,111.0600,20300
1431612299,111.4500,111.4900,111.3300,111.3700,6900
1431612300,111.4900,111.5000,111.3500,111.4400,20800
1431612417,111.5900,111.6000,111.4900,111.5100,13200
1431612474,111.5003,111.5800,111.5000,111.5800,5000
1431612538,111.6000,111.6000,111.5000,111.5000,8100
1431612598,111.8200,111.8300,111.6100,111.6300,22700
1431612600,111.9577,111.9800,111.8200,111.8200,10600
1431612717,111.8400,111.9500,111.8400,111.9300,8100
1431612777,111.9266,111.9400,111.8600,111.9000,8100
1431612782,112.0400,112.0500,111.9500,111.9518,34400
1431612899,112.2100,112.2100,112.0600,112.0600,35200
1431612959,112.2200,112.2400,112.1300,112.2100,8200
1431613017,112.3500,112.3500,112.2200,112.2416,20400
1431613078,112.1076,112.3500,112.1000,112.3500,16900
1431613138,112.1100,112.2000,112.1068,112.1300,33300
1431613140,112.0800,112.1400,112.0700,112.1400,9800
1431613256,112.2100,112.2412,112.0801,112.0801,12500
1431613319,112.1000,112.2000,112.0600,112.1900,6000
1431613328,112.1200,112.1700,112.1000,112.1000,7600
1431613381,112.1100,112.1500,112.0700,112.1200,17500
1431613498,112.1305,112.1465,112.0500,112.0800,7100
1431613559,112.1256,112.1500,112.1100,112.1300,2900
1431613617,112.1700,112.1900,112.1400,112.1500,10100
1431613678,112.0556,112.2000,112.0500,112.1900,14200
1431613738,112.1000,112.1300,112.0500,112.0500,19000
1431613740,112.1200,112.1300,112.0400,112.0800,35700
1431613802,112.1300,112.2000,112.1300,112.1800,8500
1431613904,112.0700,112.1600,112.0600,112.1300,4400
1431613979,112.0500,112.0900,112.0300,112.0500,6200
1431614039,112.0199,112.0700,111.9800,112.0600,11300
1431614091,112.0400,112.0700,112.0000,112.0000,4300
1431614157,111.9300,112.0500,111.9200,112.0299,10500
1431614213,112.0400,112.0400,111.9300,111.9480,10900
1431614277,112.0600,112.1200,112.0500,112.0500,8900
1431614339,111.9900,112.1000,111.9800,112.0700,14800
1431614341,112.0962,112.1200,111.9900,111.9900,9500
1431614458,111.9900,112.1200,111.9600,112.1200,2700
1431614515,111.9601,112.0500,111.9601,111.9800,4000
1431614527,112.0100,112.0400,111.9944,111.9944,5300
1431614634,112.0000,112.0200,111.9700,112.0200,4200
1431614698,112.0600,112.0800,112.0100,112.0100,18700
1431614758,112.0200,112.0900,111.9799,112.0600,4900
1431614818,112.0600,112.0600,111.9700,112.0244,7100
1431614877,112.0900,112.1400,112.0500,112.0500,10700
1431614881,112.0600,112.1600,112.0400,112.1000,28700
1431614941,112.1100,112.1100,112.0400,112.0400,11700
1431615004,112.1600,112.1600,112.0599,112.0599,3600
1431615067,112.1600,112.1800,112.0800,112.1800,9800
1431615120,112.2100,112.2200,112.1300,112.1500,7000
1431615181,112.3100,112.3900,112.1600,112.1900,22900
1431615299,112.2800,112.3300,112.2600,112.3100,9000
1431615300,112.3400,112.3400,112.2700,112.2800,5100
1431615418,112.3300,112.3800,112.2867,112.3300,7600
1431615479,112.2510,112.3256,112.2200,112.3256,6600
1431615539,112.3200,112.3744,112.2588,112.2588,13000
1431615593,112.2999,112.3444,112.2999,112.3100,8000
1431615659,112.4100,112.4100,112.2700,112.2700,7300
1431615663,112.5790,112.6400,112.4000,112.4000,64700
1431615721,112.6500,112.6700,112.5600,112.5900,11400
1431615835,112.5900,112.7000,112.5800,112.6900,27700
1431615892,112.6200,112.6300,112.5712,112.6100,3400
1431615959,112.5766,112.6700,112.5766,112.6700,2200
1431616013,112.5300,112.5500,112.5276,112.5500,2300
1431616021,112.5300,112.5600,112.4800,112.5400,6300
1431616139,112.5800,112.5900,112.5400,112.5400,4100
1431616150,112.5300,112.5600,112.5001,112.5301,4100
1431616200,112.4600,112.5112,112.4500,112.5112,19500
1431616262,112.4100,112.4700,112.4001,112.4500,14100
1431616320,112.3500,112.4398,112.3100,112.4200,7500
1431616438,112.2700,112.3800,112.2700,112.3000,9000
1431616496,112.3695,112.3800,112.2800,112.2800,3300
1431616511,112.2200,112.3862,112.1700,112.3862,9800
1431616560,112.2100,112.2344,112.1600,112.2300,8200
1431616627,112.3400,112.3500,112.2700,112.2700,9300
1431616702,112.3700,112.3800,112.3500,112.3500,2800
1431616779,112.3500,112.3700,112.3500,112.3600,1200
1431616854,112.3100,112.4000,112.3100,112.3330,5400
1431616919,112.3000,112.3257,112.2900,112.3100,2300
1431616921,112.2600,112.3500,112.2600,112.3050,6000
1431616981,112.2700,112.3000,112.2300,112.2800,4400
1431617096,112.3400,112.3500,112.2600,112.2600,10500
1431617155,112.3400,112.3700,112.3400,112.3600,1500
1431617218,112.3500,112.3800,112.3000,112.3100,4300
1431617279,112.4200,112.4400,112.3400,112.3530,6100
1431617282,112.4600,112.4800,112.4100,112.4300,6900
1431617391,112.4300,112.4900,112.4200,112.4500,3900
1431617400,112.3700,112.4700,112.3600,112.4600,4200
1431617514,112.2900,112.4100,112.2500,112.3900,9600
1431617524,112.4800,112.5000,112.3300,112.3300,10200
1431617581,112.5300,112.5500,112.4800,112.4800,5700
1431617695,112.5000,112.5500,112.5000,112.5400,7500
1431617758,112.5100,112.5100,112.4500,112.5100,8000
1431617818,112.5100,112.5400,112.4900,112.5000,2900
1431617874,112.5299,112.5800,112.5100,112.5299,8700
1431617939,112.4900,112.5200,112.4600,112.5200,7800
1431617994,112.4838,112.5200,112.4700,112.4900,5700
