uri:/instrument/1.0/TRAK/chartdata;type=quote;range=1d/csv
ticker:trak
Company-Name:Dealertrack Technologies, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:41.5800
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:41.0050,41.8300
high:41.0500,42.0300
low:40.9800,41.7600
open:41.0400,42.0300
volume:0,39600
1431437600,41.8300,42.0300,41.6900,42.0300,5300
1431437645,41.7200,41.7701,41.6000,41.7701,2000
1431437791,41.7200,41.7200,41.7200,41.7200,300
1431437930,41.6200,41.7500,41.6200,41.7210,37500
1431437945,41.6200,41.6200,41.6200,41.6200,300
1431438014,41.5200,41.5900,41.5200,41.5900,3200
1431438117,41.5500,41.5800,41.5400,41.5600,1200
1431438156,41.5900,41.5900,41.5200,41.5200,1200
1431438252,41.5400,41.5700,41.5200,41.5200,2500
1431438357,41.4600,41.5500,41.4600,41.5200,3600
1431438403,41.3700,41.4700,41.3700,41.4600,9700
1431438437,41.3800,41.3800,41.3800,41.3800,100
1431438533,41.4700,41.5600,41.4100,41.4100,5100
1431438554,41.5201,41.5450,41.5201,41.5201,500
1431438653,41.5650,41.6200,41.5203,41.6200,300
1431438719,41.5900,41.5900,41.5000,41.5500,2400
1431438778,41.6300,41.7200,41.5300,41.5300,1000
1431438811,41.5300,41.6100,41.5300,41.6100,2600
1431438845,41.4500,41.5300,41.4100,41.5300,2800
1431438917,41.4300,41.5200,41.4100,41.5200,800
1431439018,41.4600,41.4600,41.3100,41.3900,5500
1431439061,41.4800,41.5100,41.4700,41.4700,3400
1431439088,41.4100,41.4900,41.4100,41.4400,700
1431439148,41.4900,41.5000,41.3700,41.3900,2300
1431439256,41.4000,41.4900,41.4000,41.4400,400
1431439277,41.3900,41.4100,41.3100,41.4100,4000
1431439336,41.3300,41.4100,41.3300,41.3700,1300
1431439405,41.5000,41.5100,41.4100,41.4100,2400
1431439498,41.4803,41.5400,41.4803,41.5400,9300
1431439542,41.4800,41.5200,41.4600,41.4800,1100
1431439587,41.4300,41.4400,41.4300,41.4400,500
1431439623,41.4600,41.4600,41.4100,41.4300,2100
1431439680,41.5700,41.5700,41.4650,41.4800,2900
1431439795,41.6600,41.6600,41.5600,41.5600,600
1431439857,41.5000,41.7100,41.5000,41.6800,37000
1431439913,41.4500,41.4500,41.3500,41.4400,3700
1431439958,41.4500,41.5300,41.4500,41.4650,700
1431439981,41.4800,41.5200,41.4600,41.5000,1900
1431440099,41.4750,41.4800,41.4600,41.4700,2300
1431440159,41.5300,41.5300,41.4400,41.4900,10100
1431440160,41.6200,41.6200,41.5300,41.5300,2500
1431440225,41.4800,41.6300,41.4800,41.6200,2200
1431440336,41.4600,41.5500,41.4500,41.4600,5200
1431440398,41.5000,41.5500,41.4600,41.4600,6000
1431440459,41.5400,41.5900,41.4950,41.5000,7900
1431440518,41.4800,41.6000,41.4100,41.5400,30900
1431440577,41.1500,41.5100,41.1100,41.5100,8200
1431440639,41.0050,41.1350,40.9800,41.1350,4700
1431440699,41.1300,41.1500,41.0200,41.0400,5000
1431440755,41.1050,41.1200,41.0500,41.0500,2000
1431440796,41.1600,41.1600,41.1400,41.1400,900
1431440828,41.1700,41.1700,41.1700,41.1700,100
1431440937,41.0400,41.1700,41.0400,41.1700,1800
1431440947,41.0200,41.0500,41.0100,41.0400,1100
1431441011,41.0700,41.0700,41.0450,41.0700,500
1431441106,41.1000,41.1000,41.0800,41.0800,900
1431441166,41.1500,41.1700,41.1400,41.1400,600
1431441186,41.2200,41.2200,41.1500,41.1500,1700
1431441330,41.2600,41.2800,41.2600,41.2600,400
1431441392,41.2600,41.2600,41.2600,41.2600,100
1431441454,41.2950,41.2950,41.2900,41.2900,200
1431441534,41.3600,41.3800,41.3250,41.3250,2500
1431441597,41.3800,41.3800,41.3500,41.3600,2300
1431441659,41.3200,41.4100,41.3000,41.3800,4200
1431441715,41.2500,41.3150,41.2300,41.3000,6000
1431441720,41.2100,41.2400,41.1800,41.2400,1500
1431441836,41.1900,41.2100,41.1700,41.1700,1300
1431441840,41.2000,41.2100,41.1900,41.1900,700
1431441906,41.2750,41.2800,41.2200,41.2200,2200
1431442047,41.2350,41.2700,41.2300,41.2700,2200
1431442137,41.2500,41.2500,41.2300,41.2500,1100
1431442197,41.2500,41.2600,41.2500,41.2500,600
1431442210,41.2500,41.2600,41.2500,41.2600,1000
1431442315,41.2600,41.2700,41.2500,41.2600,2200
1431442324,41.2460,41.2460,41.2460,41.2460,200
1431442435,41.2600,41.2600,41.2500,41.2600,400
1431442493,41.2900,41.2900,41.2600,41.2600,900
1431442556,41.2800,41.3200,41.2800,41.2900,3500
1431442583,41.3100,41.3100,41.2700,41.2800,2100
1431442651,41.3500,41.3600,41.3500,41.3600,500
1431442709,41.3300,41.3400,41.3300,41.3400,400
1431442819,41.3199,41.3199,41.3199,41.3199,100
1431442907,41.3200,41.3300,41.3100,41.3100,1200
1431442981,41.3800,41.3800,41.3600,41.3600,600
1431443099,41.4000,41.4000,41.4000,41.4000,300
1431443217,41.3450,41.5300,41.2900,41.5300,39600
1431443230,41.4300,41.4300,41.3700,41.3700,800
1431443334,41.4300,41.4300,41.3900,41.3900,2900
1431443350,41.4400,41.5000,41.4400,41.4600,1500
1431443442,41.5400,41.5400,41.4650,41.4800,5000
1431443460,41.4900,41.4900,41.4900,41.4900,300
1431443570,41.4900,41.5100,41.4900,41.5000,500
1431443637,41.4700,41.4700,41.4700,41.4700,300
1431443685,41.4700,41.4700,41.4500,41.4500,700
1431443756,41.4600,41.4800,41.4600,41.4800,3000
1431443763,41.4000,41.4500,41.4000,41.4500,1000
1431443898,41.3700,41.3700,41.3600,41.3700,1200
1431443978,41.4000,41.4000,41.3850,41.3850,900
1431444021,41.4200,41.4200,41.4100,41.4100,1000
1431444221,41.5000,41.5000,41.4732,41.4732,1800
1431444272,41.5000,41.5500,41.5000,41.5500,1900
1431444316,41.4900,41.5100,41.4900,41.5000,1100
1431444361,41.4100,41.5000,41.4100,41.4950,4200
1431444427,41.4300,41.4300,41.4300,41.4300,100
1431444488,41.4500,41.4500,41.4400,41.4400,200
1431444588,41.4300,41.4400,41.4300,41.4400,400
1431444607,41.4100,41.4100,41.4100,41.4100,1300
1431444718,41.4000,41.4000,41.4000,41.4000,100
1431444745,41.4300,41.4300,41.3900,41.3900,1500
1431444831,41.4500,41.4500,41.4400,41.4400,300
1431445004,41.4700,41.4700,41.4700,41.4700,100
1431445066,41.4300,41.4700,41.4300,41.4700,1900
1431445139,41.4600,41.4600,41.4400,41.4400,900
1431445191,41.4600,41.4600,41.4600,41.4600,200
1431445243,41.4500,41.4600,41.4500,41.4600,600
1431445290,41.4400,41.4500,41.4300,41.4400,2000
1431445376,41.4200,41.4250,41.4000,41.4000,300
1431445439,41.4150,41.4350,41.4100,41.4300,1100
1431445499,41.4600,41.4700,41.4000,41.4500,4100
1431445510,41.4800,41.4800,41.4700,41.4700,400
1431445613,41.4600,41.4600,41.4600,41.4600,400
1431445658,41.5000,41.5000,41.5000,41.5000,200
1431445721,41.4800,41.4800,41.4800,41.4800,400
1431445798,41.4000,41.4700,41.4000,41.4700,6700
1431445837,41.4500,41.4500,41.4000,41.4000,2500
1431445911,41.4000,41.4200,41.4000,41.4200,2600
1431445977,41.4100,41.4399,41.4100,41.4399,800
1431445984,41.4450,41.4500,41.4250,41.4250,1100
1431446093,41.4600,41.4600,41.4500,41.4600,800
1431446130,41.4400,41.4700,41.4200,41.4700,1600
1431446166,41.4100,41.4600,41.4000,41.4500,6800
1431446231,41.4600,41.4600,41.4400,41.4400,1700
1431446319,41.4650,41.4700,41.4650,41.4700,200
1431446342,41.4600,41.4900,41.4600,41.4800,1900
1431446518,41.4800,41.4900,41.4700,41.4900,2000
1431446629,41.4820,41.4870,41.4800,41.4800,1000
1431446687,41.4800,41.4800,41.4800,41.4800,400
1431446843,41.5175,41.5175,41.5000,41.5000,1000
1431446886,41.5100,41.5100,41.5100,41.5100,100
1431446974,41.4300,41.5000,41.4300,41.5000,1200
1431447006,41.3700,41.4200,41.3400,41.4200,3000
1431447060,41.4700,41.4700,41.3800,41.3800,1200
1431447156,41.3800,41.4500,41.3500,41.4500,32500
1431447239,41.3900,41.3900,41.3900,41.3900,100
1431447279,41.4300,41.4300,41.3900,41.3900,400
1431447353,41.4200,41.4200,41.4200,41.4200,400
1431447362,41.4200,41.4200,41.4200,41.4200,100
1431447536,41.4250,41.4250,41.4200,41.4200,900
1431447599,41.4500,41.4500,41.4300,41.4300,800
1431447649,41.4300,41.4400,41.4200,41.4400,900
1431447664,41.4100,41.4200,41.4100,41.4200,1200
1431447765,41.4400,41.4400,41.4100,41.4300,1800
1431447785,41.4400,41.4400,41.4400,41.4400,100
1431447880,41.4580,41.4580,41.4580,41.4580,100
1431447963,41.4400,41.4550,41.4300,41.4550,1900
1431448066,41.4500,41.4600,41.4400,41.4400,1200
1431448189,41.4500,41.4500,41.4400,41.4468,800
1431448227,41.4300,41.4550,41.4300,41.4550,1600
1431448369,41.4000,41.4100,41.4000,41.4100,30200
1431448384,41.4000,41.4100,41.4000,41.4100,800
1431448470,41.4200,41.4200,41.4100,41.4100,1100
1431448631,41.5300,41.5300,41.5300,41.5300,200
1431448798,41.5850,41.5850,41.5850,41.5850,300
1431448830,41.6080,41.6080,41.5800,41.5800,3100
1431448914,41.5700,41.6050,41.5700,41.6050,1600
1431448976,41.5100,41.5700,41.5000,41.5700,2200
1431449032,41.5150,41.5300,41.5000,41.5050,3200
1431449073,41.5300,41.5500,41.5200,41.5200,1200
1431449135,41.5200,41.5300,41.5200,41.5300,600
1431449197,41.5101,41.5500,41.4800,41.5100,1400
1431449255,41.5300,41.5400,41.5300,41.5400,200
1431449393,41.5200,41.5200,41.5200,41.5200,200
1431449456,41.5200,41.5400,41.5200,41.5300,1700
1431449507,41.5400,41.5400,41.5100,41.5100,300
1431449569,41.5500,41.5500,41.5500,41.5500,2200
1431449622,41.5500,41.5600,41.5500,41.5600,1000
1431449756,41.5300,41.5500,41.5300,41.5500,1500
1431449818,41.5100,41.5200,41.5100,41.5200,200
1431449847,41.5200,41.5300,41.5200,41.5300,200
1431449882,41.5400,41.5400,41.5300,41.5300,800
1431449973,41.5600,41.5600,41.5500,41.5500,500
1431450011,41.5700,41.5700,41.5700,41.5700,100
1431450079,41.5900,41.5900,41.5700,41.5700,1300
1431450159,41.5800,41.5800,41.5800,41.5800,300
1431450183,41.6065,41.6065,41.6065,41.6065,500
1431450247,41.6100,41.6100,41.6000,41.6000,2600
1431450418,41.6400,41.6400,41.6300,41.6300,900
1431450560,41.6500,41.6700,41.6300,41.6700,3000
1431450652,41.7000,41.7000,41.6700,41.6700,2500
1431450717,41.7100,41.7200,41.7100,41.7200,1500
1431450726,41.7300,41.7300,41.7300,41.7300,2200
1431450793,41.7400,41.7400,41.7400,41.7400,100
1431450867,41.7520,41.7520,41.7520,41.7520,1100
1431450907,41.7200,41.7800,41.7200,41.7700,3200
1431450971,41.7400,41.7500,41.7100,41.7500,3300
1431451048,41.7400,41.7400,41.7400,41.7400,400
1431451142,41.7300,41.7300,41.7300,41.7300,100
1431451249,41.7500,41.7500,41.7500,41.7500,700
1431451299,41.7500,41.7600,41.7500,41.7500,300
1431451349,41.7600,41.7600,41.7600,41.7600,400
1431451494,41.7700,41.7700,41.7500,41.7600,700
1431451553,41.7600,41.7600,41.7600,41.7600,1100
1431451607,41.7500,41.7500,41.7500,41.7500,100
1431451669,41.7600,41.7700,41.7400,41.7400,900
1431451761,41.7300,41.7700,41.7300,41.7600,1100
1431451860,41.7200,41.7390,41.7200,41.7390,1100
1431451984,41.7100,41.7100,41.7100,41.7100,500
1431452097,41.6601,41.7000,41.6601,41.7000,1300
1431452121,41.6800,41.6800,41.6700,41.6700,300
1431452218,41.6600,41.6700,41.6600,41.6700,400
1431452273,41.6700,41.6700,41.6600,41.6600,1900
1431452337,41.6600,41.6700,41.6600,41.6700,200
1431452389,41.6700,41.6700,41.6700,41.6700,300
1431452433,41.6500,41.6600,41.6400,41.6600,900
1431452516,41.6500,41.6700,41.6500,41.6700,300
1431452574,41.6400,41.6500,41.6400,41.6500,900
1431452584,41.6100,41.6100,41.6100,41.6100,500
1431452713,41.6000,41.6300,41.6000,41.6300,700
1431452807,41.5400,41.5600,41.5400,41.5600,400
1431452851,41.5400,41.5400,41.5300,41.5300,400
1431452926,41.6000,41.6000,41.5400,41.5400,1400
1431452969,41.5700,41.5700,41.5700,41.5700,600
1431453133,41.5400,41.5700,41.5400,41.5700,2300
1431453188,41.4900,41.5200,41.4800,41.5200,1000
1431453260,41.5000,41.5000,41.4700,41.4910,1500
1431453367,41.5000,41.5200,41.5000,41.5100,1600
1431453428,41.5000,41.5100,41.5000,41.5100,400
1431453494,41.5304,41.5304,41.5100,41.5100,1100
1431453590,41.5300,41.5400,41.5300,41.5400,700
1431453677,41.5300,41.5300,41.5300,41.5300,100
1431453738,41.5600,41.5800,41.5600,41.5800,1000
1431453800,41.5200,41.5700,41.5200,41.5700,2000
1431453909,41.5000,41.5300,41.5000,41.5300,500
1431454013,41.5500,41.5500,41.5200,41.5200,500
1431454026,41.5100,41.5400,41.5100,41.5400,1300
1431454102,41.5300,41.5300,41.5200,41.5200,1000
1431454206,41.5400,41.5400,41.5300,41.5300,900
1431454306,41.4900,41.5300,41.4900,41.5300,1400
1431454361,41.4953,41.5100,41.4953,41.5000,800
1431454396,41.5200,41.5200,41.5100,41.5100,500
1431454543,41.5100,41.5400,41.5100,41.5400,1400
1431454605,41.4700,41.5100,41.4700,41.5100,1400
1431454686,41.5000,41.5400,41.5000,41.5000,1500
1431454787,41.5400,41.5400,41.5300,41.5300,300
1431454841,41.5300,41.5400,41.5300,41.5400,600
1431454867,41.5500,41.5500,41.5500,41.5500,200
