uri:/instrument/1.0/TTEC/chartdata;type=quote;range=1d/csv
ticker:ttec
Company-Name:TeleTech Holdings, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:25.1600
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:24.1800,25.4100
high:24.1800,25.5200
low:24.1700,25.3800
open:24.1700,25.3800
volume:0,12200
1431437518,25.0800,25.0800,25.0800,25.0800,6700
1431437529,25.0000,25.1920,25.0000,25.0690,1400
1431437625,24.4800,24.7800,24.4800,24.7800,1500
1431437640,24.4600,24.6100,24.2800,24.6100,400
1431437751,24.5300,24.5300,24.5300,24.5300,500
1431437767,24.4900,24.4900,24.4900,24.4900,1100
1431437870,24.5700,24.5700,24.5400,24.5400,500
1431437921,24.6600,24.6900,24.5300,24.5300,1300
1431437969,24.9900,24.9900,24.9900,24.9900,100
1431438002,25.0600,25.5200,25.0085,25.0085,1900
1431438060,25.0300,25.0300,25.0300,25.0300,300
1431438171,24.7700,24.7701,24.7700,24.7701,500
1431438193,24.7500,24.7500,24.7500,24.7500,100
1431438372,24.5400,24.5400,24.5400,24.5400,400
1431438445,24.3600,24.5200,24.3600,24.5000,1200
1431438481,24.3300,24.3300,24.3300,24.3300,200
1431438592,24.2700,24.3450,24.2700,24.2800,1600
1431438629,24.2250,24.2250,24.2250,24.2250,100
1431438671,24.1950,24.1950,24.1700,24.1700,600
1431438828,24.2200,24.2200,24.2000,24.2185,600
1431438958,24.2100,24.2250,24.1800,24.1800,1500
1431438962,24.1800,24.1800,24.1800,24.1800,2200
1431439070,24.1800,24.1800,24.1800,24.1800,200
1431439094,24.2900,24.2900,24.1800,24.2500,1300
1431439177,24.3300,24.3300,24.3200,24.3200,400
1431439317,24.3500,24.3500,24.3000,24.3200,1000
1431439331,24.3900,24.3900,24.3600,24.3600,1100
1431439381,24.9600,24.9600,24.4000,24.4000,3400
1431439517,24.6100,24.6200,24.6100,24.6200,300
1431439699,24.7800,24.7800,24.5600,24.5600,1100
1431439786,24.6600,24.7800,24.6600,24.7800,500
1431439845,24.7000,24.7000,24.7000,24.7000,300
1431439980,24.7700,24.7800,24.7700,24.7700,1400
1431440143,24.7100,24.7400,24.6600,24.7000,1100
1431440239,24.7400,24.7400,24.6400,24.6400,700
1431440308,24.7100,24.7100,24.7100,24.7100,100
1431440439,24.6900,24.6900,24.6900,24.6900,200
1431440736,24.7300,24.8700,24.7300,24.8500,1100
1431440838,25.0200,25.0200,25.0200,25.0200,200
1431440889,25.0000,25.0100,24.9000,24.9000,900
1431441029,25.0000,25.0000,24.8100,24.8100,600
1431441175,25.0700,25.2800,25.0100,25.0100,2600
1431441207,25.1100,25.1100,25.0000,25.0000,300
1431441466,25.4100,25.4100,25.3800,25.3800,1500
1431441944,25.0600,25.0600,24.9600,25.0400,600
1431442091,24.9700,24.9700,24.9700,24.9700,100
1431442193,24.9750,25.0000,24.9600,25.0000,600
1431442229,24.9350,25.0000,24.9350,25.0000,500
1431442370,25.0000,25.0000,24.9500,24.9500,1200
1431442487,25.0000,25.0000,25.0000,25.0000,100
1431442527,24.9800,24.9800,24.9600,24.9600,200
1431442710,25.0000,25.0000,25.0000,25.0000,100
1431442770,25.0000,25.0000,24.8800,24.8800,200
1431442821,25.0200,25.0200,24.9400,24.9400,800
1431442905,25.2400,25.2400,24.9300,24.9300,200
1431443000,25.0200,25.0200,25.0200,25.0200,100
1431443445,25.0300,25.0300,25.0100,25.0100,200
1431443730,25.0100,25.0100,25.0100,25.0100,200
1431443792,25.0800,25.0800,25.0800,25.0800,100
1431443904,25.0000,25.0000,25.0000,25.0000,1500
1431444037,25.0000,25.0000,25.0000,25.0000,100
1431444194,25.0453,25.0453,25.0000,25.0000,1600
1431444312,25.0000,25.0400,25.0000,25.0400,600
1431444525,24.9850,25.0000,24.9500,25.0000,2300
1431444601,25.0100,25.0100,24.9500,24.9500,900
1431444761,25.0000,25.0000,25.0000,25.0000,100
1431444852,25.0500,25.0500,25.0500,25.0500,100
1431445254,24.9800,25.0500,24.9400,24.9700,700
1431445319,24.9600,25.0000,24.9500,25.0000,900
1431445374,25.0000,25.0000,24.9500,24.9500,1200
1431445409,24.9500,25.0000,24.8700,24.9600,1600
1431445483,25.0200,25.0200,24.9800,24.9800,900
1431445535,25.0500,25.0500,25.0300,25.0395,600
1431445576,25.2000,25.2000,25.2000,25.2000,100
1431445832,25.0300,25.0300,25.0300,25.0300,100
1431446212,25.0500,25.0500,25.0500,25.0500,100
1431446432,25.0000,25.0300,25.0000,25.0300,300
1431446616,25.0100,25.0100,25.0100,25.0100,200
1431446689,24.9500,25.0000,24.9500,25.0000,900
1431446723,24.9800,24.9800,24.9800,24.9800,400
1431446980,25.0000,25.0000,24.8800,24.9450,1100
1431447052,24.9200,25.0000,24.9200,24.9600,300
1431447085,24.9200,24.9200,24.9200,24.9200,100
1431447319,25.0200,25.0200,25.0000,25.0000,600
1431447461,25.0800,25.0800,25.0800,25.0800,100
1431447485,25.0000,25.0000,25.0000,25.0000,100
1431447637,24.9900,24.9900,24.9900,24.9900,100
1431448008,25.0600,25.0600,25.0600,25.0600,100
1431448128,25.0000,25.0100,25.0000,25.0100,300
1431448166,25.0000,25.0000,25.0000,25.0000,200
1431448231,25.0000,25.0000,24.9400,24.9800,1700
1431448261,24.9800,24.9800,24.9800,24.9800,100
1431448376,25.0000,25.0000,25.0000,25.0000,200
1431448492,24.9605,25.0000,24.9605,24.9900,700
1431448511,24.9900,24.9900,24.9700,24.9700,300
1431448681,25.0500,25.0500,25.0500,25.0500,100
1431449038,25.0200,25.0200,25.0200,25.0200,100
1431449187,25.0200,25.0200,25.0200,25.0200,200
1431449271,25.0000,25.0000,24.9700,25.0000,600
1431449307,24.9900,24.9900,24.9300,24.9900,300
1431449423,24.9800,25.0000,24.9600,25.0000,500
1431449506,25.0300,25.0300,25.0300,25.0300,100
1431449552,24.9900,24.9900,24.9900,24.9900,100
1431449798,24.9935,24.9935,24.9935,24.9935,500
1431449842,25.0047,25.0200,25.0047,25.0100,1200
1431449932,25.0035,25.0035,25.0000,25.0000,500
1431450016,24.8900,25.0100,24.8900,25.0100,1000
1431450089,24.9800,24.9800,24.9600,24.9800,400
1431450127,25.0000,25.0000,24.8400,24.9800,1400
1431450191,25.0400,25.0400,25.0400,25.0400,100
1431450283,25.0000,25.0000,25.0000,25.0000,500
1431450324,24.9400,24.9400,24.9400,24.9400,100
1431450418,25.0000,25.0000,25.0000,25.0000,800
1431450452,25.0000,25.0000,25.0000,25.0000,600
1431450551,25.0000,25.0000,25.0000,25.0000,500
1431450650,24.9540,24.9540,24.9540,24.9540,100
1431450677,25.0300,25.0300,24.9950,24.9950,300
1431450769,25.0400,25.0400,25.0200,25.0200,600
1431450806,25.1100,25.1100,25.1100,25.1100,100
1431451465,25.1200,25.1200,25.0100,25.0100,300
1431451572,25.0000,25.0000,25.0000,25.0000,200
1431451686,25.0000,25.0000,25.0000,25.0000,100
1431451852,25.0000,25.0000,25.0000,25.0000,100
1431451909,24.9500,25.0000,24.9500,25.0000,1000
1431451970,24.9800,25.0000,24.8800,24.9450,800
1431452110,25.0000,25.0000,24.9120,24.9120,600
1431452275,24.9700,24.9700,24.9700,24.9700,100
1431452346,25.0100,25.0100,25.0100,25.0100,100
1431452452,24.9400,24.9400,24.9400,24.9400,100
1431452758,25.0000,25.0000,24.9500,25.0000,500
1431452779,25.0000,25.0100,24.9600,24.9600,900
1431452854,25.0000,25.0200,25.0000,25.0200,200
1431453022,25.0200,25.0200,25.0000,25.0000,400
1431453266,25.0000,25.0000,24.9800,24.9800,1100
1431453345,25.0000,25.0200,25.0000,25.0200,800
1431453463,25.0000,25.0000,25.0000,25.0000,100
1431453524,25.0000,25.0100,24.9900,25.0000,2100
1431453592,25.0045,25.0200,24.9900,24.9950,2500
1431453656,25.0500,25.0500,25.0014,25.0100,1000
1431453712,25.0550,25.0550,25.0550,25.0550,300
1431453777,25.1095,25.1095,25.0600,25.0800,1200
1431453811,25.1200,25.1300,25.1000,25.1000,1200
1431453876,25.1200,25.1500,25.1000,25.1500,1000
1431453932,25.0400,25.0900,25.0400,25.0900,300
1431454284,25.0800,25.0800,25.0400,25.0400,2300
1431454364,25.0700,25.0700,25.0700,25.0700,100
1431454417,25.0700,25.0700,25.0600,25.0600,400
1431454666,25.1000,25.1000,25.1000,25.1000,200
1431454855,25.0700,25.1100,25.0700,25.1100,300
1431455054,25.0900,25.0900,25.0900,25.0900,200
1431455279,25.0000,25.0700,25.0000,25.0700,700
1431455336,25.0600,25.0600,25.0300,25.0300,400
1431455436,25.1000,25.1000,25.0500,25.0600,1500
1431455597,25.0900,25.0900,25.0900,25.0900,500
1431455678,25.1000,25.1000,25.1000,25.1000,200
1431455717,25.0600,25.0600,25.0600,25.0600,100
1431455862,25.1305,25.1400,25.0800,25.0800,800
1431455910,25.1000,25.1300,25.1000,25.1300,300
1431456054,25.1300,25.1300,25.0800,25.0900,600
1431456078,25.1300,25.1300,25.1200,25.1200,500
1431456179,25.0000,25.1200,25.0000,25.1100,800
1431456192,25.0000,25.0100,25.0000,25.0100,400
1431456313,25.0700,25.0700,25.0700,25.0700,100
1431456378,25.1000,25.1000,25.1000,25.1000,300
1431456479,25.1000,25.1000,25.1000,25.1000,400
1431456481,25.0200,25.0200,25.0200,25.0200,100
1431456657,25.0400,25.0400,25.0400,25.0400,100
1431456704,25.0795,25.0795,25.0300,25.0300,300
1431456779,25.0700,25.1000,25.0400,25.0700,1400
1431456784,25.0742,25.0742,25.0742,25.0742,100
1431456942,25.0700,25.0700,25.0700,25.0700,500
1431456981,25.0795,25.0795,25.0700,25.0700,200
1431457028,25.0400,25.1100,25.0400,25.0800,800
1431457134,25.0800,25.1000,25.0800,25.1000,1100
1431457147,25.0800,25.1000,25.0800,25.1000,400
1431457258,25.0400,25.0400,25.0400,25.0400,300
1431457281,25.0700,25.0700,25.0400,25.0400,1100
1431457379,25.1000,25.1000,25.1000,25.1000,400
1431457409,25.0900,25.0900,25.0900,25.0900,100
1431457533,25.0000,25.0900,25.0000,25.0900,600
1431457679,25.0400,25.0500,25.0000,25.0400,1400
1431457682,25.1000,25.1000,25.0500,25.0500,800
1431457856,25.0735,25.0800,25.0735,25.0800,200
1431457900,25.1200,25.1200,25.1200,25.1200,100
1431457979,25.1100,25.1300,25.1000,25.1000,800
1431458009,25.0900,25.0900,25.0900,25.0900,200
