uri:/instrument/1.0/VIP/chartdata;type=quote;range=1d/csv
ticker:vip
Company-Name:VimpelCom Ltd. - American Depos
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:5.7900
Timestamp:1431610200,1431633600
labels:1431612000,1431615600,1431619200,1431622800,1431626400,1431630000,1431633600
values:Timestamp,close,high,low,open,volume
close:5.7800,5.9800
high:5.7900,5.9800
low:5.7600,5.9800
open:5.7700,5.9800
volume:100,63400
1431610258,5.9200,5.9200,5.8800,5.8800,51000
1431610314,5.8500,5.9100,5.8300,5.9100,20200
1431610335,5.8450,5.8700,5.8450,5.8500,26000
1431610434,5.8400,5.8599,5.8350,5.8550,12700
1431610497,5.8200,5.8400,5.8200,5.8400,3000
1431610553,5.8200,5.8300,5.8100,5.8200,8000
1431610591,5.8201,5.8299,5.8201,5.8299,4200
1431610663,5.8000,5.8200,5.8000,5.8200,19200
1431610686,5.8000,5.8076,5.8000,5.8076,5200
1431610763,5.7900,5.8000,5.7800,5.8000,14500
1431610859,5.7900,5.7900,5.7800,5.7800,10500
1431610863,5.8000,5.8000,5.8000,5.8000,1000
1431610954,5.8000,5.8100,5.8000,5.8100,11900
1431611031,5.7800,5.7900,5.7600,5.7900,5700
1431611045,5.7900,5.7900,5.7700,5.7700,4100
1431611147,5.7900,5.7900,5.7899,5.7899,1200
1431611176,5.8000,5.8000,5.7900,5.7900,1700
1431611237,5.8001,5.8001,5.8000,5.8000,600
1431611334,5.8299,5.8400,5.8100,5.8100,9100
1431611381,5.7900,5.8201,5.7900,5.8200,3700
1431611448,5.8200,5.8200,5.7900,5.7900,3700
1431611496,5.8300,5.8300,5.8200,5.8200,900
1431611563,5.8500,5.8500,5.8344,5.8344,600
1431611638,5.8700,5.8850,5.8500,5.8500,29800
1431611690,5.8644,5.8700,5.8644,5.8700,5800
1431611747,5.8900,5.9000,5.8700,5.8700,6800
1431611819,5.8899,5.8902,5.8899,5.8902,4300
1431611875,5.8900,5.8900,5.8700,5.8700,4600
1431611910,5.8850,5.8850,5.8850,5.8850,200
1431611971,5.8800,5.8800,5.8800,5.8800,4100
1431612004,5.8900,5.8900,5.8900,5.8900,800
1431612118,5.9000,5.9000,5.9000,5.9000,800
