uri:/instrument/1.0/VTWG/chartdata;type=quote;range=500d/csv
ticker:vtwg
Company-Name:Vanguard Russell 2000 Growth In
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:108.9853
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:106.6100,113.1750
high:106.6100,113.1750
low:106.6100,113.1750
open:106.6100,113.1750
volume:0,6600
1429882200,113.1000,113.1000,113.1000,113.1000,1100
1429882866,112.8400,112.8600,112.8400,112.8400,800
1429885134,112.5860,112.5860,112.5710,112.5710,1400
1429885533,112.6800,112.6800,112.6800,112.6800,100
1429886041,112.7333,112.7333,112.7000,112.7000,1100
1429886223,112.7459,112.7459,112.7459,112.7459,100
1429886417,112.7567,112.7567,112.7567,112.7567,200
1429886855,112.8000,112.8000,112.8000,112.8000,1200
1429892680,112.7500,112.7500,112.7500,112.7500,300
1429892971,112.6925,112.6925,112.6925,112.6925,100
1429893197,112.5590,112.5590,112.5590,112.5590,100
1429893938,112.6600,112.6600,112.6600,112.6600,200
1429897321,112.5400,112.5400,112.4900,112.5399,800
1429897723,112.5899,112.5899,112.5899,112.5899,200
1429900302,112.6250,112.6250,112.6250,112.6250,500
1429901533,112.5250,112.5250,112.5250,112.5250,100
1429902443,112.1701,112.3600,112.1700,112.3600,900
1429903239,112.3600,112.3600,112.3600,112.3600,200
1429904388,112.4280,112.4280,112.3782,112.3782,700
1429904559,112.4300,112.4300,112.4300,112.4300,500
1429905600,112.4800,112.4800,112.4800,112.4800,200
1430141400,112.9200,112.9200,112.9200,112.9200,0
1430142950,112.9000,112.9000,112.9000,112.9000,200
1430143474,113.1750,113.1750,113.1750,113.1750,100
1430143746,113.1388,113.1388,113.1388,113.1388,100
1430146270,112.5500,112.5500,112.5500,112.5500,200
1430148354,112.3700,112.3700,112.3245,112.3245,300
1430149365,112.1700,112.1700,112.1700,112.1700,100
1430149736,112.0500,112.1600,112.0500,112.1600,300
1430149899,111.9200,111.9400,111.9200,111.9400,200
1430150691,111.6500,111.6500,111.6400,111.6400,500
1430150737,111.6450,111.6450,111.6450,111.6450,100
1430151137,111.3900,111.4000,111.3900,111.4000,1000
1430151552,110.8500,111.2000,110.8500,111.2000,700
1430151758,110.7000,110.7700,110.7000,110.7700,2100
