uri:/instrument/1.0/WLRHW/chartdata;type=quote;range=500d/csv
ticker:wlrhw
Company-Name:WL Ross Holding Corp.
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:1.2000
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:0.8000,1.2900
high:0.8000,1.2900
low:0.8000,1.2900
open:0.8000,1.2900
volume:0,283600
1429883359,0.9800,0.9800,0.9800,0.9800,100
1429883534,1.0000,1.0000,0.9800,0.9800,4700
1429883985,0.9420,0.9420,0.9420,0.9420,1000
1429884781,0.8700,0.9000,0.8700,0.9000,4500
1429884981,0.8699,0.8699,0.8699,0.8699,1000
1429886814,0.8399,0.8400,0.8300,0.8300,5000
1429887288,0.9900,0.9900,0.8400,0.8400,600
1429901681,0.8200,0.8200,0.8200,0.8200,1000
1429901747,0.8400,0.8400,0.8100,0.8100,10100
1429903459,0.8100,0.8100,0.8100,0.8100,1000
1429903619,0.8350,0.8350,0.8350,0.8350,100
1429904652,0.8250,0.8250,0.8240,0.8240,200
1429905560,0.8100,0.8100,0.8100,0.8100,2200
1430141536,0.8000,0.8000,0.8000,0.8000,0
1430146621,0.8082,0.8082,0.8082,0.8082,100
1430147655,0.8100,0.8100,0.8100,0.8100,10000
1430148920,0.8250,0.8250,0.8250,0.8250,100
1430150260,0.8500,0.8500,0.8500,0.8500,100
1430153253,0.8100,0.8100,0.8100,0.8100,15000
1430153784,0.8325,0.8325,0.8325,0.8325,100
1430157164,0.8399,0.8399,0.8399,0.8399,2400
1430158497,0.8101,0.8101,0.8101,0.8101,100
1430158614,0.8200,0.8300,0.8100,0.8100,12300
