uri:/instrument/1.0/XCRA/chartdata;type=quote;range=1d/csv
ticker:xcra
Company-Name:Xcerra Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:9.5200
Timestamp:1431437400,1431460800
labels:1431439200,1431442800,1431446400,1431450000,1431453600,1431457200,1431460800
values:Timestamp,close,high,low,open,volume
close:9.3300,9.6000
high:9.3300,9.6000
low:9.3200,9.6000
open:9.3200,9.6000
volume:0,17500
1431437543,9.6000,9.6000,9.6000,9.6000,3700
1431437686,9.5200,9.5200,9.5200,9.5200,200
1431437719,9.5300,9.5300,9.5300,9.5300,100
1431437890,9.5800,9.5800,9.5600,9.5600,1800
1431437977,9.5500,9.5500,9.5500,9.5500,600
1431438059,9.5400,9.5500,9.5400,9.5500,900
1431438117,9.5300,9.5500,9.5300,9.5300,1100
1431438179,9.4900,9.5300,9.4900,9.5300,700
1431438287,9.4700,9.4900,9.4700,9.4900,600
1431438348,9.4600,9.4700,9.4600,9.4700,700
1431438408,9.4600,9.4600,9.4600,9.4600,1500
1431438426,9.4600,9.4600,9.4600,9.4600,900
1431438528,9.4700,9.4700,9.4630,9.4630,500
1431438560,9.4755,9.4800,9.4755,9.4800,500
1431438772,9.4600,9.4700,9.4600,9.4600,600
1431438798,9.4500,9.4500,9.4500,9.4500,100
1431438899,9.4500,9.4500,9.4500,9.4500,400
1431438933,9.4700,9.4700,9.4500,9.4500,300
1431439039,9.4100,9.4100,9.4100,9.4100,2300
1431439135,9.3500,9.4100,9.3500,9.4100,3400
1431439198,9.3500,9.3500,9.3500,9.3500,1400
1431439377,9.3325,9.3325,9.3200,9.3200,500
1431439418,9.3600,9.3600,9.3300,9.3300,1500
1431439579,9.3700,9.3700,9.3600,9.3600,600
1431439626,9.3500,9.3650,9.3500,9.3650,4800
1431439689,9.3550,9.3550,9.3550,9.3550,400
1431439858,9.3900,9.3900,9.3700,9.3700,500
1431439969,9.3950,9.4000,9.3950,9.4000,300
1431439991,9.3900,9.3900,9.3900,9.3900,700
1431440094,9.3950,9.3967,9.3950,9.3967,600
1431440147,9.3900,9.3900,9.3900,9.3900,200
1431440205,9.3950,9.3950,9.3950,9.3950,100
1431440247,9.3800,9.3900,9.3800,9.3900,1000
1431440331,9.3800,9.3800,9.3800,9.3800,100
1431440399,9.3600,9.3800,9.3600,9.3800,4200
1431440410,9.3600,9.3600,9.3500,9.3600,2600
1431440461,9.3650,9.3650,9.3400,9.3400,3200
1431440631,9.3600,9.3600,9.3600,9.3600,800
1431440654,9.3650,9.3700,9.3650,9.3650,400
