Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,12.14,12.18,12.011,12.06,11600,12.06
2015-04-30,12.23,12.25,12.02,12.12,17100,12.12
2015-04-29,12.25,12.25,12.06,12.23,15200,12.23
2015-04-28,12.20,12.266,12.13,12.20,13000,12.20
2015-04-27,12.34,12.34,12.20,12.22,14000,12.22
2015-04-24,12.26,12.35,12.25,12.28,11000,12.28
2015-04-23,12.31,12.387,12.27,12.30,18000,12.30
2015-04-22,12.29,12.32,12.216,12.24,14200,12.24
2015-04-21,12.30,12.327,12.22,12.30,14500,12.26
2015-04-20,12.25,12.38,12.25,12.30,25400,12.26
2015-04-17,12.28,12.35,12.17,12.197,13700,12.15733
2015-04-16,12.29,12.39,12.17,12.27,21900,12.2301
2015-04-15,12.25,12.30,12.18,12.291,85900,12.25103
2015-04-14,12.20,12.25,12.10,12.19,12400,12.15036
2015-04-13,12.24,12.24,12.01,12.16,24400,12.12045
2015-04-10,12.22,12.22,12.062,12.16,22800,12.12045
2015-04-09,12.07,12.28,12.07,12.23,34100,12.19023
2015-04-08,12.133,12.133,12.01,12.11,16300,12.07062
2015-04-07,12.04,12.18,12.03,12.06,13300,12.02078
2015-04-06,12.10,12.27,12.00,12.13,21900,12.09055
2015-04-02,12.24,12.29,12.00,12.10,22000,12.06065
2015-04-01,12.04,12.29,12.04,12.19,15700,12.15036
2015-03-31,12.10,12.22,12.008,12.05,19200,12.01081
2015-03-30,12.23,12.28,11.98,12.01,21300,11.97094
2015-03-27,11.98,12.06,11.98,11.98,9600,11.94104
2015-03-26,11.85,12.08,11.85,12.02,21400,11.98091
2015-03-25,12.20,12.28,11.85,11.89,31100,11.85133
2015-03-24,12.09,12.26,12.09,12.20,32300,12.16033
2015-03-23,11.63,12.23,11.63,12.09,48900,12.05068
2015-03-20,11.73,11.75,11.60,11.75,17200,11.71179
2015-03-19,11.42,11.68,11.333,11.55,21300,11.51244
2015-03-18,11.38,11.695,11.20,11.45,22400,11.41276
2015-03-17,11.29,11.42,11.20,11.37,13000,11.29814
2015-03-16,11.29,11.35,11.24,11.31,10400,11.23852
2015-03-13,11.27,11.34,11.15,11.34,10200,11.26833
2015-03-12,11.01,11.28,10.995,11.16,16600,11.08947
2015-03-11,10.94,11.14,10.74,11.14,10300,11.06959
2015-03-10,11.23,11.35,10.91,10.93,12400,10.86092
2015-03-09,11.25,11.40,11.192,11.26,13400,11.18883
2015-03-06,11.17,11.45,10.99,11.22,45500,11.14909
2015-03-05,11.19,11.76,11.10,11.26,37400,11.18883
2015-03-04,11.50,11.57,11.02,11.20,32300,11.12921
2015-03-03,11.74,11.778,11.50,11.51,26200,11.43725
2015-03-02,11.87,11.92,11.61,11.74,27800,11.6658
2015-02-27,11.61,12.10,11.55,11.91,49900,11.83473
2015-02-26,11.50,11.68,11.32,11.48,33700,11.40744
2015-02-25,10.956,11.46,10.956,11.46,34900,11.38757
2015-02-24,10.91,11.139,10.67,10.87,68800,10.8013
2015-02-23,10.63,10.919,10.55,10.86,41200,10.79136
2015-02-20,10.57,10.70,10.51,10.60,67300,10.533
2015-02-19,10.63,10.688,10.57,10.57,23400,10.50319
2015-02-18,10.58,10.676,10.58,10.63,20300,10.56282
2015-02-17,10.68,10.79,10.57,10.57,61200,10.50319
2015-02-13,10.55,10.75,10.50,10.68,59500,10.6125
2015-02-12,10.65,10.65,10.50,10.50,61100,10.39886
2015-02-11,10.56,10.79,10.51,10.55,46500,10.44838
2015-02-10,10.66,10.704,10.42,10.59,22000,10.48799
2015-02-09,10.64,10.92,10.60,10.60,12100,10.4979
2015-02-06,10.62,10.85,10.62,10.66,40300,10.55732
2015-02-05,10.68,10.75,10.59,10.60,14900,10.4979
2015-02-04,10.59,10.80,10.59,10.68,20500,10.57712
2015-02-03,10.69,10.79,10.52,10.59,14100,10.48799
2015-02-02,10.45,10.71,10.26,10.56,45500,10.45828
2015-01-30,10.56,10.726,10.39,10.45,55200,10.34934
2015-01-29,10.82,11.00,10.57,10.68,17500,10.57712
2015-01-28,10.831,10.98,10.79,10.80,20400,10.69597
2015-01-27,10.78,10.97,10.77,10.89,10900,10.7851
2015-01-26,10.74,11.17,10.709,10.83,51200,10.72568
2015-01-23,10.59,10.95,10.45,10.62,74000,10.5177
2015-01-22,10.64,10.922,10.31,10.47,64700,10.36915
2015-01-21,10.65,10.65,10.18,10.40,21700,10.29982
2015-01-20,10.75,10.92,10.60,10.60,25200,10.46323
2015-01-16,10.59,10.74,10.50,10.61,8800,10.4731
2015-01-15,10.88,10.88,10.592,10.60,22900,10.46323
2015-01-14,10.59,10.86,10.54,10.84,38600,10.70014
2015-01-13,10.26,10.74,10.05,10.65,100200,10.51259
2015-01-12,10.50,10.50,10.33,10.33,13400,10.19672
2015-01-09,10.70,10.70,10.42,10.50,19300,10.36452
2015-01-08,10.48,10.75,10.42,10.59,24000,10.45336
2015-01-07,10.33,10.48,10.28,10.44,10800,10.3053
2015-01-06,10.10,10.25,10.10,10.20,16800,10.06839
2015-01-05,10.38,10.38,9.95,10.10,99400,9.96968
2015-01-02,10.74,10.829,10.26,10.41,34900,10.27568
2014-12-31,10.51,10.70,10.50,10.70,51500,10.56194
2014-12-30,10.82,11.06,10.50,10.51,48300,10.37439
2014-12-29,10.75,11.14,10.50,11.005,76600,10.86301
2014-12-26,9.97,10.75,9.90,10.75,129100,10.6113
2014-12-24,9.83,9.93,9.80,9.82,59500,9.6933
2014-12-23,10.05,10.05,9.672,9.81,69300,9.68343
2014-12-22,9.30,10.22,9.27,10.00,49400,9.87097
2014-12-19,9.51,9.92,9.22,9.22,44300,9.10104
2014-12-18,9.34,9.69,9.25,9.42,33500,9.29846
2014-12-17,9.00,9.34,9.00,9.34,29100,9.21949
2014-12-16,9.01,9.174,8.98,9.06,84800,8.91349
2014-12-15,9.12,9.187,8.89,9.04,70800,8.89381
2014-12-12,9.10,9.34,9.05,9.09,71300,8.943
2014-12-11,9.42,9.42,9.07,9.12,61600,8.97252
2014-12-10,9.65,10.085,9.33,9.35,40000,9.1988
2014-12-09,9.70,10.00,9.375,9.58,53400,9.42508
2014-12-08,9.99,10.08,9.76,9.77,82700,9.61201
2014-12-05,10.44,10.44,9.871,10.01,62700,9.84813
2014-12-04,10.21,10.65,10.21,10.33,37500,10.16295
2014-12-03,10.56,10.56,10.27,10.30,21500,10.13344
2014-12-02,10.59,10.689,10.30,10.56,24800,10.38923
2014-12-01,10.67,10.79,10.56,10.57,18000,10.39907
2014-11-28,10.82,11.01,10.66,10.74,4400,10.56632
2014-11-26,10.67,11.31,10.53,10.92,13500,10.74341
2014-11-25,10.51,10.76,10.51,10.70,24500,10.52697
2014-11-24,10.57,10.80,10.54,10.57,38400,10.39907
2014-11-21,10.65,10.78,10.47,10.63,52100,10.4581
2014-11-20,10.62,10.67,10.60,10.62,16600,10.44826
2014-11-19,10.65,10.80,10.59,10.65,37700,10.47778
2014-11-18,10.72,10.80,10.59,10.74,10500,10.56632
2014-11-17,10.70,10.73,10.30,10.67,8900,10.49745
2014-11-14,10.84,10.92,10.33,10.69,27700,10.51713
2014-11-13,10.80,10.83,10.21,10.80,45000,10.62535
2014-11-12,10.79,10.93,10.70,10.87,26300,10.6647
2014-11-11,10.87,11.13,10.75,10.81,41200,10.60584
2014-11-10,11.02,11.29,10.82,10.89,36200,10.68433
2014-11-07,11.38,11.58,10.92,10.92,42500,10.71376
