Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,29.51,29.56,29.25,29.27,7300,29.27
2015-04-30,29.76,29.81,29.40,29.46,11400,29.46
2015-04-29,30.01,30.45,29.73,29.85,9700,29.85
2015-04-28,29.22,31.00,29.22,29.80,77000,29.80
2015-04-27,29.25,29.50,29.15,29.50,16200,29.50
2015-04-24,29.28,29.46,29.15,29.35,8800,29.35
2015-04-23,29.49,29.74,29.20,29.30,4900,29.30
2015-04-22,29.30,29.99,29.16,29.82,5600,29.82
2015-04-21,30.20,30.20,29.22,29.22,5100,29.22
2015-04-20,29.57,29.98,29.57,29.98,3700,29.98
2015-04-17,29.68,29.78,29.25,29.25,6400,29.25
2015-04-16,30.09,30.09,29.76,29.88,2300,29.88
2015-04-15,30.36,30.36,29.81,29.99,8800,29.99
2015-04-14,29.95,30.36,29.78,30.23,11400,30.23
2015-04-13,30.10,30.39,29.82,29.82,2800,29.82
2015-04-10,30.10,30.62,29.87,30.03,8300,30.03
2015-04-09,29.77,30.32,29.25,30.15,36400,30.15
2015-04-08,29.34,30.00,29.26,29.85,6700,29.85
2015-04-07,29.31,29.68,29.25,29.38,11700,29.38
2015-04-06,29.26,29.82,29.25,29.74,8000,29.74
2015-04-02,29.31,29.49,29.07,29.24,6100,29.24
2015-04-01,29.45,29.49,28.60,29.46,13000,29.46
2015-03-31,28.92,29.26,28.63,29.17,4700,29.17
2015-03-30,28.89,28.95,28.39,28.94,5300,28.94
2015-03-27,28.95,28.95,28.46,28.87,10000,28.87
2015-03-26,28.86,29.05,28.41,29.05,8000,29.05
2015-03-25,28.85,28.90,28.36,28.50,16600,28.50
2015-03-24,28.30,28.70,28.30,28.70,1500,28.70
2015-03-23,28.72,28.87,28.12,28.21,9100,28.21
2015-03-20,28.83,28.94,28.25,28.26,22900,28.26
2015-03-19,28.37,28.79,28.02,28.79,7500,28.79
2015-03-18,28.18,28.71,28.06,28.71,6000,28.71
2015-03-17,28.24,28.86,28.24,28.60,6100,28.60
2015-03-16,28.61,28.99,28.29,28.60,10500,28.60
2015-03-13,29.33,29.35,28.64,29.35,3000,29.35
2015-03-12,28.97,29.25,28.76,29.23,6800,29.23
2015-03-11,28.56,28.99,28.56,28.59,7000,28.59
