Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,22.25,22.56,21.83,22.46,3946400,22.46
2015-04-30,23.11,23.11,22.12,22.35,4652400,22.35
2015-04-29,21.59,22.78,21.32,22.58,5451200,22.58
2015-04-28,21.14,21.74,21.03,21.66,4133100,21.66
2015-04-27,21.56,21.94,21.15,21.15,3895700,21.15
2015-04-24,21.89,21.99,21.08,21.16,3834100,21.16
2015-04-23,20.99,22.05,20.91,21.76,7734300,21.76
2015-04-22,20.52,21.26,20.35,21.01,6168000,21.01
2015-04-21,21.15,21.33,20.24,20.33,3582600,20.33
2015-04-20,21.18,21.69,21.00,21.07,3843400,21.07
2015-04-17,21.58,21.83,21.07,21.25,3783400,21.25
2015-04-16,22.45,22.89,21.71,21.75,6678600,21.75
2015-04-15,21.56,22.56,21.35,22.49,7550000,22.49
2015-04-14,20.57,21.62,20.35,21.48,6649200,21.48
2015-04-13,20.56,20.56,19.94,20.35,4685900,20.35
2015-04-10,20.15,20.20,19.54,20.02,3660700,20.02
2015-04-09,19.68,20.31,19.49,19.97,5556400,19.97
2015-04-08,20.25,20.40,19.26,19.29,5355600,19.29
2015-04-07,20.38,20.91,20.09,20.20,6719800,20.20
2015-04-06,19.55,20.54,19.45,20.33,6675400,20.33
2015-04-02,19.24,19.75,19.15,19.37,4369600,19.37
2015-04-01,18.88,19.71,18.65,19.34,6007100,19.34
2015-03-31,18.99,19.17,18.67,18.77,4800600,18.77
2015-03-30,19.03,19.24,18.49,18.92,3620900,18.92
2015-03-27,18.99,19.16,18.41,18.95,3281700,18.95
2015-03-26,19.30,19.68,18.89,19.10,4921900,19.10
2015-03-25,18.97,19.30,18.67,19.04,4683500,19.04
2015-03-24,18.24,18.81,17.98,18.79,3443300,18.79
2015-03-23,17.95,18.73,17.78,18.20,3180000,18.20
2015-03-20,18.11,18.53,17.70,17.89,7580800,17.89
2015-03-19,18.18,18.39,17.70,17.92,3013200,17.92
2015-03-18,17.30,18.60,17.11,18.38,5752000,18.38
2015-03-17,17.09,17.57,16.92,17.47,3768300,17.47
2015-03-16,16.92,17.17,16.28,17.13,5819700,17.13
2015-03-13,17.08,17.32,16.79,17.06,3949800,17.06
2015-03-12,17.29,17.59,17.04,17.31,3869700,17.31
2015-03-11,16.97,17.33,16.79,17.17,4017700,17.17
2015-03-10,17.49,17.63,16.94,16.96,5200400,16.96
2015-03-09,18.43,18.57,17.60,17.81,7088500,17.81
2015-03-06,19.08,19.70,18.44,18.47,7275500,18.37
2015-03-05,18.53,19.52,18.13,19.46,8229300,19.35464
2015-03-04,18.82,19.05,18.15,18.59,4391900,18.48935
2015-03-03,18.37,18.85,18.20,18.78,5161300,18.67832
2015-03-02,18.53,18.73,17.87,18.23,6389000,18.1313
2015-02-27,17.91,18.85,17.83,18.68,5299400,18.57886
2015-02-26,17.73,18.03,17.50,17.85,4547500,17.75336
2015-02-25,17.73,18.08,17.17,17.86,4329400,17.7633
2015-02-24,17.75,18.01,16.92,17.49,4037700,17.39531
2015-02-23,17.95,18.06,17.28,17.60,5695400,17.50471
2015-02-20,18.48,18.56,17.94,18.32,3611700,18.22081
2015-02-19,17.76,18.90,17.72,18.39,5585900,18.29043
2015-02-18,18.36,18.84,18.12,18.53,5081000,18.42968
2015-02-17,18.00,18.55,17.27,18.50,4167600,18.39984
2015-02-13,17.37,18.23,17.14,18.14,7259800,18.04179
2015-02-12,17.22,17.86,16.98,17.01,5503600,16.91791
2015-02-11,16.41,17.11,16.32,16.82,4086200,16.72893
2015-02-10,18.08,18.09,16.59,16.78,7792600,16.68915
2015-02-09,18.11,18.45,17.84,17.93,5137700,17.83292
2015-02-06,17.67,18.13,17.23,18.01,5938500,17.91249
2015-02-05,16.87,17.95,16.87,17.53,7891800,17.43509
2015-02-04,17.39,17.45,16.36,16.94,12817200,16.84828
2015-02-03,18.23,19.14,17.58,17.78,10345000,17.68374
2015-02-02,17.15,17.88,16.87,17.74,10444400,17.64395
2015-01-30,15.82,17.29,15.65,17.16,6399200,17.06709
2015-01-29,15.74,16.03,14.78,15.99,6530200,15.90343
2015-01-28,17.11,17.24,15.32,15.78,10538700,15.69456
2015-01-27,16.26,17.50,16.26,17.26,6520400,17.16655
2015-01-26,15.91,16.48,15.76,16.47,3008200,16.38083
2015-01-23,15.80,16.58,15.71,15.86,5347700,15.77413
2015-01-22,15.83,16.12,15.39,15.94,5240300,15.8537
2015-01-21,15.00,15.84,14.96,15.79,5766100,15.70451
2015-01-20,14.52,14.87,14.01,14.80,6495600,14.71987
2015-01-16,13.81,14.78,13.73,14.73,5179900,14.65025
2015-01-15,14.54,14.86,13.69,13.72,7163600,13.64572
2015-01-14,13.76,14.46,13.40,14.34,7660300,14.26236
2015-01-13,13.94,14.29,13.61,14.03,6245100,13.95404
2015-01-12,14.19,14.44,13.30,13.92,6318500,13.84464
2015-01-09,14.77,14.90,14.14,14.69,4886000,14.61047
2015-01-08,14.92,15.30,14.66,14.75,6013700,14.67014
2015-01-07,15.50,16.08,14.55,14.71,4304500,14.63036
2015-01-06,15.67,15.93,15.04,15.25,4381500,15.16743
2015-01-05,16.34,16.38,15.41,15.77,3798100,15.68462
2015-01-02,16.63,16.93,16.27,16.65,2499700,16.55985
2014-12-31,16.57,16.85,15.70,16.59,3873600,16.50018
2014-12-30,16.77,17.10,16.50,16.81,1784600,16.71899
2014-12-29,16.75,17.32,16.63,16.89,2398500,16.79855
2014-12-26,16.82,17.13,16.27,16.60,2913300,16.51012
2014-12-24,16.72,16.75,15.91,16.63,2222700,16.53996
2014-12-23,16.99,17.20,16.47,16.84,4571400,16.74883
2014-12-22,17.18,17.26,16.45,17.04,5028200,16.94774
2014-12-19,16.90,17.51,16.60,17.45,10295300,17.35552
2014-12-18,16.97,17.26,16.00,16.64,7670000,16.54991
2014-12-17,15.08,17.04,14.83,16.15,8676000,16.06256
2014-12-16,14.14,16.04,14.01,14.91,8265700,14.82927
2014-12-15,14.51,14.81,14.25,14.33,5094200,14.25241
2014-12-12,14.59,15.04,14.33,14.36,4722100,14.28225
2014-12-11,14.92,15.59,14.92,15.05,7961800,14.96852
2014-12-10,15.28,15.53,14.73,14.92,10029600,14.83922
2014-12-09,15.04,15.87,15.04,15.79,6933400,15.70451
2014-12-08,15.54,15.64,15.12,15.26,8867500,15.17738
2014-12-05,16.84,16.95,15.85,15.93,6986500,15.74429
2014-12-04,17.66,17.66,16.70,16.88,5601600,16.68322
2014-12-03,17.41,18.10,17.36,17.54,5162200,17.33553
2014-12-02,17.56,18.28,17.56,17.65,6337300,17.44424
2014-12-01,17.76,18.16,17.08,17.67,5034600,17.46401
2014-11-28,19.00,19.00,17.31,17.69,4337500,17.48378
2014-11-26,20.85,20.97,20.22,20.40,4186100,20.16218
2014-11-25,21.00,21.73,20.92,21.08,4280200,20.83426
2014-11-24,21.55,21.93,21.22,21.60,5842300,21.34819
2014-11-21,21.72,22.53,21.40,21.64,4799100,21.38773
2014-11-20,20.38,21.34,20.34,21.28,7586700,21.03193
2014-11-19,20.36,20.46,19.81,20.39,5287400,20.1523
2014-11-18,20.45,20.84,20.05,20.27,5090300,20.0337
2014-11-17,21.04,21.27,20.23,20.63,4669000,20.3895
2014-11-14,21.25,21.75,20.56,21.33,4803200,21.08134
2014-11-13,21.30,21.46,20.31,21.08,6914700,20.83426
